No,name,region,address,경도,위도,상태
3,구담봉.옥순봉,충북 단양군,충청북도 단양군 단성면 장회리,?,?,실패
8,악어봉,충북 충주시,충청북도 충주시 살미면 신당리,?,?,실패
9,갈론계곡(갈은구곡),충북 괴산군,충청북도 괴산군 칠성면 사은리,?,?,실패
17,단양 천동동굴,충북 단양군,충청북도 단양군 단양읍 천동2길,?,?,실패
19,수주팔봉,충북 충주시,충청북도 충주시 살미면,?,?,실패
22,청주 정북동 토성,충북 청주시,충청북도 청주시 청원구 정북동,?,?,실패
23,단양 팔경,충북 단양군,충청북도 단양군 단성면,?,?,실패
24,옥계폭포,충북 영동군,충청북도 영동군 심천면 고당리,?,?,실패
28,도마령,충북 영동군,충청북도 영동군 용화면 조동리,?,?,실패
30,호암지,충북 충주시,충청북도 충주시 호암동,?,?,실패
42,물한계곡,충북 영동군,충청북도 영동군 상촌면,?,?,실패
44,진천 농다리,충북 진천군,충청북도 진천군 문백면 구곡리,?,?,실패
48,금월봉,충북 제천시,충청북도 제천시 금성면 월굴리,?,?,실패
58,충주호,충북 충주시,충청북도 충주시 동량면 조동리,?,?,실패
63,괴산 올갱이국 거리,충북 괴산군,충청북도 괴산군 괴산읍 동부리,?,?,실패
69,단양 적성,충북 단양군,충청북도 단양군 단성면,?,?,실패
71,목계솔밭(충주),충북 충주시,충청북도 충주시 중앙탑면 첨단산업로,?,?,실패
76,속리산국립공원(충북),충북 보은군,충북 보은군 속리산면 상판리,?,?,실패
78,천태산,충북 영동군,충청북도 영동군 양산면 누교리,?,?,실패
81,단양 금굴 구석기유적지,충북 단양군,충청북도 단양군 단양읍 도담리,?,?,실패
98,보은 삼년산성,충북 보은군,충청북도 보은군 보은읍 어암리,?,?,실패
107,송계계곡,충북 제천시,충청북도 제천시 한수면 미륵송계로,?,?,실패
108,제천 옥순봉,충북 제천시,충청북도 제천시 수산면,?,?,실패
110,앙성온천지구,충북 충주시,충청북도 충주시 앙성면 가곡로,?,?,실패
117,단양 온달산성,충북 단양군,충청북도 단양군 영춘면 하리,?,?,실패
126,수문폭포,충북 제천시,충청북도 제천시 덕산면 월악산로,?,?,실패
135,보은 서원리 소나무,충북 보은군,충청북도 보은군 장안면 서원리,?,?,실패
139,보은 속리 정이품송,충북 보은군,충청북도 보은군 속리산면 상판리,?,?,실패
156,연곡계곡,충북 진천군,충청북도 진천군 진천읍 연곡리,?,?,실패
164,둔주봉,충북 옥천군,충청북도 옥천군 안남면,?,?,실패
165,장회나루,충북 단양군,충청북도 단양군 단성면 장회리,?,?,실패
172,충주 장미산성,충북 충주시,충청북도 충주시 중앙탑면 장천리,?,?,실패
173,만뢰산,충북 진천군,충청북도 진천군 백곡면 대문리,?,?,실패
181,제천 점말동굴유적,충북 제천시,충청북도 제천시 송학면 포전리,?,?,실패
182,봉황자연휴양림,충북 충주시,충북 충주시 가금면 수룡봉황길 540,?,?,실패
183,용하구곡,충북 제천시,충북 제천시 덕산면 억수리,?,?,실패
191,충북 제천시,충북 제천시,충청북도 제천시 수산면 전역,?,?,실패
202,충주 산성,충북 충주시,충청북도 충주시 직동,?,?,실패
204,충북 제천 수산·박달재 [슬로시티],충북 제천시,충청북도 제천시 백운면 평동리,?,?,실패
214,단양 신라 적성비,충북 단양군,충청북도 단양군 단성면 하방3길,?,?,실패
218,진천 덕산양조(주),충북 진천군,충청북도 진천군 덕산면 초금로 712,?,?,실패
221,봉황경(능암리섬),충북 충주시,충북 충주시 가금면 가흥리,?,?,실패
224,제천 덕주산성,충북 제천시,충청북도 제천시 한수면 송계리,?,?,실패
227,옥화9경,충북 청주시,충청북도 청주시 상당구 미원면 운암2길,?,?,실패
228,초정약수,충북 청주시,충청북도 청주시 청원구 내수읍 초정리,?,?,실패
230,중선암,충북 단양군,충청북도 단양군 단성면,?,?,실패
235,괴산 적석리 소나무,충북 괴산군,충청북도 괴산군 연풍면 적석리,?,?,실패
238,증평 미암리 석조관음보살입상,충북 증평군,충청북도 증평군 증평읍 송산리,?,?,실패
240,괴산 원풍리 마애불좌상,충북 괴산군,충청북도 괴산군 연풍면 원풍리,?,?,실패
245,서문풍물야시장 & 서문시장삼겹살거리,충북 청주시,충청북도 청주시 상당구,?,?,실패
247,청주가로수길,충북 청주시,충청북도 청주시 흥덕구 휴암동,?,?,실패
255,충주 창동리 마애여래상,충북 충주시,충청북도 충주시 중앙탑면 창동리,?,?,실패
