name,region,address,lat,lon
CJ 블로썸 캠퍼스 (CJ제일제당),충북 진천군,충청북도 진천군 진천읍 씨제이로 110,36.8782964,127.4615591
가락공방,충북 청주시,충청북도 청주시 상당구 탑동로 95-5,36.6335701,127.502508
가산사,충북 옥천군,충청북도 옥천군 안내면 안내회남로 671,36.4015241,127.5974932
가섭사,충북 음성군,충청북도 음성군 음성읍 가섭길 494,36.9665974,127.7030402
각연사(괴산),충북 괴산군,충청북도 괴산군 칠성면 각연길 451,36.7548201,127.9272744
갈기산,충북 영동군,충청북도 영동군 양산면 호탄리,36.1328522,127.6329943
갈론계곡(갈은구곡),충북 괴산군,충청북도 괴산군 칠성면 사은리,36.7357961,127.8566438
감곡매괴성모순례지성당,충북 음성군,충청북도 음성군 감곡면 성당길 10,37.1219476,127.6411531
강천사(제천),충북 제천시,충청북도 제천시 송학면 옥천3길 56-10,37.2065293,128.2667458
개심사 목조여래좌상과 목조관음보살좌상,충북 괴산군,충청북도 괴산군 괴산읍 역말길 22,36.8151016,127.7945922
개심사(괴산),충북 괴산군,충청북도 괴산군 괴산읍 역말길 22,36.8151016,127.7945922
검암서원,충북 청주시,충청북도 청주시 상당구 가덕면 병암리 215-2,36.5788978,127.5715502
계담서원,충북 괴산군,충청북도 괴산군 감물면 감물로이담5길 19,36.870928,127.8641927
계명산자연휴양림,충북 충주시,충청북도 충주시 충주호수로 1170,37.0000143,127.9700503
고미술거리,충북 충주시,충청북도 충주시 중앙탑면 가곡로 2077,37.0749439,127.858536
고산 9경,충북 괴산군,충청북도 괴산군 괴산읍 제월리,36.8227541,127.8266657
고산사 석조관음보살좌상,충북 제천시,충청북도 제천시 덕산면 월악로9길 113,36.9278334,128.1154633
고산사 석조나한상,충북 제천시,충청북도 제천시 덕산면 월악로9길 113,36.9278334,128.1154633
공림사,충북 괴산군,충청북도 괴산군 청천면 괴산로공림길 104,36.6318163,127.8166426
공전자연학교,충북 제천시,충청북도 제천시 봉양읍 의암로 345,37.1142925,128.0793649
과일나라테마공원,충북 영동군,충청북도 영동군 영동읍 영동힐링로 248,36.1750235,127.7834305
관음암(충북),충북 보은군,충청북도 보은군 속리산면 법주사로 658-191,36.5575014,127.8674678
광덕사,충북 증평군,충청북도 증평군 도안면 상그린로 239,36.832667,127.6246296
광운농촌교육농장,충북 영동군,충북 영동군 양산면 수두리,36.1415123,127.6546478
괴산 고산정 및 제월대,충북 괴산군,충청북도 괴산군 괴산읍 제월리,36.8227541,127.8266657
괴산 김항묵 고택,충북 괴산군,충청북도 괴산군 칠성면 칠성로4길 20,36.7816481,127.85932
괴산 둔율 올갱이마을,충북 괴산군,충청북도 괴산군 칠성면 둔율길 142,36.7830176,127.8487827
괴산 문당리 서낭단,충북 괴산군,충청북도 괴산군 청안면 문당리,36.7511113,127.6782451
괴산 미륵산성,충북 괴산군,충청북도 괴산군 청천면 고성리,36.6533135,127.7930389
괴산 백운사 승탑군,충북 괴산군,충청북도 괴산군 사리면 사리로소매2길 125-146,36.8548635,127.6674723
괴산 보안사 삼층석탑,충북 괴산군,충청북도 괴산군 청안면 효근1길 3-8,36.7580821,127.6546499
괴산 봉학사지 석조여래좌상,충북 괴산군,충청북도 괴산군 사리면 모래재로시동2길 231,36.8194504,127.6838752
