name,region,tel,keyword,photo,address,lat,lon
(구)태백등기소,강원 태백시,166,['관광지'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cc5d655d-514a-4d48-92f8-abebeb1fa4e9&thumb,강원도 태백시 하장성 1길 14,37.1026154,129.0209725
365세이프타운,강원 태백시,033-550-3101,"['365세이프타운', '가족여행', '강원권', '관광지', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fe3aa3f4-7e00-4a71-ba24-b01047bd1c3a&thumb,강원도 태백시 평화길 15,37.1004919,129.0242694
38평화마을,강원 양양군,033-672-0305,['관광지'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=36117f53-be57-48cf-abd2-8949eef91d71&thumb,강원도 양양군 현북면 쟁기동길 78-1,38.0000925,128.7252592
38해변,강원 양양군,010-6313-2044,"['관광지', '여름피서지', '자연속으로', '자연좋은곳', '자연풍경', '자연환경', '휴식공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6821591b-30dd-4d28-b8dc-b57056aa82d0&thumb,강원도 양양군 현북면 기사문길 29,38.0077853,128.7300437
643고지전투전적비,강원 화천군,033-440-2575,"['관광지', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f47e4cd3-08a7-4fff-8493-c3f1fcd49cbf&thumb,강원도 화천군 화천읍 동촌리,38.1595324,127.8274425
88공원,강원 화천군,033-440-2575,"['88공원', '강원권', '공원', '관광지', '북한강', '아이와함께', '역사', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9112d99a-d726-479d-af18-586252627504&thumb,강원도 화천군 간동면 어룡동길 42-50,38.0967406,127.7639242
DMZ 생태평화공원,강원 철원군,033-458-3633,"['DMZ', 'DMZ생태평화공원', 'DMZ여행', '강원권', '걷기여행', '경치좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5b1c9a09-5be0-4b95-b2a3-933807b57c3f&thumb,강원도 철원군 김화읍 생창길 481-1,38.2810896,127.4512843
DMZ 안보견학,강원 철원군,033-450-5559,"['DMZ안보견학', '강원권', '관광지', '아이와함께', '역사', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4eb76469-0209-4c19-ab2d-02370bd57c68&thumb,강원도 철원군 동송읍 태봉로 1825,38.1865639,127.2874501
DMZ산림두드림센터,강원 양구군,033-481-9033,"['가족과함께', '경치좋은곳', '관광지', '아이와함께', '양구가볼만한곳', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb,강원도 양구군 양구읍 박수근로 367,38.1009086,127.9815496
DMZ펀치볼둘레길,강원 양구군,033-481-8565,"['관광지', '산책길', '산책코스', '산책하기', '산책하기좋은곳', '자연속우로', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=35c80cac-73c1-457c-9775-83f27ba5f894&thumb,강원도 양구군 해안면 후리 621번지,38.3264403,128.1429725
