name,region,tel,keyword,photo,address,lat,lon
LH 토지주택박물관,경남 진주시,055-922-5432,"['LH', 'LH토지주택박물관', '경상권', '관광지', '박물관', '산업관광', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0b2126ec-d389-416d-b2fe-bff04d807fab&thumb,경상남도 진주시 충의로 19,35.1785185,128.1463982
가고파 꼬부랑길 벽화마을,경남 창원시,055-220-5690,"['가고파꼬부랑길벽화마을', '가족여행', '감성사진', '경상권', '관광지', '데이트장소추천']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5cb3ea2b-f6a1-4d74-ac3a-c20580da7048&thumb,경상남도 창원시 마산합포구 성호서7길 15-8,35.2077494,128.5696471
가라산,경남 거제시,055-639-4321,"['가라산', '경상권', '관광지', '자연', '전망좋은곳', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d212b500-35e2-4f3a-927c-fe20bd1d8940&thumb,경상남도 거제시 남부면 다대리,34.7468501,128.6297621
가뫼골마을,경남 진주시,055-746-2214,"['관광지', '농촌마을', '농촌여행', '농촌체험', '농촌체험여행', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0c2716d6-a46d-49ac-8346-d4ce6cbb855a&thumb,경상남도 진주시 명석면 관덕길 174,35.2586428,128.0324095
가배량성,경남 거제시,055-639-3000,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c0fefa2-35d6-4a58-8b82-a0df59541838&thumb,경상남도 거제시 동부면 가배리,34.772718,128.5596687
가선정,경남 거창군,055-940-3431,"['가선정', '경상권', '관광지', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d80d72b5-ea00-467a-bcf7-b8b02d7c82e5&thumb,경상남도 거창군 북상면 송계로 731-42,35.7790316,127.8159141
가섭암지 마애여래삼존입상,경남 거창군,055-940-3431,"['가섭암지마애여래삼존입상', '경상권', '관광지', '보물', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9bf72221-ebb9-4b08-b678-d951143c6727&thumb,경상남도 거창군 위천면 상천리,35.7303489,127.7929043
가야산 소리길,경남 합천군,055-930-8000,"['관광지', '레포츠', '산책길', '산책코스', '산책하기', '산책하기좋은곳', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5e4b4dc2-cb78-4cba-8587-5942f149f6d5&thumb,경상남도 합천군 가야면 가야산로 1783,35.7911008,128.0908755
가야산국립공원,경남 합천군,055-930-8000,"['가야산', '가야산국립공원', '경상권', '관광지', '농산정', '단풍여행', '봄꽃여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0d0f9b63-919e-4d80-8aab-7179c00e3e89&thumb,경상남도 합천군 가야면 가야산로 1200,35.7678166,128.1324164
"가야산국립공원(홍류동,청량동지구)",경남 합천군,055-930-8000,"['가야산국립공원', '가족여행', '경상권', '관광지', '등산', '생태관광', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8ecd489d-89be-4aa4-9dee-0467e85b67b1&thumb,경상남도 합천군 가야면 가야산로 1200,35.7678166,128.1324164
가야의 거리,경남 김해시,055-338-1330,"['관광지', '금관가야', '대가야', '대가야국', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74d71ab1-7b93-4c78-a2af-696dfd66eb85&thumb,경상남도 김해시 봉황동,35.2287539,128.876911
가야진사,경남 양산시,055-392-2555,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ed3d1a1f-d8ad-4963-ba75-501d14bbc6bc&thumb,경상남도 양산시 원동면 용당들길 43-62,35.3677289,128.9023566
가조 백두산천지온천,경남 거창군,055-941-0721,"['가조백두산천지온천', '가족과함께', '경상권', '관광지', '목욕탕', '스파', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b1bac009-62ea-4d4a-8ee5-3032b41093fa&thumb,경상남도 거창군 가조면 온천길 161,35.6984525,128.0229597
가지산도립공원(밀양),경남 밀양시,055-359-5357,"['가족여행', '가지산도립공원', '경상권', '경치좋은곳', '관광지', '명소', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9a62e397-f1cb-4b83-89fd-a3514e327bbd&thumb,경상남도 밀양시 산내면 삼양리,35.5962414,128.9811468
가천 다랭이마을,경남 남해군,010-4590-4642,"['15_16한국관광100선', '가족여행', '가천다랭이마을', '경남', '경상권', '경상권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2f50ccea-ec3f-4784-a4e7-a6198c11cbf0&thumb,경남 남해군 남면 홍현리 남면로 679번길 21,34.7275136,127.8940684
