name,region,address
가산산성마을,경북 칠곡군,경상북도 칠곡군 가산면 가산로 891
가산수피아,경북 칠곡군,경상북도 칠곡군 가산면 학하들안2길 105
가실성당,경북 칠곡군,경상북도 칠곡군 왜관읍 가실1길 1
가야산 야생화식물원,경북 성주군,경상북도 성주군 수륜면 가야산식물원길 49
가야산국립공원(백운동 지구),경북 성주군,경북 성주군 수륜면 백운리
가야산칠불봉 야생화마을,경북 성주군,경상북도 성주군 가천면 신계1길 4-12
가오실공원,경북 예천군,경상북도 예천군 개포면 가곡리
가평리 계서당(성이성 생가),경북 봉화군,경상북도 봉화군 물야면 계서당길 24
각화산,경북 봉화군,경상북도 봉화군 춘양면
갈천동초가까치구멍집,경북 영덕군,경상북도 영덕군 창수면 장육사길 363
감빛고을,경북 청도군,경상북도 청도군 금천면 소천길 193
감응사(경북),경북 성주군,경상북도 성주군 월항면 대산리
감포항,경북 경주시,경북 경주시 감포읍 감포로
갑장사(상주),경북 상주시,경상북도 상주시 지천동
갑장산,경북 상주시,경상북도 상주시 지천1길 215-187
강구항,경북 영덕군,경북 영덕군 강구면 강구리
개경포공원,경북 고령군,경상북도 고령군 개진면 개경포로 681
개령향교,경북 김천시,경상북도 김천시 개령면 동부1길 78-37
개목사(안동),경북 안동시,경상북도 안동시 서후면 개목사길 362
개실마을,경북 고령군,경상북도 고령군 쌍림면 개실1길 29
개천지 / 조성지,경북 의성군,경상북도 의성군 안계면 개천지길
거동사,경북 영천시,경상북도 영천시 자양면 사곡길 77-81
"거북바위 및 향나무 자생지 (울릉도, 독도 국가지질공원)",경북 울릉도,경상북도 울릉군 서면 태하리
거일1리어촌체험마을,경북 울진군,경상북도 울진군 평해읍 울진대게로 671
거조암,경북 영천시,경상북도 영천시 청통면 거조길 400-67
검무산,경북 안동시,경상북도 안동시 풍천면 갈전리
견훤산성,경북 상주시,경상북도 상주시 화북면 장암리
경광서원,경북 안동시,경상북도 안동시 서후면 금계3길 131-24
경북 상주,경북 상주시,"경상북도 상주시 함창읍, 공검면, 이안면"
경북 상주 함창·이안·공검 [슬로시티],경북 상주시,경상북도 상주시 함창읍 함창중앙로 135
경북 청송,경북 청송군,경상북도 청송군 전역
경북 청송 부동·파천 [슬로시티],경북 청송군,경상북도 청송군 부동면
경북전통음식체험관 모심정,경북 문경시,경상북도 문경시 마성면 봉생1길 13
경산 임당동과 조영동 고분군,경북 경산시,경상북도 경산시 청운2로9길
경산서원,경북 경주시,경상북도 경주시 강동면 양동마을안길 55
경산포교당(보문사),경북 경산시,경상북도 경산시 장산로26길 20
경산향교,경북 경산시,경상북도 경산시 향교길 14-19
경상북도 산림환경연구원,경북 경주시,경상북도 경주시 통일로 367
경상북도수목원,경북 포항시,경상북도 포항시 북구 죽장면 수목원로 647
