name,region,tel,keyword,photo
광주호 호수생태원,광주 북구,062-613-7891,"['가족여행', '관광지', '광주호호수생태원', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5cd9893-caaf-4d9f-bf14-feea1ce79038&thumb
양림역사문화마을,광주 남구,062-676-4486,"['19_20한국관광100선', '가족과함께', '관광지', '근대건축물', '근대문화거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0eae9c7c-4f05-4a2e-9422-fb9ad9b73d54&thumb
무등산국립공원,광주 동구,062-227-1187,"['경치좋은곳', '관광지', '나홀로여행', '등산', '등산객', '등산여행', '등산코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5d0df322-a15a-4b73-9ec7-34523ce7cedd&thumb
운천저수지,광주 서구,062-360-7990,"['걷기길', '걷기여행', '관광지', '데이트코스', '사계절', '연인과함께', '운천저수지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3ca76ad-db83-4f40-8db7-a4c3f9fc1dce&thumb
양림동 펭귄마을,광주 남구,062-607-4502,"['가족과함께', '감성사진', '관광지', '데이트장소추천', '사진찍기좋은곳', '사진촬영']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ff7e050e-04ca-47f5-b9af-26a8f91cf193&thumb
월봉서원,광주 광산구,062-960-8252,"['가족여행', '관광지', '광주광역시기념물', '광주광역시유형문화제', '야간관광100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=587dcaec-31e6-4d4b-9551-9c28edd1a553&thumb
광주 예술의 거리,광주 동구,062-942-6160,"['가족여행', '관광지', '광주가볼만한곳', '광주예술의거리', '남녀노소', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=619f21a4-795a-4ac9-bafc-cb715b1ab781&thumb
증심사(광주),광주 동구,062-226-0107,"['가족여행', '관광지', '교과서속여행', '불교', '불교문화', '사찰&산사', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=01f31984-e9cf-42fc-b3c2-1ef48e5f41a9&thumb
광주패밀리랜드,광주 북구,062-607-8000,"['가족과함께', '관광지', '광주가볼만한곳', '광주패밀리랜드', '놀이기구', '놀이동산']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a59421b0-868d-4bb6-aa9d-526ac13e74a0&thumb
우일선 선교사 사택,광주 남구,062-607-2333,"['가족여행', '관광지', '광주광역시기념물', '역사', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc33a667-658c-47a6-9b58-dada5a6faad2&thumb
5·18 기념공원,광주 서구,5·18 062-376-5197,"['5.18기념공원', '가족여행', '관광지', '교과서속여행', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9ab36693-4a38-4acc-94a7-1d2a9aea5c78&thumb
5.18 민주광장,광주 동구,062-613-2082,"['관광지', '민주공원', '민주화', '민주화', '아이와함께', '역사', '역사관광', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1ac63b9b-2176-4caa-bbab-33d6d6748d73&thumb
무등산 주상절리대,광주 동구,062-227-1187,"['관광지', '무등산주상절리대', '자연', '전라권', '천연기념물']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74ab6d5b-9d37-40fd-b3b9-7bd54c26376a&thumb
오웬기념각,광주 남구,062-650-7647,"['가족여행', '관광지', '광주광역시유형문화재', '근대건축물', '근대문화거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=11f7f585-2f58-41ae-a549-86fa67e25588&thumb
청춘발산마을,광주 서구,062-464-0020,"['가족과함께', '관광지', '남녀노소', '문화예술', '복합문화공간', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=06a9ff95-b9a6-436b-b0f3-df981a699910&thumb
전평제,광주 서구,062-365-4114,"['걷기길', '걷기여행', '관광지', '데이트코스', '사계절', '연인과함께', '자연', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9874d0b8-7e7c-423b-9eea-57c2b69bf9ae&thumb
사직공원(광주),광주 남구,062-652-3236,"['가족여행', '걷기여행', '관광지', '나들이', '사계절', '사직공원', '산책길', '산책하기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d04337ff-e938-45c1-8c3c-79ff44b3172b&thumb
국립 5.18 민주묘지,광주 북구,062-268-0518,"['가족여행', '관광지', '교과서속여행', '국립5.18민주묘지', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d4534f44-bbf3-4ce4-af69-551020f4dff9&thumb
