name,region,address
광주호 호수생태원,광주 북구,광주광역시 북구 충효샘길 7
양림역사문화마을,광주 남구,광주광역시 남구 서서평길 7
무등산국립공원,광주 동구,광주광역시 동구 동산길 29
운천저수지,광주 서구,광주광역시 서구 운천로 165
양림동 펭귄마을,광주 남구,광주광역시 남구 천변좌로446번길 7
월봉서원,광주 광산구,광주광역시 광산구 광곡길 133
광주 예술의 거리,광주 동구,광주광역시 동구 예술길 24
증심사(광주),광주 동구,광주광역시 동구 증심사길 177
광주패밀리랜드,광주 북구,광주광역시 북구 우치로 677
우일선 선교사 사택,광주 남구,광주광역시 남구 제중로47번길 20
5·18 기념공원,광주 서구,광주광역시 서구 상무민주로 61
5.18 민주광장,광주 동구,광주광역시 동구 문화전당로 38
무등산 주상절리대,광주 동구,광주광역시 동구 용연동 산354-1
오웬기념각,광주 남구,광주광역시 남구 백서로70번길 6
청춘발산마을,광주 서구,광주광역시 서구 천변좌로 12-16
전평제,광주 서구,광주광역시 서구 매월동
사직공원(광주),광주 남구,광주광역시 남구 사직길 49
국립 5.18 민주묘지,광주 북구,광주광역시 북구 민주로 200
동명동 카페거리,광주 동구,광주광역시 동구 동명동
중외공원,광주 북구,광주광역시 북구 하서로 50
환벽당,광주 북구,광주광역시 북구 환벽당길 10
지산유원지,광주 동구,광주광역시 동구 지호로164번길 35-1
풍암저수지 (풍암호수),광주 서구,광주광역시 서구 월드컵서로 71-3
만귀정,광주 서구,광주광역시 서구 동하길 10
광주 서구 8경,광주 서구,광주광역시 서구 동하길 10
양림동 선교사 묘지,광주 남구,광주광역시 남구 제중로 77
5·18 자유공원,광주 서구,광주광역시 서구 상무평화로 13
녹색에너지체험관 (광주전남지역본부),광주 북구,광주광역시 북구 첨단과기로 123
광주 우치공원 동물원,광주 북구,광주광역시 북구 우치로 677
운천사마애여래좌상,광주 서구,광주광역시 서구 금호운천길 85-15
금남로,광주 동구,광주광역시 동구 금남로 일대
쌍암공원,광주 광산구,광주광역시 광산구 첨단중앙로182번길 39
최승효가옥,광주 남구,광주광역시 남구 양촌길 29-4
상무시민공원,광주 서구,광주광역시 서구 상무공원로 101
충장로,광주 동구,광주광역시 동구 중앙로
광주 송정동 떡갈비 골목,광주 광산구,광주광역시 광산구 광산로29번길
이장우가옥,광주 남구,광주광역시 남구 양촌길 21
송정공원,광주 광산구,광주광역시 광산구 송정공원로 8-23
