name,region,address
장태산자연휴양림,대전 서구,대전광역시 서구 장안로 461
상소동 산림욕장,대전 동구,대전 동구 상소동 산 1-1
대동하늘공원,대전 동구,대전광역시 동구 동대전로110번길 182
장동산림욕장,대전 대덕구,대전광역시 대덕구 산디로 79-70
유성온천지구,대전 유성구,대전광역시 유성구 봉명동
뿌리공원,대전 중구,대전광역시 중구 뿌리공원로 79
식장산(식장산 문화공원),대전 동구,대전광역시 동구 세천동 산43-5
한밭수목원,대전 서구,대전광역시 서구 둔산대로 169
국립대전현충원,대전 유성구,대전광역시 유성구 현충원로 251
한밭수목원,대전 서구,대전광역시 서구 둔산대로 169
대전엑스포과학공원,대전 유성구,대전광역시 유성구 대덕대로 480
스카이로드,대전 중구,대전광역시 중구 중앙로164번길 17
대전오월드,대전 중구,대전광역시 중구 사정공원로 70
발명교육센터 창의발명체험관,대전 유성구,대전광역시 유성구 과학로 82
만인산 자연휴양림,대전 동구,대전광역시 동구 산내로 106
솔로몬 로파크,대전 유성구,대전광역시 유성구 엑스포로 219-39
대전시민천문대,대전 유성구,대전광역시 유성구 과학로 213-48
무수천하마을,대전 중구,대전광역시 중구 운남로37번길 66
추동인공생태습지,대전 동구,대전광역시 동구 추동
대흥동 문화예술의거리,대전 중구,대전광역시 중구 대흥동
대청호,대전 대덕구,대전광역시 동구 천개동로 41
보문산공원,대전 중구,대전광역시 중구 보문산공원로 446
우암사적공원,대전 동구,대전광역시 동구 충정로 53
금강로하스대청공원,대전 대덕구,대전광역시 대덕구 대청로 607
대전 계족산성,대전 대덕구,대전광역시 대덕구 장동
만인산푸른학습원,대전 동구,대전광역시 동구 산내로 106
구봉산(대전),대전 서구,대전광역시 서구 상보안윗길 160
장태산자연휴양림,대전 서구,대전광역시 서구 장안로 461
남간정사,대전 동구,대전광역시 동구 충정로 53
국가핵융합연구소,대전 유성구,대전광역시 유성구 과학로 169-148
대전교통문화연수원,대전 유성구,대전광역시 유성구 대덕대로 480
"월평, 신탄진, 송촌 정수장(물사랑학교)",대전 서구,대전광역시 서구 월평동
진잠향교,대전 유성구,대전광역시 유성구 교촌로 67
유성 관광특구,대전 유성구,대전광역시 유성구 대덕대로 480
둔산선사유적지,대전 서구,대전광역시 서구 대덕대로317번길
사교루,대전 유성구,대전광역시 유성구 대덕대로556번길 104
내원사(대전),대전 서구,대전광역시 서구 배재로197번길 200
대청댐 물문화관,대전 대덕구,대전광역시 대덕구 대청로 618-136
대청호자연생태관,대전 동구,대전광역시 동구 천개동로 41
대청호자연생태관,대전 동구,대전광역시 동구 천개동로 41
단재 신채호선생생가지,대전 중구,대전광역시 중구 단재로229번길 47
인쇄거리,대전 동구,대전광역시 동구 대전로839번길 일대
대전 회덕 동춘당,대전 대덕구,대전광역시 대덕구 동춘당로 80
티놀자 애니멀 파크,대전 유성구,대전광역시 유성구 대덕대로989번길 9-51
자광사(대전),대전 유성구,대전광역시 유성구 학하동로63번길 50-8
문충사,대전 동구,대전광역시 동구 동부로73번길 44
초연물외암각,대전 대덕구,대전광역시 대덕구 비래동
백골산성,대전 동구,대전광역시 동구 산하동
도산서원,대전 서구,대전광역시 서구 남선로 8
김정선생묘소일원,대전 동구,대전광역시 동구 회남로 117
유회당사당,대전 중구,대전광역시 중구 운남로85번길 32-20
세천공원,대전 동구,대전광역시 동구 세천공원로 68
회덕향교 대성전,대전 대덕구,대전광역시 대덕구 대전로1397번안길 126
박팽년선생유허비,대전 동구,대전광역시 동구 우암로326번길 28
안동권씨유회당종가일원,대전 중구,대전광역시 중구 운남로 63
철도관사촌(솔랑시울길),대전 동구,대전광역시 동구 소제동
사우당,대전 동구,대전광역시 동구 이사로 198
수운교도솔천,대전 유성구,대전광역시 유성구 자운로245번길 80
대청호 추동습지,대전 동구,대전광역시 동구 천개동로 41
한국생명공학연구원,대전 유성구,대전광역시 유성구 과학로 125
찬샘마을,대전 동구,대전광역시 동구 냉천로 703
가양비래근린공원,대전 대덕구,대전광역시 대덕구 비래동
옥류각,대전 대덕구,대전광역시 대덕구 비래동
삼매당,대전 동구,대전광역시 동구 충정로 73-17
ETRI 정보통신전시관,대전 유성구,대전광역시 유성구 가정로 218
취백정,대전 대덕구,대전광역시 대덕구 대청로526번길 45-24
보문산마애여래좌상,대전 중구,대전광역시 중구 부사로 70
쌍청당,대전 대덕구,대전광역시 대덕구 쌍청당로 17
대전MBC,대전 유성구,대전광역시 유성구 엑스포로 161
옥오재,대전 대덕구,대전광역시 대덕구 계족로 750
