name,region,tel,keyword,photo,address,lat,lon
150년 수령 느티나무,서울 양천구,02-2620-3405,"['관광지', '느티나무', '수호신', '양천구', '역사속으로', '역사이야기', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=73155fdd-4caa-4086-925a-4dc52cd83dd1&thumb,서울 양천구 목4동 760-28,37.53758,126.8687506
3.1독립선언기념탑,서울 서대문구,1577-0606,"['3.1독립선언기념탑', '관광지', '사계절', '수도권', '아이와함께', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eeab08cb-bf8e-4bf0-970c-b7dcd2267ed2&thumb,서울특별시 서대문구 통일로 251,37.5743009,126.9559178
3.1독립운동기념탑,서울 중구,1577-0606,"['3.1독립운동기념탑', '3.1운동', '3·1운동_100주년_여행지추천', '관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4932d50d-fbfb-4de9-9aa8-25dc040c0050&thumb,서울특별시 중구 장충단로 91,37.5599921,127.0053457
63스퀘어,서울 영등포구,02-789-5663,"['63스퀘어', '가족과함께', '관광지', '데이트코스', '복합문화공간', '서울가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=18a56781-e3c1-4fe0-b128-7c85122cf272&thumb,서울특별시 영등포구 63로 50,37.5194647,126.9398326
AHC스파,서울 강남구,02-541-8239,"['관광지', '남녀노소', '부모님과함께', '뷰티&스파', '연인과함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5c321dc5-f786-4be1-adfb-53af7dfcbffd&thumb,서울특별시 강남구 도산대로 237,37.5216436,127.0329814
DMC 홍보관,서울 마포구,02-309-7067,"['DMC', 'DMC홍보관', '관광지', '복합문화공간', '산업관광', '산업관광지', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=256626e5-62a8-4401-a308-3b788c5e8f9b&thumb,서울특별시 마포구 월드컵북로 366,37.5777446,126.8921565
G밸리 패션지원센터,서울 금천구,02-2627-1309,"['G밸리패션지원센터', '관광지', '산업관광', '산업관광지', '수도권', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=377eb601-c4f5-4445-a5a6-030ab2df773a&thumb,서울특별시 금천구 디지털로10길 9,37.4773564,126.8891438
JTBC,서울 마포구,02-751-6000,"['JTBC', '견학', '관광지', '산업관광', '산업관광지', '수도권', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=22e68489-23b1-4e1f-b3cf-61ead301b8a5&thumb,서울특별시 마포구 상암산로 48-6,37.577011,126.8900277
K-Taekwon school 태권도체험,서울 강동구,-8907,"['건강여행', '관광지', '남녀노소', '실내레포츠', '실내운동', '실내체육관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c8a5712-f8f3-497a-bed3-0bded4503fca&thumb,서울특별시 강동구 고덕로 96,37.5545248,127.1358496
KT스퀘어,서울 종로구,1577-5599,"['KT스퀘어', '가족여행', '관광지', '문화공연', '복합문화공간', '산업관광', '산업관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cbd7cb40-5435-4048-a2fe-1f928b9f1103&thumb,서울특별시 종로구 세종대로 178,37.5721178,126.9779584
MBC WORLD(견학홀),서울 마포구,02-789-3705,"['관광지', '산업관광', '산업관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d0409671-0ff3-4575-9609-62af572b53f1&thumb,서울특별시 마포구 성암로 267,37.5740931,126.9035854
SK텔레콤 New ICT체험관 T.um,서울 중구,02- 6353-6665,"['4G체험', 'SK텔레콤', 'SK텔레콤티움', '관광지', '산업관광', '산업관광지', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3fcdc527-84d6-45a5-8208-913cfea629a9&thumb,서울특별시 중구 을지로 65,37.566448,126.985114
SPA 1899 동인비,서울 강남구,02-557-8030,"['건강여행', '관광지', '남녀노소', '부모님과함께', '연인과함께', '이색체험', '체험프로그램']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=43460f9f-4513-47a5-808a-d176883b5072&thumb,서울특별시 강남구 영동대로 416,37.5065419,127.0653161
tbs교통방송,서울 마포구,02-311-5603,"['TBS', 'tbs교통방송', '견학', '관광지', '교통방송', '방송국', '산업관광', '산업관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4d36fde4-29db-4e6a-aaa2-a0f1519c4734&thumb,서울특별시 마포구 매봉산로 31,37.5754986,126.8899652
VRZONE CINEMA(브이알존 시네마),서울 강남구,02-545-3394,"['관광지', '데이트장소추천', '브이알존', '서울데이트', '실내관광지', '실내놀이터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5a8a8cec-db93-44dd-8fde-a0b967cf1584&thumb,서울특별시 강남구 도산대로11길 18,37.5185926,127.0226869
