name,region,address
150년 수령 느티나무,서울 양천구,서울 양천구 목4동 760-28
3.1독립선언기념탑,서울 서대문구,서울특별시 서대문구 통일로 251
3.1독립운동기념탑,서울 중구,서울특별시 중구 장충단로 91
63스퀘어,서울 영등포구,서울특별시 영등포구 63로 50
AHC스파,서울 강남구,서울특별시 강남구 도산대로 237
DMC 홍보관,서울 마포구,서울특별시 마포구 월드컵북로 366
G밸리 패션지원센터,서울 금천구,서울특별시 금천구 디지털로10길 9
JTBC,서울 마포구,서울특별시 마포구 상암산로 48-6
K-Taekwon school 태권도체험,서울 강동구,서울특별시 강동구 고덕로 96
KT스퀘어,서울 종로구,서울특별시 종로구 세종대로 178
MBC WORLD(견학홀),서울 마포구,서울특별시 마포구 성암로 267
SK텔레콤 New ICT체험관 T.um,서울 중구,서울특별시 중구 을지로 65
SPA 1899 동인비,서울 강남구,서울특별시 강남구 영동대로 416
tbs교통방송,서울 마포구,서울특별시 마포구 매봉산로 31
VRZONE CINEMA(브이알존 시네마),서울 강남구,서울특별시 강남구 도산대로11길 18
VRZONE 용산 아이파크몰점,서울 용산구,서울특별시 용산구 한강대로23길 55
VR스테이션,서울 강남구,서울특별시 강남구 강남대로 364
YTN,서울 마포구,서울특별시 마포구 상암산로 76
갈산근린공원,서울 양천구,서울특별시 양천구 신정동
감로암(서울),서울 종로구,서울특별시 종로구 율곡로23길 16
강남,서울 강남구,서울특별시 강남구 역삼동
강남 마이스 관광특구,서울 강남구,서울특별시 강남구 영동대로 513
강남 시티투어 - 트롤리버스,서울 강남구,서울특별시 강남구 압구정로 161
강동예찬시비,서울 강동구,서울특별시 강동구 천호동
강변스파랜드,서울 광진구,서울특별시 광진구 구의강변로 45
강서습지생태공원,서울 강서구,서울특별시 강서구 양천로27길 279-23
개봉 유수지,서울 구로구,서울특별시 구로구 개봉동
개운사(서울),서울 성북구,서울특별시 성북구 개운사길 73
경국사(서울),서울 성북구,서울특별시 성북구 보국문로 113-10
경복궁,서울 종로구,서울특별시 종로구 사직로 161
경성 부민관 폭탄 의거지,서울 중구,서울특별시 중구 세종대로 125
경운동민병옥가옥,서울 종로구,서울특별시 종로구 인사동10길 23-9
경의선책거리,서울 마포구,서울특별시 마포구 와우산로35길 50-4
경찰혼,서울 영등포구,서울특별시 영등포구 국회대로 608
경희궁,서울 종로구,서울특별시 종로구 새문안로 55
경희궁 숭정전,서울 중구,서울특별시 종로구 새문안로 45
경희궁 흥화문,서울 종로구,서울특별시 종로구 새문안로 55
경희궁공원,서울 종로구,서울특별시 종로구 새문안로 45
"계남공원(유아숲체험장, 우렁바위)",서울 양천구,서울특별시 양천구 중앙로 153
고당조만식선생동상,서울 광진구,서울특별시 광진구 능동로 216
고덕동 생태경관 보전지역,서울 강동구,서울특별시 강동구 고덕동 396번지 일대
고척근린공원,서울 구로구,서울특별시 구로구 고척로45길 39
고척동 고인돌,서울 구로구,서울특별시 구로구 고척동
고촌홀(제약박물관),서울 서대문구,서울 서대문구 충정로 8
고하송진우선생동상,서울 광진구,서울특별시 광진구 능동로 216
곰달래꿈마을,서울 양천구,서울특별시 양천구 신월동
공덕동 족발 골목,서울 마포구,서울특별시 마포구 임정로21길 12-4
관문사(서울),서울 서초구,서울특별시 서초구 바우뫼로7길 111
관악산,서울 관악구,서울특별시 관악구 관악로
관악산 낙성대공원,서울 관악구,서울특별시 관악구 낙성대로 77
관악산 생태공원,서울 관악구,서울특별시 관악구 신림로18가길 10
관악산 호수공원,서울 관악구,서울특별시 관악구 대학동
관악산공원 야외식물원,서울 관악구,서울 관악구 대학동 203번지 일대
관음사(서울),서울 관악구,서울특별시 관악구 승방1길 109-80
관훈동 민씨 가옥 (구 부마도위박영효가옥),서울 중구,서울특별시 중구 퇴계로34길 28
광장시장 한복문화 체험관,서울 종로구,서울특별시 종로구 창경궁로 88
광진교 8번가,서울 강동구,서울특별시 강동구 구천면로 77
광화문,서울 종로구,서울특별시 종로구 사직로 161
광화문광장,서울 종로구,서울특별시 종로구 세종대로 172
광흥당,서울 마포구,서울특별시 마포구 독막로21길 15
광희문,서울 중구,서울특별시 중구 퇴계로 344
구 서울대학교 본관,서울 종로구,서울특별시 종로구 동숭길 3
구공업전습소본관,서울 종로구,서울특별시 용산구 녹사평대로 195
구로공단 노동자생활체험관,서울 금천구,서울특별시 금천구 벚꽃로44길 17
구로기계공구단지,서울 구로구,서울특별시 구로구 구로중앙로 198
구룡산(서울),서울 서초구,서울특별시 서초구 염곡동
구암공원,서울 강서구,서울특별시 강서구 허준로5길 42
구암서원 터(구암정),서울 강동구,서울특별시 강동구 암사동
구의 아리수 정수센터,서울 광진구,서울특별시 광진구 광나루로 571
국립4.19민주묘지,서울 강북구,서울특별시 강북구 4.19로8길 17
