name,region,tel,keyword,photo,address,lat,lon
고복자연공원,세종 한솔동,044-300-4212,"['가족여행', '고복자연공원', '고복저수지', '관광지', '나들이', '데이트코스', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ee50e64d-5ef6-4a37-b863-d194d7eb4051&thumb,세종특별자치시 연서면 도신고복로 586,36.59992339,127.2274386
금강대도,세종 한솔동,044-866-8787,"['관광지', '민족종교', '역사', '역사공부', '역사관광', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a092764d-da4e-49cd-b3ce-55c552682c5a&thumb,세종특별자치시 금남면 금천1길 78,36.44483592,127.3148617
"금강자연휴양림(금강수목원,산림박물관)",세종 한솔동,041-635-7400,"['관광지', '금강수목원', '금강자연휴양림', '나홀로여행', '박물관', '산림박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=17dc9c8c-cd61-4228-b15e-59222e9e5c9f&thumb,세종특별자치시 금남면 산림박물관길 110,36.42766032,127.2335885
금남 백로 서식지,세종 한솔동,044-120,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=02bbda45-25cc-49bc-89ef-a3af6ef0ea28&thumb,세종특별자치시 금남면 감성길 45-13,36.44314819,127.2918304
금사가마골,세종 한솔동,044-301-5800,"['가족과함께', '공예체험', '공예품', '관광지', '도자기공방', '도자기체험', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb,세종특별자치시 전의면 금사길 12,36.60994112,127.1714929
금이성,세종 한솔동,044-300-3444,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4615e9e3-c244-416f-b845-cb3558edfac6&thumb,세종특별자치시 전동면 송성리,36.6436057,127.2136215
김종서장군묘,세종 한솔동,044-330-5832,"['관광지', '묘지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=66bf47e7-3de2-4979-aaa4-64fcbd259579&thumb,세종특별자치시 장군면 대교리,36.51720751,127.2156761
뒤웅박고을,세종 한솔동,044-868-4892,"['관광지', '기념품판매', '뒤웅박고을', '미식여행', '박물관', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3f5e57ed-bbb4-424a-9327-3116922c6371&thumb,세종특별자치시 전동면 배일길 90-43,36.67521955,127.2592523
밀마루전망대,세종 한솔동,044-862-8845,"['경치좋은곳', '관광지', '밀마루전망대', '세종가볼만한곳', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d84fce54-bb7e-455f-b268-8575daf4a23d&thumb,세종특별자치시 도움3로 58,36.50545275,127.2558287
베어트리파크,세종 한솔동,044-866-7766,"['가족여행', '관광지', '나들이', '베어트리파크', '산책하기', '수목원', '숲체험원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=45aeb040-7a5e-4d85-aad9-d3bd68ad2b78&thumb,세종특별자치시 전동면 신송로 217,36.66918775,127.209856
비암사(세종),세종 한솔동,044-863-0230,"['관광지', '불교', '불교문화', '불교사찰', '사찰', '사찰여행', '역사', '역사이야기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bc78a17e-2370-4107-b03d-5c319fc955eb&thumb,세종특별자치시 전의면 비암사길 137,36.6109955,127.1920141
"세종리 은행나무 (구, 양화리 은행나무)",세종 한솔동,044-300-5832,"['관광지', '세종리은행나무', '세종특별자치시기념물', '양화리은행나무', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=08ab217e-75fa-42dd-8c70-5777cf854e4f&thumb,세종특별자치시 연기면,36.50410335,127.2920012
세종호수공원,세종 한솔동,,"['걷기길', '관광지', '나들이', '레포츠체험', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=73e0ebfb-c8f3-4815-b71e-5030c5fc1754&thumb,세종특별자치시 연기면 다솜로 216,36.49881434,127.2700737
신광사(세종),세종 한솔동,044-865-5601,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb,세종특별자치시 조치원읍 토골고개길 24,36.62341591,127.2887639
아람달 체험마을,세종 한솔동,044-868-1055,"['가족과함께', '가족체험', '가족체험여행', '관광지', '문화공간', '비누만들기체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8e1d1c5a-c3dd-40bc-924c-1add9c3942f1&thumb,세종특별자치시 전동면 운주산로 606,36.66594832,127.2449452
연기대첩비공원,세종 한솔동,044-300-3444,"['관광지', '교과서속여행', '기념관', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c701bca-ee1c-46fa-ac6b-f3e6ed7024cd&thumb,세종특별자치시 연서면 도신고복로 586,36.59992339,127.2274386
연기향교,세종 한솔동,044-330-5832,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=073a1fdc-e7e7-43e0-a875-3d93a5cb7e78&thumb,세종특별자치시 연기면 교촌3길 13,36.54330579,127.281162
연화사(세종),세종 한솔동,044-862-8620,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연환경', '전통사찰']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb,세종특별자치시 연서면 연화사길 28-1,36.59251567,127.2793343
영평사,세종 한솔동,044-857-1854,"['관광지', '불교', '불교문화', '사찰', '역사', '영평사', '자연좋은곳', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=645e4f9f-5eb9-413b-a3f3-723b374e77ab&thumb,세종특별자치시 장군면 영평사길 124,36.47329323,127.2276573
