name,region,address
고복자연공원,세종 한솔동,세종특별자치시 연서면 도신고복로 586
"금강자연휴양림(금강수목원,산림박물관)",세종 한솔동,세종특별자치시 금남면 산림박물관길 110
운주산성,세종 한솔동,세종특별자치시 기념물 제1호(2012.12.31 지정)
세종호수공원,세종 한솔동,세종특별자치시 연기면 다솜로 216
베어트리파크,세종 한솔동,세종특별자치시 전동면 신송로 217
조천연꽃공원,세종 한솔동,세종특별자치시 조치원읍 번암리 226
비암사(세종),세종 한솔동,세종특별자치시 전의면 비암사길 137
밀마루전망대,세종 한솔동,세종특별자치시 도움3로 58
영평사,세종 한솔동,세종특별자치시 장군면 영평사길 124
뒤웅박고을,세종 한솔동,세종특별자치시 전동면 배일길 90-43
우주측지관측센터,세종 한솔동,세종특별자치시 연기면 월산공단로 276-71
아람달 체험마을,세종 한솔동,세종특별자치시 전동면 운주산로 606
금강대도,세종 한솔동,세종특별자치시 금남면 금천1길 78
"세종리 은행나무 (구, 양화리 은행나무)",세종 한솔동,세종특별자치시 연기면
김종서장군묘,세종 한솔동,세종특별자치시 장군면 대교리
전의향교,세종 한솔동,세종특별자치시 전의면 북촌1길 5-18
합호서원,세종 한솔동,세종특별자치시 연동면 원합강1길 262-6
금남 백로 서식지,세종 한솔동,세종특별자치시 금남면 감성길 45-13
연기대첩비공원,세종 한솔동,세종특별자치시 연서면 도신고복로 586
황룡사(세종),세종 한솔동,세종특별자치시 연동면 황우재길 22-17
금이성,세종 한솔동,세종특별자치시 전동면 송성리
연기향교,세종 한솔동,세종특별자치시 연기면 교촌3길 13
연화사(세종),세종 한솔동,세종특별자치시 연서면 연화사길 28-1
금사가마골,세종 한솔동,세종특별자치시 전의면 금사길 12
청안사(세종),세종 한솔동,세종특별자치시 전의면 가느실길 128-23
신광사(세종),세종 한솔동,세종특별자치시 조치원읍 토골고개길 24
학림사(세종),세종 한솔동,세종특별자치시 연서면 와룡로 353
