name,region,address
월미도,인천 중구,인천광역시 중구 월미문화로 36
석모도 미네랄 온천,인천 강화군,인천광역시 강화군 삼산면 삼산남로 865-17
교동도(강화),인천 강화군,인천광역시 강화군 교동면 교동남로 35
굴업도,인천 옹진군,인천 옹진군 덕적면 굴업리
송도 센트럴파크,인천 연수구,인천광역시 연수구 컨벤시아대로 160
석모도,인천 강화군,인천광역시 강화군 삼산면 삼산북로 9
인천 차이나타운,인천 중구,인천광역시 중구 차이나타운로59번길 20
덕적도,인천 옹진군,인천광역시 옹진군 덕적면 덕적북로 130
강화씨사이드리조트 루지,인천 강화군,인천광역시 강화군 길상면 장흥로 223-3
강화 동막해변,인천 강화군,인천광역시 강화군 화도면 해안남로 1481
을왕리해수욕장,인천 중구,인천광역시 중구 을왕로13번길 15
소이작도,인천 옹진군,인천광역시 옹진군 자월면 이작리
경인 아라뱃길,인천 서구,인천광역시 서구 정서진1로 41
"동검도(나들길,캠핑,예술극장)",인천 강화군,인천광역시 강화군 길상면 동검길63번길 60
민머루해변,인천 강화군,인천광역시 강화군 삼산면 어류정길212번길
신시모도 (신도ㆍ시도ㆍ모도),인천 옹진군,인천광역시 옹진군 북도면
보문사(강화),인천 강화군,인천광역시 강화군 삼산면 삼산남로828번길 44
석모도 자연휴양림,인천 강화군,인천광역시 강화군 삼산면 삼산서로 39-75
강화 덕진진,인천 강화군,인천광역시 강화군 불은면 덕진로 34
백령도,인천 옹진군,인천광역시 옹진군 백령면 백령로
옹진 백령도 두무진,인천 옹진군,인천광역시 옹진군 백령면 두무진로 559-3
선녀바위,인천 중구,인천광역시 중구 을왕동
소래습지생태공원,인천 남동구,인천광역시 남동구 소래로154번길 77
옥토끼우주센터,인천 강화군,인천광역시 강화군 불은면 강화동로 403
송월동 동화마을,인천 중구,인천광역시 중구 동화마을길 38
강화도제적봉 평화전망대,인천 강화군,인천광역시 강화군 양사면 전망대로 797
볼음도(저어새 생태마을),인천 강화군,인천광역시 강화군 서도면
영흥도,인천 옹진군,인천광역시 옹진군 영흥면
소청도,인천 옹진군,인천광역시 옹진군 대청면 소청리
고려산,인천 강화군,인천광역시 강화군 내가면 고천리
연안부두,인천 중구,인천광역시 중구 연안부두로 70
갑곶돈대,인천 강화군,인천광역시 강화군 강화읍 해안동로1366번길 18
