name,region,tel,keyword,photo
선유도,전북 군산시,063-454-7280,"['관광지', '미식여행', '바다풍경', '선유도', '섬여행', '자연', '전라권', '친환경여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4334c77b-6b78-4f3c-85ac-591b1267a527&thumb
전주한옥마을 [슬로시티],전북 전주시,063-282-1330,"['19_20한국관광100선', '2010', '가족여행', '관광시설 부문', '관광지', '미식여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2ec20025-d663-48eb-8f59-e77092144b69&thumb
지리산 허브밸리,전북 남원시,063-625-0625,"['감성사진', '관광지', '남녀노소', '데이트장소추천', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=900039c9-2262-4f80-baf9-05244dcdee43&thumb
광한루원,전북 남원시,063-625-4861,"['가족여행', '관광지', '광한루원', '교과서속여행', '아이와함께', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=97d877ab-1ba4-46cd-9dbd-46a3ec2375dc&thumb
내변산,전북 부안군,063-582-7808,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8748b775-51ca-4043-b3df-25be0c20fb5d&thumb
선유도해수욕장 (명사십리 해수욕장),전북 군산시,063-454-3332,"['가족여행', '갯벌체험', '경치좋은곳', '관광지', '레포츠', '명사십리해수욕장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bc46dd1a-5b82-4873-9cb8-c6de7254696d&thumb
장수누리파크,전북 장수군,063-352-5660,"['가족과함께', '관광지', '남녀노소', '산책하기좋은곳', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0274187a-b66e-41d0-8ac4-20de19fd4a07&thumb
우화정(내장산),전북 정읍시,063-538-7875,"['관광지', '내장산', '방태산자연휴양림', '연인과함께', '우화정', '자연', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cfd40d75-93b7-4f9e-8cb5-50182d87d151&thumb
동국사(군산),전북 군산시,063-462-5366,"['가족여행', '관광지', '동국사', '등록문화재', '사찰&산사', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7e185aba-8bc8-4abf-a6f5-14050cb363c3&thumb
보리나라 학원농장,전북 고창군,063-564-9897,"['가족여행', '관광지', '기차여행', '나들이', '데이트코스', '무료입장', '보리나라학원농장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2e990289-6947-4b73-8017-d50fd07ae7b4&thumb
선운사(고창),전북 고창군,063-561-1422,"['가족여행', '가족체험여행', '관광지', '불교', '불교문화', '사계절', '사찰', '사찰여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2c57d05-b6f2-4ae1-969c-bc9d513bba67&thumb
무주 구천동 33경,전북 무주군,063-320-2537,"['가을여행', '겨울여행', '관광지', '단풍여행', '무주구천동33경', '사계절', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e1623ca0-45cc-4112-924a-1ee04aec3b68&thumb
채석강 (전북 서해안권 국가지질공원),전북 부안군,063-580-4331,"['가족여행', '관광지', '국가지질공원', '바다풍경', '부안채석강', '연중무휴', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46799820-b787-4014-bf62-32b460095b85&thumb
용담호,전북 진안군,063-430-4262,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2c91ec6-b2b8-4270-baaf-e179cfd30433&thumb
한국도로공사수목원,전북 전주시,063-212-0652,"['가족여행', '관광지', '꽃여행', '생태관광지', '수목원', '아이와함께', '자연', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=891dc0d0-4aab-4eb5-9018-f62756f73bef&thumb
부귀 메타세쿼이아길,전북 진안군,063-430-2651,"['관광지', '드라이브여행', '드라이브코스', '산책하기좋은곳', '연인과함께', '영화촬영지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ccd63541-792d-4adc-8d7a-69c90268d848&thumb
내장산 국립공원,전북 정읍시,063-538-7875,"['15_16한국관광100선', '19_20한국관광100선', '관광지', '내장산', '내장산']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3e11387-a0ea-4745-a4f1-f5ed200d367b&thumb
고창읍성,전북 고창군,063-560-8067,"['가족여행', '고창읍성', '관광지', '교과서속여행', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f8bdd5ee-943c-4731-ae03-e1eca5a7072a&thumb
원연장 꽃잔디마을,전북 진안군,,"['관광지', '남녀노소', '아이와함께', '연인과함께', '이색체험', '자연마을', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=45746152-b8ff-4e1d-9f6f-0e834c2c2e14&thumb
내장산국립공원,전북 순창군,063-538-7875,"['가족여행', '관광지', '꽃여행', '내장산', '내장산국립공원', '등산', '등산로', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d547f886-a740-418f-9880-cda59fbae183&thumb
마이산도립공원,전북 진안군,063-430-8751,"['가족여행', '관광지', '꽃여행', '등산', '등산로', '마이산도립공원', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=89f4987f-ce6d-4160-a08b-b449d3d6a9db&thumb
교룡산국민관광지,전북 남원시,063-633-5353,"['가족여행', '걷기길', '걷기여행', '관광지', '교룡산국민관광지', '등산', '등산로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b694f0db-3fa4-43c2-9e6e-c79bb33433f5&thumb
무주머루와인동굴,전북 무주군,063-322-4720,"['가족여행', '가족체험여행', '관광지', '머루와인동굴', '무주머루와인동굴', '미세먼지탈출_이색동굴여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c9b3339d-7e2a-4366-8c21-98d2c87818d4&thumb
무주 반디랜드,전북 무주군,063-324-1155,"['가족여행', '과학관', '관광지', '나들이', '데이트코스', '무주반디랜드', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3637c231-4ee4-432f-a5cb-71448fe4eb39&thumb
남원 아담원,전북 남원시,063-635-8342,"['가족나들이', '관광지', '남원가볼만한곳', '남원데이트', '남원수목원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=01f22263-504a-48d4-acd2-e32225d69f0b&thumb
향적봉(덕유산),전북 무주군,063-322-3174,"['경치좋은곳', '관광지', '덕유산', '자연', '자연관광지', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9beb27c8-9694-4030-a2e1-a5d9f0a85262&thumb
무녀도‧선유도,전북 군산시,063-454-7285,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '경치좋은곳', '관광지', '무녀도']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f524198f-8166-4a41-837b-bf87b9b4a433&thumb
새만금,전북 부안군,063-540-5800,"['간척지', '걷기길', '걷기좋은곳', '관광지', '드라이브여행', '드라이브코스', '방조제']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ceca51fc-285f-409b-b007-65e85bcd949e&thumb
경기전,전북 전주시,063-281-2790,"['가족여행', '가족체험여행', '경기전', '관광지', '사계절', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5839426b-45a9-44e9-aa19-840024d9c427&thumb
군산 신흥동 일본식가옥(히로쓰 가옥),전북 군산시,063-454-3921,"['관광지', '등록문화재', '신흥동일본식가옥', '역사', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d68c6db-d83b-4929-a658-396b3d9c84b2&thumb
