name,region,tel,keyword,photo,address,lat,lon
1100고지습지,제주 서귀포시,064-710-4071,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ea471cb-2ea3-4534-a3b4-4ab9e4375f87&thumb,제주특별자치도 서귀포시 색달동 산 1-2,33.3577741,126.4625184
KBS 제주,제주 제주시,064-740-7151,"['kbs', 'KBS제주', '견학', '관광지', '문화콘텐츠산업', '방송국', '산업관광', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=10bfbee4-ff0a-4b3b-bcdc-a6ba5abb13c4&thumb,제주특별자치도 제주시 복지로1길 8,33.4880252,126.5263723
SOS박물관,제주 서귀포시,064-739-7707,"['SOS박물관', '가족과함께', '관광지', '교과서속여행', '교육체험', '교육프로그램']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=513a5f8e-d631-4a1a-922d-5a8a90171319&thumb,제주특별자치도 서귀포시 월드컵로 31,33.2472388,126.5092079
가마오름,제주 제주시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ba42eb5b-7c4f-4955-b30c-14971a890602&thumb,제주특별자치도 제주시 한경면 청수서5길,33.3039283,126.2538299
가메창(암메),제주 제주시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4335cef3-b021-4478-abdb-69bd4c75abc2&thumb,제주특별자치도 제주시 한경면 청수로 13-3,33.3209072,126.2460821
가문이오름(감은이오름),제주 서귀포시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=00fddcbf-d217-4833-9ff6-e33a86376d1d&thumb,제주특별자치도 서귀포시 표선면 가시리 산,33.3537012,126.7714295
가새기오름,제주 제주시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48d8593b-3913-4902-8982-9d9ad4cacc8d&thumb,제주특별자치도 제주시 연미길,33.4884191,126.5050501
가세오름,제주 서귀포시,064-740-6000,"['가세오름', '관광지', '등산', '오름', '자연', '자연좋은곳', '제주권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79e0e028-17a3-4d3a-950f-69c76ae553a0&thumb,제주특별자치도 서귀포시 표선면 세화로,33.3202259,126.7912297
가시오름,제주 서귀포시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=09693cdb-3cf2-4f8e-af22-c93bd26d3b3f&thumb,제주특별자치도 서귀포시 대정읍 하모이삼로21번길,33.2246614,126.2502767
가파도,제주 서귀포시,064-794-7130,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=54897720-96ac-42a3-a413-ea0ed82f552e&thumb,제주특별자치도 서귀포시 대정읍 가파로,33.1710594,126.2731193
각시바우오름,제주 서귀포시,064-710-6032,"['각수바우오름', '각시바우오름', '관광지', '자연', '제주권', '학수바우']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2b0e1743-2065-4b7c-a90f-a3d92822b24e&thumb,제주특별자치도 서귀포시 호근동 2112,33.2767541,126.5270288
갈마못(갈뫼못),제주 서귀포시,064-760-3192,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1bdf7ffc-8336-4514-ba28-209ed20f5519&thumb,제주특별자치도 서귀포시 성산읍 중산간동로,33.4119114,126.8416603
갈중이(천연염색체험),제주 서귀포시,064-794-1686,"['가족과함께', '가족체험', '관광지', '남녀노소', '아이와함께', '염색', '염색법']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=303b9329-ef63-42ca-a702-ad7da2f95f2b&thumb,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-61,33.2350833,126.3136705
감낭오름,제주 서귀포시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6b2adc22-1ec7-4a5f-b97b-904193b9a1c7&thumb,제주특별자치도 서귀포시 안덕면 평화로,33.3195978,126.342428
감은이오름,제주 제주시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d6786a3a-b6a8-4877-aff9-77b32d0b7e1e&thumb,제주특별자치도 제주시 구좌읍 번영로,33.4308303,126.7431198
갑선이오름,제주 서귀포시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=579dbe2c-82b7-426f-b383-8eb006b3a80b&thumb,제주특별자치도 서귀포시 표선면 가시로592번길,33.355936,126.7788791
강정천,제주 서귀포시,064-740-6000,"['가족여행', '강정천', '관광지', '생태관광지', '자연', '제주권', '피서']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74834cf8-a9ae-427a-87c2-9783f02339c6&thumb,제주특별자치도 서귀포시 강정통물로,33.2366013,126.4772906
개오름,제주 서귀포시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4bb5ac46-bb9b-491c-b922-57cc478306ff&thumb,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,33.4239746,126.7687182
개오리오름,제주 제주시,064-740-6000,"['개오리오름', '관광지', '오름', '자연', '제주권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=abdbe2b8-1327-491a-acfe-47f3498a98b0&thumb,제주특별자치도 제주시 명림로,33.4629574,126.6161368
갯거리오름(갯그르),제주 서귀포시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1aaf0a4f-6267-461b-8500-aaf12217034f&thumb,제주특별자치도 서귀포시 1100로,33.2763665,126.4476633
거린사슴,제주 서귀포시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58939d8f-bdc1-471f-9c05-74d2bfbe645f&thumb,제주특별자치도 서귀포시 1100로 823,33.3073168,126.4548441
거문오름 [세계자연유산],제주 제주시,064-710-8981,"['거문오름', '관광지', '세계자연유산', '언택트관광지_100선', '자연', '제주권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3f2da54e-5c81-4c6d-bae7-d896522502d0&thumb,제주특별자치도 제주시 조천읍 선교로 569-36,33.4569601,126.7143895
거미오름,제주 제주시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=03a855ec-a4ec-4bed-88d1-5cf2df24b3e8&thumb,제주특별자치도 제주시 구좌읍 종달리 산70,33.4885805,126.8755487
"거슨세미(세미오름, 샘오름)",제주 제주시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3019f5b3-567a-4456-b95c-70016977d118&thumb,제주특별자치도 제주시 구좌읍 비자림로,33.467852,126.7724183
걸시오름,제주 제주시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c15e29a7-8b60-49e7-80df-f0465a9e1019&thumb,제주특별자치도 제주시 연동 산150,33.4113296,126.5054579
검멀레해변,제주 제주시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=95672079-5c2b-49f6-b2b6-fc6991a898c2&thumb,제주특별자치도 제주시 우도면 우도해안길,33.5074342,126.954269
고근산,제주 서귀포시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a21437e8-0de3-4eae-822a-2854fd6b4335&thumb,제주특별자치도 서귀포시 고근산로,33.2689372,126.5124627
고살리 숲길,제주 서귀포시,064-733-8009,"['관광지', '국내힐링여행', '산책코스', '언택트관광지_100선', '자연관광지', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=06bffcd7-a9b1-4a51-b571-07def3c716f3&thumb,제주특별자치도 서귀포시 남원읍 하례리 산54-1,33.3163888,126.5973999
