name,region,tel,keyword,photo,address,lat,lon
(구)강경노동조합,충남 논산시,041-746-5412,"['건축사', '건축여행', '관광지', '구강경노동조합', '근대건축', '근대건축물', '등록문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=39c8c46c-a25d-4408-842b-80d5b36f9967&thumb,충청남도 논산시 강경읍 옥녀봉로27번길 30-5,36.160849,127.0146018
(구)한일은행 강경지점,충남 논산시,041-746-5412,"['건축물', '건축사', '건축여행', '관광지', '근대건축', '근대건축물', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=69088946-8483-479b-8055-b7f26eca9884&thumb,충청남도 논산시 강경읍 계백로167번길 50,36.1621297,127.0151537
(주) 외가집 농업회사법인,충남 부여군,041-834-4706,"['가족과함께', '가족체험', '가족휴양', '관광지', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fa8631b9-9bec-43a2-a091-9da9ff7d2a3c&thumb,충청남도 부여군 옥산면 안골로41번길 21-12,36.1861994,126.7323929
JFK 대천 워터파크,충남 보령시,041-930-2000,"['JFK대천워터파크호텔', '가족과함께', '관광지', '남녀노소', '실내워터파크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c8e27bdf-afa5-46b4-9028-3c85132666e6&thumb,충청남도 보령시 대해로 876,36.3070417,126.5183187
LG 태안 태양광 발전소,충남 태안군,041-674-1806,"['LG', 'LG태안태양광발전소', '견학', '관광지', '이색체험', '체험프로그램', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=594419c6-4d51-414e-8b13-6bb36a5e0166&thumb,충청남도 태안군 원북면 발전로 130,36.8841716,126.2141167
LG화학 대산공장,충남 서산시,041-661-2114,"['LG화학', 'LG화학대산공장', '견학', '관광지', '교육여행', '교육프로그램', '산업관광']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=45ec3dae-5375-499e-a9e9-f46671a215d8&thumb,충청남도 서산시 대산읍 독곶1로 54,37.0042603,126.37941
가야산(서산),충남 서산시,041-662-2113,"['가야산', '가족여행', '관광지', '나들이', '단풍여행', '데이트코스', '등산', '등산로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d45aec42-c5cc-4de2-8587-f1e909793c62&thumb,충청남도 서산시 해미면 산수리,36.707103,126.5870692
가의도,충남 태안군,041-670-2543,"['가의도', '관광지', '섬', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8bd37f25-9300-4248-9cea-49543ed13dbe&thumb,충청남도 태안군 근흥면 가의도길,36.6748071,126.0694825
가파마을,충남 청양군,041-940-2401,"['가족체험', '관광지', '농촌', '농촌마을', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=68ed4f6e-2944-4f77-82ad-49771aa573ba&thumb,충청남도 청양군 대치면 가파로 506-6,36.4976225,126.8796372
각원사,충남 천안시,041-561-3545,"['각원사', '관광지', '교과서속여행', '기차여행', '나들이', '사찰&산사', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ebb92b4d-6939-4672-9194-30f12058f90d&thumb,충청남도 천안시 동남구 각원사길 245,36.8342011,127.1968302
