name,region,tel,keyword,photo,address,lat,lon
CJ 블로썸 캠퍼스 (CJ제일제당),충북 진천군,1855-1996 - -,"['CJ제일제당', '공장견학', '관광지', '만뢰산자연생태공원', '산업관광', '생거진천전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd4688b6-b609-4c66-b0bf-23c8714be26b&thumb,충청북도 진천군 진천읍 씨제이로 110,36.8782964,127.4615591
가락공방,충북 청주시,043-904-4688,"['관광지', '교육프로그램', '문화공간', '문화예술활동', '복합문화공간', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bdd45504-ee36-4e76-9630-604a0be740a9&thumb,충청북도 청주시 상당구 탑동로 95-5,36.6335701,127.502508
가산사,충북 옥천군,043-732-6755,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7b6a786b-4f6a-4a42-80d8-e1b8b0eab3eb&thumb,충청북도 옥천군 안내면 안내회남로 671,36.4015241,127.5974932
가섭사,충북 음성군,043-872-3104,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0fa67395-72f6-4f5b-9a4b-218fd510dad4&thumb,충청북도 음성군 음성읍 가섭길 494,36.9665974,127.7030402
각연사(괴산),충북 괴산군,043-832-6148,"['관광지', '불교', '불교사찰', '사찰', '사찰여행', '역사', '자연속으로', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3c3eb5cd-b503-4a09-8a1b-26b8f00742cf&thumb,충청북도 괴산군 칠성면 각연길 451,36.7548201,127.9272744
갈기산,충북 영동군,043-740-3205,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb,충청북도 영동군 양산면 호탄리,36.1328522,127.6329943
갈론계곡(갈은구곡),충북 괴산군,043-832-5550,"['갈론계곡', '계곡', '관광지', '언택트관광지_100선', '자연', '충청권', '피서']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d18acc4-c938-4a21-949e-c5758d17c22c&thumb,충청북도 괴산군 칠성면 사은리,36.7357961,127.8566438
감곡매괴성모순례지성당,충북 음성군,043-881-2808,"['가족여행', '감곡매괴성모순례지성당', '관광지', '교과서속여행', '성지순례']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7835f3b9-b212-4272-b4c9-beb67f28b2c4&thumb,충청북도 음성군 감곡면 성당길 10,37.1219476,127.6411531
강천사(제천),충북 제천시,043-647-0711,"['강천사', '관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=957387d0-bfb0-4d5d-ab05-833cfe50316c&thumb,충청북도 제천시 송학면 옥천3길 56-10,37.2065293,128.2667458
개심사 목조여래좌상과 목조관음보살좌상,충북 괴산군,043-832-2633,"['관광지', '불교', '불교사찰', '역사', '역사공부', '역사관광지', '역사문화', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=04b59268-33cb-43e7-916c-dee999ef27e7&thumb,충청북도 괴산군 괴산읍 역말길 22,36.8151016,127.7945922
개심사(괴산),충북 괴산군,043-832-2633,"['관광지', '괴산개심사', '목조관음보살좌상', '목조여래좌상', '불교', '불교문화']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=53204a23-728f-46e1-ab3d-bece4de8d90f&thumb,충청북도 괴산군 괴산읍 역말길 22,36.8151016,127.7945922
검암서원,충북 청주시,043-201-2021,"['검암서원', '관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3e1166f0-7e33-4d58-93a4-cb982e786063&thumb,충청북도 청주시 상당구 가덕면 병암리 215-2,36.5788978,127.5715502
계담서원,충북 괴산군,043-830-3433,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=252e938e-9eb0-4d5c-8150-0c5c87b4af53&thumb,충청북도 괴산군 감물면 감물로이담5길 19,36.870928,127.8641927
계명산자연휴양림,충북 충주시,043-870-7930,"['가족여행', '걷기길', '계명산', '계명산자연휴양림', '관광지', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dfd1fe3f-b4c1-47ca-8cee-a085c5324008&thumb,충청북도 충주시 충주호수로 1170,37.0000143,127.9700503
고미술거리,충북 충주시,043-842-4955,"['고미술', '고미술품', '관광지', '광주왕실도자기축제', '문화예술', '미술품', '예술']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58b39164-9ee0-48af-813d-c33c436d9fe1&thumb,충청북도 충주시 중앙탑면 가곡로 2077,37.0749439,127.858536
고산 9경,충북 괴산군,043-830-3114,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74b9a1ad-5cca-493e-88fb-8d8eff3fe41f&thumb,충청북도 괴산군 괴산읍 제월리,36.8227541,127.8266657
고산사 석조관음보살좌상,충북 제천시,043-641-6731,"['관광지', '불교', '불교문화', '역사', '역사공부', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=93662c3e-0a9b-4cb7-bde1-419ea44a593a&thumb,충청북도 제천시 덕산면 월악로9길 113,36.9278334,128.1154633
고산사 석조나한상,충북 제천시,043-641-6731,"['관광지', '불교', '불교문화', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b313bba9-0474-4983-a04a-317183b3c093&thumb,충청북도 제천시 덕산면 월악로9길 113,36.9278334,128.1154633
공림사,충북 괴산군,043-833-1029,"['공림사', '관광지', '교과서속여행', '불교', '불교문화', '사찰', '사찰여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=21a31470-96e4-4f28-99a2-dc7fbde3ac87&thumb,충청북도 괴산군 청천면 괴산로공림길 104,36.6318163,127.8166426
공전자연학교,충북 제천시,043-645-6758,"['공전자연학교', '관광지', '복합문화공간', '아이와함께', '역사유적지', '열린문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d217e0c-7ff1-4a25-9b97-d48ffc488bb2&thumb,충청북도 제천시 봉양읍 의암로 345,37.1142925,128.0793649
과일나라테마공원,충북 영동군,043-740-3651,"['가족과함께', '관광지', '교육프로그램', '남녀노소', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e2522aaa-b842-4d65-bd75-a100ec5010d9&thumb,충청북도 영동군 영동읍 영동힐링로 248,36.1750235,127.7834305
관음암(충북),충북 보은군,043-544-3559,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=null&thumb,충청북도 보은군 속리산면 법주사로 658-191,36.5575014,127.8674678
광덕사,충북 증평군,043-836-8379,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aac53a23-74c3-4498-b859-e7b93c81cfdb&thumb,충청북도 증평군 도안면 상그린로 239,36.832667,127.6246296
광운농촌교육농장,충북 영동군,043-743-8851,"['가족과함께', '관광지', '광운농촌교육농장', '교육여행', '교육프로그램', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bece4f6f-7c9e-423b-9c52-4d338c6e65a9&thumb,충북 영동군 양산면 수두리,36.1415123,127.6546478
괴산 고산정 및 제월대,충북 괴산군,043-830-3433,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b7fa5638-fee0-4f65-9d06-6015815b2f63&thumb,충청북도 괴산군 괴산읍 제월리,36.8227541,127.8266657
괴산 김항묵 고택,충북 괴산군,043-830-3433,"['고택', '관광지', '교과서속여행', '김항묵고택', '문화재', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=679284fb-393a-4501-8b01-45df472ef839&thumb,충청북도 괴산군 칠성면 칠성로4길 20,36.7816481,127.85932
괴산 둔율 올갱이마을,충북 괴산군,043-830-3903,"['가족여행', '가족체험', '관광지', '괴산둔율올갱이마을', '김장체험', '농촌마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d457b4d9-b0b6-4093-a7b1-89eae725a257&thumb,충청북도 괴산군 칠성면 둔율길 142,36.7830176,127.8487827
