address,name,keyword,latitude,longitude,areacode
부산광역시 연제구 묘봉산로 40,감천사,"['관광', '인문', '역사관광지', '사찰']",35.1833036953,129.0912632411,부산
부산광역시 부산진구 안창로14번길 46,광명사,"['관광', '인문', '역사관광지', '사찰']",35.1462125525,129.0451182721,부산
부산광역시 부산진구 전포동,구상반려암 ,"['관광', '자연', '자연관광지', '자연생태관광지']",35.1631194916,129.0721765659,부산
부산광역시 금정구 북문로 42,국청사,"['관광', '인문', '역사관광지', '사찰']",35.2538895578,129.0549922383,부산
부산광역시 동래구 우장춘로 211,금강사,"['관광', '인문', '역사관광지', '사찰']",35.2250098725,129.0771855435,부산
부산광역시 금정구 범어사로 254,금강암,"['관광', '인문', '역사관광지', '사찰']",35.2818532794,129.0652933488,부산
부산광역시 동구 망양로 533-1,금수사,"['관광', '인문', '역사관광지', '사찰']",35.1204207111,129.0296786530,부산
부산광역시 연제구 성지곡로 111,금용암,"['관광', '인문', '역사관광지', '사찰']",35.1916075512,129.0496638560,부산
부산광역시 금정구 금성동,금정산 ,"['관광', '자연', '자연관광지', '산']",35.2684489780,129.0518587773,부산
부산광역시 사하구 낙동남로 1240,낙동강하구 ,"['관광', '자연', '자연관광지', '강']",35.1045515050,128.9460085869,부산
부산광역시 서구 엄광산로40번길 121-22,내원정사,"['관광', '인문', '역사관광지', '사찰']",35.1265474825,129.0122827767,부산
부산광역시 중구 광복중앙로 21,대각사,"['관광', '인문', '역사관광지', '사찰']",35.1010840045,129.0306263201,부산
경기도 양평군 옥천면 신복리,대부산,"['관광', '자연', '자연관광지', '산']",37.5510012643,127.4805591302,부산
부산광역시 서구 암남동,두도 ,"['관광', '자연', '자연관광지', '섬']",35.0490923097,129.0148985467,부산
부산광역시 사하구 다대동,두송반도 ,"['관광', '자연', '자연관광지', '해안절경']",35.0595961635,128.9862007564,부산
부산광역시 연제구 봉수로 138,마하사,"['관광', '인문', '역사관광지', '사찰']",35.1639058017,129.0876863061,부산
부산광역시 사하구 다대동,몰운대 ,"['관광', '자연', '자연관광지', '해수욕장']",35.0402813591,128.9699332506,부산
부산광역시 동구 망양로 671,묘심사,"['관광', '인문', '역사관광지', '사찰']",35.1265813199,129.0398414892,부산
부산광역시 금정구 북문로 126,미륵사,"['관광', '인문', '역사관광지', '사찰']",35.2740066340,129.0489255467,부산
부산광역시 부산진구 새싹로 295,백양산 ,"['관광', '자연', '자연관광지', '산']",35.1853692278,129.0424174355,부산
부산광역시 금정구 범어사로 250,범어사,"['관광', '인문', '역사관광지', '사찰']",35.2839975351,129.0681263762,부산
부산광역시 동래구 동래로 162,법륜사,"['관광', '인문', '역사관광지', '사찰']",35.2037846774,129.0882184992,부산
부산광역시 동구 범상로1번길 35,보광사,"['관광', '인문', '역사관광지', '사찰']",35.1408826262,129.0468821528,부산
부산광역시 영도구 청학동,봉래산,"['관광', '자연', '자연관광지', '산']",35.0825699231,129.0584994009,부산
부산광역시 금정구 오륜대로 57,부산 가톨릭 특성화 거리,"['관광', '인문', '체험관광지', '이색거리']",35.2440581161,129.0976415723,부산
부산광역시 사하구 감내2로 203,부산 감천문화마을,"['관광', '인문', '체험관광지', '이색체험']",35.0975007038,129.0106253789,부산
부산광역시 동래구 복천로 66,부산 복천동 고분군,"['관광', '인문', '역사관광지', '유적지/사적지']",35.2068732659,129.0906820891,부산
부산광역시 중구 광복로12번길 3,부산 부평 족발 골목,"['관광', '인문', '체험관광지', '이색거리']",35.0992146927,129.0264572886,부산
부산광역시 서구 송도해변로 171,부산 송도해상케이블카,"['관광', '자연', '자연관광지', '산']",35.0766810472,129.0234248332,부산
부산광역시 서구 송도해변로 50,부산 송도해수욕장,"['관광', '자연', '자연관광지', '해수욕장']",35.0739256715,129.0164588470,부산
부산광역시 동구 홍곡로 75,부산 수정동 일본식 가옥,"['관광', '인문', '역사관광지', '유적지/사적지']",35.1255703737,129.0426662711,부산
부산광역시 서구 암남공원로 185,부산 암남공원,"['관광', '인문', '휴양관광지', '공원']",35.0616492424,129.0151037432,부산
부산광역시 사하구 하단동,부산 에덴공원,"['관광', '인문', '휴양관광지', '공원']",35.1092346301,128.9632291831,부산
부산광역시 해운대구 수영강변대로 120,부산 영화의 전당,"['관광', '인문', '산업관광지', '기타']",35.1707946470,129.1270576924,부산
부산광역시 해운대구 APEC로 58,부산 올림픽동산,"['관광', '인문', '휴양관광지', '공원']",35.1644621364,129.1331740011,부산
부산광역시 중구 구덕로 73,부산 자갈치 양곱창 골목,"['관광', '인문', '체험관광지', '이색거리']",35.0973677005,129.0277461155,부산
부산광역시 서구 망양로193번길 187,부산 중앙공원,"['관광', '인문', '휴양관광지', '공원']",35.1121382707,129.0278123742,부산
부산광역시 동구 자성로 99,부산 진지성,"['관광', '인문', '역사관광지', '성']",35.1357667829,129.0604644448,부산
부산광역시 동구 중앙대로179번길 1,부산 차이나타운특구,"['관광', '인문', '휴양관광지', '관광단지']",35.1134327682,129.0385614042,부산
부산광역시 기장군 철마면 철마천로 101,부산 치유의 숲,"['관광', '자연', '자연관광지', '자연생태관광지']",35.2690086937,129.1298103057,부산
부산광역시 해운대구 마린시티1로 168,부산 티파니21 크루즈 유람선,"['관광', '인문', '휴양관광지', '유람선/잠수함관광']",35.1568910746,129.1500810722,부산
부산광역시 해운대구 달맞이길62번길 33-1,부산 해운대 관광 유람선,"['관광', '인문', '휴양관광지', '유람선/잠수함관광']",35.1578080325,129.1713319770,부산
충청남도 부여군 규암면,부산각서석,"['관광', '인문', '역사관광지', '유적지/사적지']",36.2936608779,126.9027960704,부산
부산광역시 해운대구 수영강변대로 203,부산광안대교,"['관광', '인문', '건축/조형물', '다리/대교']",35.1449947568,129.1270084045,부산
부산광역시 영도구 남항로9번길 41,부산대교,"['관광', '인문', '건축/조형물', '다리/대교']",35.0960180495,129.0385091058,부산
부산광역시 남구 동명로 57,부산동명불원,"['관광', '인문', '역사관광지', '사찰']",35.1191749994,129.1040277765,부산
충청남도 부여군 규암면 진변로136번길 11-5,부산서원,"['관광', '인문', '역사관광지', '유적지/사적지']",36.2844951021,126.8936832412,부산
부산광역시 부산진구 시민공원로 73,부산시민공원,"['관광', '인문', '휴양관광지', '공원']",35.1654939246,129.0558806966,부산
부산광역시 부산진구 새싹로 295,부산어린이대공원,"['관광', '인문', '휴양관광지', '공원']",35.1872579098,129.0426784717,부산
부산광역시 해운대구 달맞이길 30,부산엑스더스카이,"['관광', '인문', '건축/조형물', '기념탑/기념비/전망대']",35.1613825711,129.1680432760,부산
부산광역시 중구 대청로126번길 12,부산영화체험박물관,"['관광', '인문', '산업관광지', '기타']",35.1017589855,129.0336899238,부산
부산광역시 해운대구 해운대해변로 52,부산영화촬영스튜디오,"['관광', '인문', '산업관광지', '기타']",35.1625180008,129.1380958485,부산
부산광역시 동구 정공단로17번길 17,부산진일신여학교,"['관광', '인문', '역사관광지', '유적지/사적지']",35.1348306373,129.0528984614,부산
부산광역시 부산진구 신천대로 215,부산차량융합기술단,"['관광', '인문', '산업관광지', '자동차']",35.1605860005,129.0482426068,부산
부산광역시 중구 용두산길 37-55,부산타워,"['관광', '인문', '건축/조형물', '기념탑/기념비/전망대']",35.1012701314,129.0326400285,부산
부산광역시 사상구 백양대로804번길 42-123,선광사,"['관광', '인문', '역사관광지', '사찰']",35.1771720590,128.9955161872,부산
부산광역시 부산진구 백양산로 138,선암사,"['관광', '인문', '역사관광지', '사찰']",35.1768587956,129.0275328529,부산
부산광역시 남구 진남로210번길 58-15,성암사,"['관광', '인문', '역사관광지', '사찰']",35.1456799238,129.0800957995,부산
부산광역시 동구 초량상로65번길 7,소림사,"['관광', '인문', '역사관광지', '사찰']",35.1176489316,129.0368531040,부산
부산광역시 서구 암남동,송도반도 ,"['관광', '자연', '자연관광지', '해수욕장']",35.0659655069,129.0195115760,부산
부산광역시 남구 신선로303번길 6,신선대,"['관광', '자연', '자연관광지', '해안절경']",35.1033184289,129.1033782666,부산
부산광역시 기장군 기장읍 내리길 461-16,안적사,"['관광', '인문', '역사관광지', '사찰']",35.2142711270,129.1698833270,부산
부산광역시 사상구 백양대로804번길 42-57,약수암,"['관광', '인문', '역사관광지', '사찰']",35.1782636211,128.9964744075,부산
부산광역시 동구 좌천동로 17-3,연등사,"['관광', '인문', '역사관광지', '사찰']",35.1330863176,129.0491127274,부산
부산광역시 수영구 망미배산로76번나길 15,영주암,"['관광', '인문', '역사관광지', '사찰']",35.1766545764,129.0986683346,부산
부산광역시 남구 용호동,오륙도 ,"['관광', '자연', '자연관광지', '섬']",35.0920423481,129.1269487495,부산
부산광역시 사상구 모라로219번길 173,운수사,"['관광', '인문', '역사관광지', '사찰']",35.1835827820,129.0134338969,부산
부산광역시 기장군 일광면 참샘길 124,월명사,"['관광', '인문', '역사관광지', '사찰']",35.2692436170,129.2167499529,부산
부산광역시 연제구 용호동,이기대 ,"['관광', '자연', '자연관광지', '해안절경']",35.1162451995,129.1271619566,부산
부산광역시 해운대구 좌동 1390,장산 ,"['관광', '자연', '자연관광지', '산']",35.1811053657,129.1681899430,부산
부산광역시 기장군 장안읍 장안로 482,장안사,"['관광', '인문', '역사관광지', '사찰']",35.3745682165,129.2328734022,부산
부산광역시 금정구 북문로 160,정수암,"['관광', '인문', '역사관광지', '사찰']",35.2603720514,129.0489064789,부산
부산광역시 기장군 장안읍 장안로 490-156,척판암,"['관광', '인문', '역사관광지', '사찰']",35.3760512352,129.2249379417,부산
부산광역시 기장군 철마면 임밖길 12,청량사,"['관광', '인문', '역사관광지', '사찰']",35.2390129146,129.1760737724,부산
부산광역시 동래구 충렬대로 345,충렬탑,"['관광', '인문', '건축/조형물', '기념탑/기념비/전망대']",35.2012128903,129.0961401022,부산
부산광역시 해운대구 센텀4로 15,키자니아 부산,"['관광', '인문', '체험관광지', '이색체험']",35.1698725513,129.1283131642,부산
부산광역시 영도구 전망로 24,태종대 ,"['관광', '인문', '휴양관광지', '유원지']",35.0582842405,129.0850810864,부산
부산광역시 동구 충장대로 206,팬스타부산주말원나잇크루즈,"['관광', '인문', '체험관광지', '이색체험']",35.1177630345,129.0491659191,부산
부산광역시 기장군 기장읍 용궁길 86,해동 용궁사,"['관광', '인문', '역사관광지', '사찰']",35.1882833680,129.2235599308,부산
부산광역시 금정구 두구로33번길 202,홍법사,"['관광', '인문', '역사관광지', '사찰']",35.3027517754,129.1106443769,부산
부산광역시 기장군 기장읍 동부산관광6로 59,국립부산과학관,"['문화', '인문', '문화시설', '전시관']",35.2046146711,129.2127159794,부산
부산광역시 부산진구 국악로 2,국립부산국악원,"['문화', '인문', '문화시설', '공연장']",35.1714404510,129.0542528980,부산
경상남도 진주시 진주대로 672,남부산림자원연구소,"['문화', '인문', '문화시설', '전시관']",35.1668126895,128.1066246796,부산
부산광역시 서구 구덕로 225,동아대학교 석당박물관,"['문화', '인문', '문화시설', '박물관']",35.1049250231,129.0187911335,부산
부산광역시 동래구 복천로 63,복천박물관,"['문화', '인문', '문화시설', '박물관']",35.2088924921,129.0911042192,부산
부산광역시 중구 중구로 71,부산 가톨릭센터,"['문화', '인문', '문화시설', '공연장']",35.1042141801,129.0290347066,부산
부산광역시 강서구 낙동북로 477,부산 강서문화원,"['문화', '인문', '문화시설', '문화원']",35.2122261867,128.9804693176,부산
부산광역시 금정구 체육공원로 7,부산 금정문화회관,"['문화', '인문', '문화시설', '공연장']",35.2459439575,129.0944806842,부산
부산광역시 기장군 기장읍 차성동로126번길 13-5,부산 기장도서관,"['문화', '인문', '문화시설', '도서관']",35.2497097044,129.2172810028,부산
부산광역시 동구 성북로36번길 54,부산 동구도서관,"['문화', '인문', '문화시설', '도서관']",35.1380885970,129.0524428566,부산
부산광역시 해운대구 재반로282번길 38,부산 반여도서관,"['문화', '인문', '문화시설', '도서관']",35.2020357183,129.1338451325,부산
부산광역시 해운대구 센텀동로 41,부산 스마트시티 전시관,"['문화', '인문', '문화시설', '전시관']",35.1728778149,129.1307239832,부산
부산광역시 중구 대청로126번길 12,부산 트릭아이뮤지엄,"['문화', '인문', '문화시설', '미술관/화랑']",35.1017589855,129.0336899238,부산
부산광역시 해운대구 양운로 183,부산 해운대도서관,"['문화', '인문', '문화시설', '도서관']",35.1779224038,129.1689871837,부산
부산광역시 해운대구 마린시티1로 167,부산공간화랑,"['문화', '인문', '문화시설', '미술관/화랑']",35.1576770997,129.1502004847,부산
부산광역시 북구 시랑로132번길 88,부산과학기술대학교 민속자료실,"['문화', '인문', '문화시설', '전시관']",35.1944619491,129.0042455100,부산
부산광역시 영도구 함지로79번길 6,부산광역시 영도도서관,"['문화', '인문', '문화시설', '도서관']",35.0755014082,129.0660433825,부산
