address,name,keyword,latitude,longitude,areacode
강원도 고성군 죽왕면 심층수길 124-19,㈜강원심층수,"['관광', '인문', '산업관광지', '식음료']",38.3343742648,128.5216381039,강원
강원도 춘천시 서면 박사로 1210,강원 경찰충혼탑,"['관광', '인문', '건축/조형물', '기념탑/기념비/전망대']",37.9165380832,127.7126856416,강원
강원도 영월군 김삿갓면 옥동장터길 36,강원 영월 김삿갓 [슬로시티],"['관광', '인문', '역사관광지', '민속마을']",37.1256818109,128.5701372137,강원
강원도 영월군 북면 밤재로 351,강원도 탄광문화촌,"['관광', '인문', '산업관광지', '광산']",37.2631362582,128.4669118411,강원
강원도 춘천시 화목원길 24,강원도립화목원,"['관광', '자연', '자연관광지', '수목원']",37.9233347533,127.7254731639,강원
강원도 춘천시 서면 삿갓봉길 102,강원숲체험장,"['관광', '인문', '체험관광지', '농.산.어촌 체험']",37.9629316912,127.6595446610,강원
강원도 횡성군 서원면 경강로 646-18,강원쥬라기랜드,"['관광', '레포츠', '육상 레포츠', 'ATV']",37.5240893228,127.8683692059,강원
강원도 횡성군 갑천면 정포로 327,강원참숯,"['관광', '인문', '체험관광지', '이색체험']",37.5292236459,128.1016118529,강원
강원도 태백시 창죽동,검룡소 ,"['관광', '자연', '자연관광지', '폭포']",37.2306100727,128.9354541660,강원
강원도 고성군 토성면 뒷골길 60,고성 제3기 현무암 ,"['관광', '자연', '자연관광지', '자연생태관광지']",38.2836243183,128.5058577959,강원
강원도 영월군 김삿갓면 영월동로 1117,고씨굴 ,"['관광', '자연', '자연관광지', '동굴']",37.1307444591,128.5353790658,강원
강원도 화천군 사내면 용담리,곡운구곡 ,"['관광', '인문', '역사관광지', '안보관광']",38.0532605818,127.5387168938,강원
강원도 영월군 무릉도원면 운학리 1111-5,구룡산,"['관광', '자연', '자연관광지', '산']",37.3298539120,128.1907402567,강원
강원도 태백시 태백로 2249,구문소 ,"['관광', '자연', '자연관광지', '강']",37.0949998754,129.0395322915,강원
강원도 고성군 간성읍 교동2길 26,극락암,"['관광', '인문', '역사관광지', '사찰']",38.3805783980,128.4399107683,강원
강원도 인제군 기린면 북리,내린천 포트홀 ,"['관광', '자연', '자연관광지', '계곡']",37.9653962072,128.2965060925,강원
강원도 고성군 죽왕면 문암진리,능파대 ,"['관광', '인문', '역사관광지', '안보관광']",38.2963959081,128.5498950558,강원
강원도 인제군 북면 월학리,대암산 용늪 ,"['관광', '자연', '자연관광지', '산']",38.1762023353,128.1567595734,강원
강원도 영월군 영월읍 하송로 44,동강 ,"['관광', '자연', '자연관광지', '강']",37.1842091706,128.4635117051,강원
강원도 양구군 방산면 고방산리,두타연 ,"['관광', '자연', '자연관광지', '계곡']",38.2326563021,127.9814793871,강원
강원도 원주시 소초면,매화산,"['관광', '자연', '자연관광지', '산']",37.4063627557,128.0965381607,강원
강원도 평창군 미탄면 문희길 63,백룡동굴 ,"['관광', '자연', '자연관광지', '동굴']",37.2779144274,128.5770904015,강원
강원도 화천군 상서면 구운리,비래암 ,"['관광', '자연', '자연관광지', '산']",38.1465143583,127.5801103308,강원
강원도 영월군 영월읍 방절리,선돌 ,"['관광', '자연', '자연관광지', '산']",37.2064060724,128.4347997364,강원
강원도 정선군 화암면 몰운리,소금강 ,"['관광', '자연', '자연관광지', '강']",37.3272795510,128.7934722941,강원
강원도 인제군 북면 둔지말길 43-6,소양강 하안단구 ,"['관광', '자연', '자연관광지', '자연생태관광지']",38.1314085900,128.2109560114,강원
강원도 고성군 죽왕면,송지호 해안 서낭바위 ,"['관광', '자연', '자연관광지', '호수']",38.3280945988,128.5297347853,강원
