address,name,keyword,latitude,longitude,areacode
경기도 광주시 남한산성면 남한산성로 731-73,개원사,"['관광', '인문', '역사관광지', '사찰']",37.4740742575,127.1850881761,경기
경기도 남양주시 조안면 북한강로 413,경기 남양주 조안 [슬로시티],"['관광', '인문', '역사관광지', '민속마을']",37.5587972883,127.3123186352,경기
경기도 오산시 청학로 211,경기도립 물향기수목원,"['관광', '자연', '자연관광지', '수목원']",37.1662493315,127.0598415388,경기
경기도 파주시 탄현면 얼음실로 40,경기미래교육 파주캠퍼스,"['관광', '인문', '체험관광지', '이색체험']",37.7845044938,126.7026428319,경기
경기도 양평군 용문면 연수로 209,경기영어마을 양평캠프,"['관광', '인문', '체험관광지', '이색체험']",37.4995839707,127.5756214372,경기
전라북도 전주시 완산구 태조로 44,경기전,"['관광', '인문', '역사관광지', '유적지/사적지']",35.8152058871,127.1498643734,경기
경기도 성남시 분당구 대왕판교로645번길 12,경기콘텐츠 코리아 랩,"['관광', '인문', '산업관광지', '기타']",37.4003091464,127.1049419938,경기
경기도 고양시 덕양구 대서문길 268,국녕사,"['관광', '인문', '역사관광지', '사찰']",37.6470418178,126.9623840960,경기
경기도 광주시 남한산성면 남한산성로780번길 105,국청사,"['관광', '인문', '역사관광지', '사찰']",37.4840701770,127.1771802770,경기
경기도 광주시 오포읍 양촌길 268-1,극락사,"['관광', '인문', '역사관광지', '사찰']",37.3732069633,127.2718387210,경기
경기도 남양주시 별내면 순화궁로909번길 104,내원암,"['관광', '인문', '역사관광지', '사찰']",37.7004739646,127.0873239513,경기
경기도 고양시 덕양구 대서문길 311-35,노적사,"['관광', '인문', '역사관광지', '사찰']",37.6491417491,126.9721359245,경기
경기 가평군 가평읍 두밀리,대금산,"['관광', '자연', '자연관광지', '산']",37.8130533403,127.4363222043,경기
경기도 평택시 진위면 진위로 181-82,만기사,"['관광', '인문', '역사관광지', '사찰']",37.1080845650,127.1008561105,경기
경기도 의정부시 망월로28번길 211-500,망월사,"['관광', '인문', '역사관광지', '사찰']",37.7046917259,127.0213076325,경기
경기도 광주시 남한산성면 남한산성로 680,망월사,"['관광', '인문', '역사관광지', '사찰']",37.4781767652,127.1964786903,경기
경기도 고양시 덕양구 대서문길 184,무량사,"['관광', '인문', '역사관광지', '사찰']",37.6538048594,126.9589925470,경기
경기도 광주시 오포읍 청석로 22-22,백련암,"['관광', '인문', '역사관광지', '사찰']",37.3898798277,127.2605670484,경기
경기도 남양주시 진접읍 봉선사길 32,봉선사,"['관광', '인문', '역사관광지', '사찰']",37.7471036189,127.1837471484,경기
경기도 남양주시 진건읍 사릉로156번길 295,봉인사,"['관광', '인문', '역사관광지', '사찰']",37.6620307984,127.2177242776,경기
강원도 양양군 양양읍 군청길 1,사이클경기장,"['관광', '레포츠', '육상 레포츠', '경기장']",38.0755035170,128.6191178845,경기
경기도 고양시 덕양구 대서문길 197-22,상운사,"['관광', '인문', '역사관광지', '사찰']",37.6571685613,126.9703608585,경기
서울특별시 마포구 월드컵로 240,서울월드컵경기장 스타디움 투어,"['관광', '인문', '산업관광지', '기타']",37.5683081417,126.8972867084,경기
경기도 의정부시 동일로122번길 177,석림사,"['관광', '인문', '역사관광지', '사찰']",37.7011346184,127.0663147378,경기
경기도 부천시 소사로 367,석왕사,"['관광', '인문', '역사관광지', '사찰']",37.4910652639,126.7932011469,경기
경기도 군포시 속달로 347-181,수리사,"['관광', '인문', '역사관광지', '사찰']",37.3541080073,126.8969899700,경기
경기도 남양주시 천마산로 115-13,수진사,"['관광', '인문', '역사관광지', '사찰']",37.6716108383,127.2506098952,경기
경기 성남시 중원구 은행2동,약사사,"['관광', '인문', '역사관광지', '사찰']",37.4670805094,127.1787000666,경기
경기도 안양시 만안구 예술공원로245번길 150,염불암,"['관광', '인문', '역사관광지', '사찰']",37.4287694584,126.9344900240,경기
경기도 의정부시 망월로28번길 356,원효사,"['관광', '인문', '역사관광지', '사찰']",37.7095746145,127.0281624229,경기
경기도 양주시 백석읍 기산로471번길 190,육지장사,"['관광', '인문', '역사관광지', '사찰']",37.7836589115,126.9438346751,경기
경기도 동두천시 평화로2910번길 145,자재암,"['관광', '인문', '역사관광지', '사찰']",37.9458036922,127.0862725345,경기
경기도 광주시 남한산성면 남한산성로 676,장경사,"['관광', '인문', '역사관광지', '사찰']",37.4752576854,127.1979203095,경기
경기도 남양주시 불암산로 145,천보사,"['관광', '인문', '역사관광지', '사찰']",37.6566653120,127.0951050501,경기
경기도 의왕시 청계로 475,청계사,"['관광', '인문', '역사관광지', '사찰']",37.4120065300,127.0347591532,경기
경기도 광주시 도척면 추곡리,태화산,"['관광', '자연', '자연관광지', '산']",37.2807513940,127.2936171458,경기
경기도 하남시 검단산로146번길 240,호국사,"['관광', '인문', '역사관광지', '사찰']",37.5278301039,127.2388484232,경기
경기도 의정부시 전좌로155번길 262,회룡사,"['관광', '인문', '역사관광지', '사찰']",37.7199928365,127.0276177307,경기
경기도 과천시 도서관길 36,경기과천교육도서관,"['문화', '인문', '문화시설', '도서관']",37.4323257114,126.9965953850,경기
경기도 수원시 영통구 광교산로 154-42,경기대학교박물관,"['문화', '인문', '문화시설', '박물관']",37.3005500052,127.0347178433,경기
경기도 용인시 기흥구 민속촌로 89,경기도국악당,"['문화', '인문', '문화시설', '공연장']",37.2593867373,127.1135118480,경기
경기도 안산시 단원구 동산로 268,경기도미술관,"['문화', '인문', '문화시설', '미술관/화랑']",37.3250570533,126.8099598046,경기
경기도 용인시 기흥구 상갈로 6,경기도박물관,"['문화', '인문', '문화시설', '박물관']",37.2682634008,127.1086564838,경기
