address,name,keyword,latitude,longitude,areacode
세종특별자치시 전의면 비암사길 137,비암사,"['관광', '인문', '역사관광지', '사찰']",36.6114045131,127.1920532311,세종
경상북도 성주군 월항면 세종대왕자태실로 639-18,성주 세종대왕자 태실,"['관광', '인문', '역사관광지', '유적지/사적지']",36.0196335960,128.2940545707,세종
서울특별시 종로구 세종대로 175,세종대왕 동상,"['관광', '인문', '건축/조형물', '동상']",37.5721757834,126.9768376800,세종
서울특별시 종로구 세종대로 175,세종로공원,"['관광', '인문', '휴양관광지', '공원']",37.5734839509,126.9760710456,세종
세종특별자치시 연기면,세종리 은행나무 ,"['관광', '자연', '관광자원', '희귀동.식물']",36.5042074720,127.2918860778,세종
경기도 여주시 강천면 부평로 3,세종천문대,"['관광', '자연', '자연관광지', '자연생태관광지']",37.2573597221,127.7542483851,세종
세종특별자치시 연기면 다솜로 216,세종호수공원,"['관광', '인문', '휴양관광지', '공원']",36.4988132589,127.2700742915,세종
세종특별자치시 조치원읍 토골고개길 24,신광사,"['관광', '인문', '역사관광지', '사찰']",36.6233576404,127.2890553007,세종
경기도 여주시 능서면 영릉로 269-50,여주 영릉,"['관광', '인문', '역사관광지', '유적지/사적지']",37.3060263378,127.6038994562,세종
세종특별자치시 연서면 연화사길 28-1,연화사,"['관광', '인문', '역사관광지', '사찰']",36.5924193546,127.2794653419,세종
세종특별자치시 전의면 가느실길 128-23,청안사,"['관광', '인문', '역사관광지', '사찰']",36.6405039409,127.1916274750,세종
세종특별자치시 연서면 와룡로 353,학림사,"['관광', '인문', '역사관광지', '사찰']",36.5843585782,127.2462185470,세종
세종특별자치시 연동면 황우재길 22-17,황룡사,"['관광', '인문', '역사관광지', '사찰']",36.5261726219,127.3482554243,세종
세종특별자치시 다솜3로 48,국립세종도서관,"['문화', '인문', '문화시설', '도서관']",36.4988104520,127.2683855544,세종
경기도 여주시 영릉로 125,세종국악당,"['문화', '인문', '문화시설', '공연장']",37.2973999374,127.6246422732,세종
경기도 여주시 능서면 영릉로 269-10,세종대왕 역사문화관,"['문화', '인문', '문화시설', '전시관']",37.3049849280,127.6113515895,세종
서울특별시 동대문구 회기로 56,세종대왕기념관,"['문화', '인문', '문화시설', '기념관']",37.5909886692,127.0426867002,세종
서울특별시 광진구 능동로 209,세종대학교박물관,"['문화', '인문', '문화시설', '박물관']",37.5514577128,127.0738627621,세종
세종특별자치시 조치원읍 문예회관길 22,세종문화예술회관,"['문화', '인문', '문화시설', '공연장']",36.5997714302,127.2874144269,세종
세종특별자치시 조치원읍 문화로 17,세종문화원,"['문화', '인문', '문화시설', '문화원']",36.6033740279,127.3005575929,세종
서울특별시 종로구 세종대로 175,세종문화회관,"['문화', '인문', '문화시설', '공연장']",37.5720646708,126.9760488661,세종
세종특별자치시 전의면 금사길 75,세종시립민속박물관,"['문화', '인문', '문화시설', '박물관']",36.6086211161,127.1704135845,세종
서울특별시 종로구 세종대로 지하 175,세종이야기,"['문화', '인문', '문화시설', '기념관']",37.5720202467,126.9768876789,세종
서울특별시 중구 퇴계로 145,세종호텔 세종갤러리,"['문화', '인문', '문화시설', '미술관/화랑']",37.5614466739,126.9879369721,세종
세종특별자치시 다솜3로 66,정부세종컨벤션센터,"['문화', '인문', '문화시설', '컨벤션센터']",36.5010852188,127.2699631287,세종
세종특별자치시 다솜3로 66,나라꽃 무궁화 세종 축제 2019,"['축제/공연/행사', '인문', '축제', '일반축제']",36.5010852188,127.2699631287,세종
세종 조치원읍 문예회관길 22,대한민국연극제 in 세종 2020,"['축제/공연/행사', '인문', '축제', '일반축제']",36.5994853520,127.2874560975,세종
서울특별시 종로구 세종대로 175,세종문화회관과 서울시립교향악단이 함께하는 <신년음악회> 2020,"['축제/공연/행사', '인문', '공연/행사', '클래식음악회']",37.5722396646,126.9768321230,세종
서울특별시 종로구 세종대로 175,세종예술시장 소소 2019,"['축제/공연/행사', '인문', '공연/행사', '기타행사']",37.5721757834,126.9768376800,세종
서울특별시 종로구 세종대로 175,세종페스티벌×서울뮤직위크 2019,"['축제/공연/행사', '인문', '축제', '일반축제']",37.5721757834,126.9768376800,세종
세종특별자치시 연기면 호수공원길 155,세종호수예술축제,"['축제/공연/행사', '인문', '축제', '일반축제']",36.4967663593,127.2750155705,세종
세종특별자치시 연서면 세종로 2156-9,세종승마클럽&아카데미,"['레포츠', '레포츠', '육상 레포츠', '승마']",36.5791322421,127.2936172126,세종
세종특별자치시 전의면 운주산로 1510,세종에머슨 컨트리클럽,"['레포츠', '레포츠', '육상 레포츠', '골프']",36.6969140125,127.1852876151,세종
