address,name,keyword,latitude,longitude,areacode
울산광역시 울주군 언양읍,고헌산,"['관광', '자연', '자연관광지', '산']",35.6396001019,129.1150012809,울산
울산광역시 중구 신기16길 62,관음사,"['관광', '인문', '역사관광지', '사찰']",35.5563517735,129.2968905069,울산
울산광역시 울주군 온양읍 대운상대길 382,내원암,"['관광', '인문', '역사관광지', '사찰']",35.3990459917,129.2310950974,울산
울산광역시 북구 화동15길 77,도솔암,"['관광', '인문', '역사관광지', '사찰']",35.5951044359,129.3746104078,울산
울산광역시 울주군 상북면 배내로 1061,배내골,"['관광', '자연', '자연관광지', '계곡']",35.5354459859,129.0102355782,울산
울산광역시 중구 백양로 67,백양사,"['관광', '인문', '역사관광지', '사찰']",35.5746139183,129.3133413339,울산
울산광역시 울주군 상북면 석남로 557,석남사,"['관광', '인문', '역사관광지', '사찰']",35.6211173075,129.0324006938,울산
강원도 속초시 설악산로 1091,설악산 울산바위,"['관광', '자연', '관광자원', '기암괴석']",38.1869348183,128.4664782790,울산
울산광역시 북구 대안4길 280,신흥사,"['관광', '인문', '역사관광지', '사찰']",35.6610639896,129.3909210020,울산
울산광역시 북구 무룡로 225,옥천암,"['관광', '인문', '역사관광지', '사찰']",35.5801174291,129.3850376997,울산
울산광역시 중구 서동,울산 경상좌도병영성,"['관광', '인문', '역사관광지', '유적지/사적지']",35.5771336610,129.3442163460,울산
울산광역시 남구 장생포동,울산 귀신고래 회유해면,"['관광', '자연', '자연관광지', '자연생태관광지']",35.5041121316,129.3876451745,울산
울산광역시 울주군 범서읍 두산로 52,울산 들꽃학습원,"['관광', '자연', '자연관광지', '자연생태관광지']",35.5910001775,129.2715584085,울산
울산광역시 중구 옥교동,울산 문화의거리,"['관광', '인문', '체험관광지', '이색거리']",35.5564883371,129.3217522219,울산
울산광역시 동구 성끝길 103,울산 소리체험관,"['관광', '인문', '체험관광지', '이색체험']",35.4809183669,129.4328446686,울산
울산광역시 남구 여천로66번길 7,울산 신화마을,"['관광', '인문', '체험관광지', '이색거리']",35.5235174122,129.3413431085,울산
울산광역시 중구 문화의거리 28,울산 큰애기하우스,"['관광', '인문', '체험관광지', '이색체험']",35.5566272097,129.3217188878,울산
울산광역시 남구 두왕로 277,울산 태화사지 십이지상 사리탑,"['관광', '인문', '역사관광지', '유적지/사적지']",35.5271580556,129.3087097418,울산
울산광역시,울산 12경,"['관광', '자연', '자연관광지', '산']",35.5388706765,129.3112952980,울산
