name,region,tel,keyword,photo
경주 동궁과 월지,경북 경주시,054-750-8655,"['경상권', '경주동궁과월지', '관광지', '데이트코스', '야간관광100선', '야경투어']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=25ccbe01-89e9-404a-a79d-1acc13aec5ab&thumb
부석사[유네스코 세계문화유산],경북 영주시,054-633-3464,"['15_16한국관광100선', '19_20한국관광100선', '가족여행', '경북', '경상권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=abb38a69-cae4-4f15-8de0-dfb85547e53a&thumb
하옥계곡,경북 포항시,054-270-5837,"['가족과함께', '관광지', '여름여행', '여름피서지', '여름휴양', '자연', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
월영교,경북 안동시,054-852-6800,"['가족여행', '경상권', '관광지', '봄꽃여행', '산책하기', '산책하기좋은곳', '야경좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8c720abb-4cca-4faa-a788-bf04f524499f&thumb
진남교반,경북 문경시,054-550-6393,"['가족여행', '경북팔경', '경상권', '경치좋은곳', '관광지', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2b4f74f4-53a7-4816-8711-c039a15d5124&thumb
낙강물길공원,경북 안동시,054-850-4203,"['가족과함께', '관광지', '산책길', '아이와함께', '언택트관광지_100선', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6efbffd6-7c05-47ea-9940-ed2a9319859d&thumb
오어사(포항),경북 포항시,054-292-2083,"['경상권', '관광지', '불교', '불교문화', '불교사찰', '사찰', '사찰여행', '역사', '오어사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e7f29e50-0f69-4b81-b05d-75f7498247bc&thumb
등기산스카이워크,경북 울진군,054-740-7362,"['가족과함께', '경치여행', '경치좋은곳', '관광지', '등기산', '바다경치', '바다내음']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e15cad05-57ab-4a9b-9c3a-90389f2350aa&thumb
삼사해상공원 (삼사해상산책로),경북 영덕군,054-730-6790,"['가족여행', '걷기여행', '경치좋은곳', '관광지', '바다풍경', '삼사해상공원', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c7bf3bf7-f556-4e44-86c4-fb56cf5b912a&thumb
경주 보문관광단지,경북 경주시,054-745-7601,"['가족여행', '가족체험여행', '경주보문관광단지', '관광지', '교과서속여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c3bcb27-17f7-4bcc-bf05-df7b51a35c9f&thumb
국립백두대간수목원,경북 봉화군,054-679-1000,"['걷기길', '경상권', '관광지', '국립백두대간수목원', '수목원', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=435695fc-4c54-473b-af89-3a56b7c1c174&thumb
경주 불국사 [유네스코 세계문화유산],경북 경주시,054-746-9913,"['19_20한국관광100선', '가족여행', '경주불국사', '관광지', '교과서속여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cf4a70fb-fb8a-4fc0-b0f9-5d70658bf3ae&thumb
경주 대릉원 일원,경북 경주시,054-750-8650,"['19_20한국관광100선', '가족여행', '경북', '경상권', '경주대릉원일대', '경주대릉원일원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f6c20aaf-9ef4-4651-9188-f30da04a43a4&thumb
경주 첨성대,경북 경주시,054-772-3843,"['가족여행', '관광지', '교과서속여행', '아이와함께', '야간관광100선', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=184ccb6b-a821-4828-a9d4-ab408d2fa3ac&thumb
안동 하회마을 [유네스코 세계문화유산],경북 안동시,054-852-3588,"['19_20한국관광100선', '2011', '가족여행', '걷기길', '경상권', '관광지', '교과서속여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=61a042b2-7731-4459-9748-a32e954961d6&thumb
경주월드 어뮤즈먼트,경북 경주시,054-745-7711,"['가족여행', '경주월드어뮤즈먼트', '관광지', '놀이기구', '놀이동산', '놀이동산&테마파크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=719eea04-c29a-4b73-8ca7-817d33d904ea&thumb
호미곶 해맞이광장,경북 포항시,054-270-5806,"['경상권', '경치좋은곳', '관광지', '기념관', '바다경치', '바다풍경', '사진찍기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=91fd3f17-b1ad-46d7-abf3-80e698f4e9a5&thumb
