name,region,tel,keyword,photo
대구 달성공원,대구 중구,053-803-7361,"['가족여행', '걷기길', '걷기여행', '관광지', '나들이', '대구달성공원', '동물원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b48e96ef-da61-43e4-8ca4-4bc7478384b6&thumb
수성못 유원지,대구 수성구,053-666-2863,"['걷기길', '경상권', '관광지', '나들이', '데이트코스', '수성못유원지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0ecd6717-7733-48e9-a197-8a4530c58789&thumb
국채보상운동기념공원,대구 중구,053-745-6753,"['가족여행', '걷기길', '경상권', '관광지', '교과서속여행', '국채보상운동기념공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=899393ff-7896-470a-bea6-211a3f97f868&thumb
경상감영공원,대구 중구,053-254-9404,"['가족여행', '걷기여행', '경상감영공원', '관광지', '나들이', '아이와함께', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7d28b52b-cae6-4f75-b569-dcd5a820b2ea&thumb
대구수목원,대구 달서구,053-803-7270,"['가족여행', '걷기길', '관광지', '대구수목원', '데이트코스', '산책로', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f29cc23e-a445-4b26-94df-39fe27f8f998&thumb
용연사(대구),대구 달성군,053-616-8846,"['관광지', '기차여행', '불교', '불교문화', '사찰', '사찰여행', '산사', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=66a25e93-f552-4abc-ab8f-ca770e3c5fc6&thumb
옥연지 송해공원,대구 달성군,053-746-6407,"['공원', '관광지', '대구관광명소', '송해공원', '습지생태체험', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bcd92f62-cd14-46e1-b2c4-8d40c465f489&thumb
김광석 길 (김광석다시그리기길),대구 중구,053-661-3328,"['19_20한국관광100선', '가족여행', '감성사진', '걷기여행', '경상권', '관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5ca63ef0-7de0-407d-a146-210bf156bb5c&thumb
이월드,대구 달서구,053-620-0001,"['가족과함께', '감성사진', '관광지', '놀이공원', '놀이공원&테마파크', '놀이동산']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bc233c6a-e7c8-4317-8b35-e69ba8f47d10&thumb
안지랑 곱창골목,대구 남구,010-8852-0378,"['가족여행', '경상권', '곱창골목', '곱창맛집', '관광지', '대구가볼만한곳', '대구맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=addfc857-5833-4d55-b450-766feff0491d&thumb
대구앞산공원,대구 남구,053-625-0967,"['가족여행', '관광지', '나들이', '대구앞산공원', '아이와함께', '야간관광100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a2e42eb7-055e-4ae0-849b-72ef04ec6057&thumb
대구 근대골목(근대로의 여행),대구 중구,053-661-3327,"['19_20한국관광100선', '가족여행', '경상권', '관광지', '근대문화거리', '근대문화예술']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=31193e56-3a6c-45e6-a7a9-4f1a72c1994d&thumb
사문진 주막촌,대구 달성군,053-659-4465,"['경상권', '관광지', '사문진주막촌', '시티투어', '언택트관광지_100선', '영화&드라마촬영지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7ddba106-5dcc-4479-b767-d12f8cf07307&thumb
아양기찻길,대구 동구,053-627-8986,"['걷기좋은길', '경상권', '관광지', '근대산업유산', '데이트', '드라이브', '드라이브여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9591308a-8b15-4c5f-ae3f-5966487023ac&thumb
도동서원 [유네스코 세계문화유산],대구 달성군,053-668-3162,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a45b667f-8b66-463d-acaf-9a91ea490862&thumb
팔공산 케이블카,대구 동구,053-982-8803,"['가족여행', '경상권', '관광지', '사계절', '연인과함께', '자연', '자연좋은곳', '전망좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5e296cc-a83b-4b7c-9d7d-d3e27af05223&thumb
고산골 메타쉐콰이어길,대구 남구,053-664-2852,"['걷기코스', '고산골메타쉐콰이어길', '관광지', '대구', '등산', '자연', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=40b8ca96-162e-458d-a3da-ef6b9bf1155b&thumb
팔공산자연공원(동화사지구),대구 동구,053-939-0080,"['가족과함께', '관광지', '동화사', '자연', '자연관광지', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6e419f10-83ff-43e9-a1ab-b4798e45eb56&thumb
