name,region,tel,keyword,photo
오륙도 스카이워크,부산 남구,051-607-6395,"['경상권', '관광지', '바다풍경', '스카이워크', '오륙도스카이워크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=49830f25-ee1b-4daa-a986-0522ad7ebf26&thumb
아홉산숲,부산 기장군,051-721-9183,"['가족여행', '경상권', '경치좋은곳', '관광지', '숲속체험', '아홉산숲', '자연', '해설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e6e94b81-3122-4093-9edc-e0d61a94a550&thumb
해동 용궁사(부산),부산 기장군,051-722-7744,"['경상권', '경치좋은곳', '관광지', '바다경치', '불교', '불교문화', '사찰', '사찰여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=af8e846b-d48e-45ef-8181-9453ba131074&thumb
부산 감천문화마을,부산 사하구,051-204-1444,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '가족여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c891faae-3ba3-4f74-81a5-2174fe0a2019&thumb
삼락생태공원,부산 사상구,051-303-0048,"['가족여행', '걷기길', '걷기여행', '경상권', '공원', '관광지', '사계절', '삼락생태공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=35fa127e-d1d8-4247-8aac-c84730a3c470&thumb
해운대 달맞이길,부산 해운대구,051-749-5700,"['걷기길', '경상권', '관광지', '드라이브여행', '바다풍경', '산책길', '산책하기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46dc348d-ed0e-471a-822b-65bed90c2d93&thumb
장림포구,부산 사하구,051-220-4502,"['SNS감성사진', '가족과함께', '경치좋은곳', '관광지', '남녀노소', '부산가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bb6d82b7-df62-4600-8224-3c383067d774&thumb
부산 송도해상케이블카,부산 서구,051-247-9900,"['경상권', '관광지', '바다', '송도해상케이블카', '송도해수욕장', '야간관광100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c07403bc-2f2a-4247-92e8-f402ac3c6a7e&thumb
해운대해수욕장,부산 해운대구,051-749-7611,"['15_16한국관광100선', '19_20한국관광100선', '가족여행', '경상권', '경상권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=806d3a5c-f4bf-4ad3-8c52-59ae5a988689&thumb
이기대 (부산 국가지질공원),부산 남구,051-888-3636,"['걷기길', '경상권', '관광지', '생태관광지', '역사유적지', '이기대도시자연공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0553f0e9-d30c-4a39-bf84-35d7a4ef1906&thumb
