name,region,tel,keyword,photo
섭지코지,제주 서귀포시,064-740-6000,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '가족여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce882e0d-fd91-47d9-bc2c-5b8c92a78e47&thumb
성산일출봉 [유네스코 세계자연유산],제주 서귀포시,064-783-0959,"['19_20한국관광100선', '가족여행', '가족체험여행', '관광지', '성산일출봉']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c1cc806e-4913-423c-b36f-efa8cbf63736&thumb
휴애리자연생활공원,제주 서귀포시,064-732-2114,"['가족과함께', '가족체험', '감성사진', '관광지', '데이트장소추천', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d0df21d-1b81-42a1-8952-be0b16be9c92&thumb
쇠소깍,제주 서귀포시,064-732-1562,"['15_16한국관광100선', '17_18한국관광100선', '관광지', '국가지정문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d6ef7307-790e-4600-9d2c-9dcdfa174633&thumb
아부오름,제주 제주시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=834aff72-5291-4139-892a-d9c5d452b023&thumb
산굼부리,제주 제주시,064-783-9900,"['15_16한국관광100선', '가족여행', '관광지', '등산', '등산로', '사계절', '산굼부리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce5050a2-0113-4626-8d78-97b4bfb4b019&thumb
이호테우해변,제주 제주시,064-740-6000,"['가족여행', '관광지', '바다풍경', '아이와함께', '여름방학가볼만한곳', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4d9bc2d0-3d5f-41bb-88e6-ac1328c50c46&thumb
비자림,제주 제주시,064-710-7912,"['15_16한국관광100선', '19_20한국관광100선', '가족여행', '관광지', '꽃여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7131b8c9-af0f-48ed-b70c-241523ccc2fd&thumb
카멜리아힐,제주 서귀포시,064-792-0088,"['가족여행', '걷기길', '관광지', '꽃여행', '연인과함께', '자연', '자연&숲', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0397443b-2bbe-492e-90b1-a64a2fecdce5&thumb
새별오름,제주 제주시,064-740-6000,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bad0c81b-c22c-4bd9-804c-62d1879b3ebb&thumb
돈내코(원앙폭포),제주 서귀포시,064-710-6920,"['가족여행', '관광지', '돈내코', '아이와함께', '여름방학가볼만한곳', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ca114ea9-a190-4c5d-836a-90d01b9e76cf&thumb
광치기해변,제주 서귀포시,064-740-6000,"['경치좋은곳', '관광지', '광치기해변', '바다풍경', '연인과함께', '자연', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=440ea056-d62d-4373-884f-9891340f1b62&thumb
