name,region,tel,keyword,photo
청남대,충북 청주시,043-257-5080,"['19_20한국관광100선', '가족여행', '관광지', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=170bedd6-6e02-4a53-9db1-3de5c132f339&thumb
만천하스카이워크,충북 단양군,043-421-0014,"['19_20한국관광100선', '가족과함께', '레포츠', '만천하스카이워크', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aaa3ab4d-8653-458b-b10c-9d2844929806&thumb
단양 수양개빛터널,충북 단양군,043-421-5453,"['가족과함께', '가족여행', '관광지', '남녀노소', '단양가볼만한곳', '빛터널', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fc9122ff-9545-4894-9c42-d58346cc104b&thumb
구담봉.옥순봉,충북 단양군,043-422-1146,"['관광지', '구담봉', '옥순봉', '자연', '자연관광', '자연관광지', '자연속으로', '자연속힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce8389d8-a7a5-48e7-963d-b1e47257ed5c&thumb
하늘재 트레킹,충북 충주시,043-653-3250,"['가족여행', '레포츠', '충청권', '트레킹', '하늘재트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=749e234a-28e8-4907-97d9-3aaf428eb7d1&thumb
도담삼봉,충북 단양군,042-422-3037,"['가족여행', '관광지', '교과서속여행', '도담삼봉', '아이와함께', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6b972a85-d65c-4d71-9dc5-99c5a64b72cf&thumb
수안보온천 관광특구,충북 충주시,043-846-3605,"['가족과함께', '가족여행', '관광지', '남녀노소', '사계절', '수안보온천', '야간관광100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b953d342-ca5a-490f-9c62-269371397c17&thumb
중앙탑공원(충주),충북 충주시,043-842-0531,"['관광지', '교과서속여행', '아이와함께', '야간관광100선', '역사유적지', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1c373c43-6dd7-41e7-95b4-ca9902184c40&thumb
보은 법주사[유네스코 세계문화유산],충북 보은군,043-543-3615,"['가족여행', '관광지', '교과서속여행', '보은법주사', '불교', '불교문화', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d8e535aa-280c-4730-ab7f-6209cde95cb0&thumb
충주세계무술박물관,충북 충주시,043-848-8483,"['가족여행', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9dc0e520-aa46-4f2d-b01d-cce465fd49d7&thumb
악어봉,충북 충주시,043-842-0531,"['경치좋은곳', '관광지', '악어섬', '자연&숲', '자연경관', '자연발생', '자연생태']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ec12666b-e3fc-453a-a7a5-09f17c627aca&thumb
갈론계곡(갈은구곡),충북 괴산군,043-832-5550,"['갈론계곡', '계곡', '관광지', '언택트관광지_100선', '자연', '충청권', '피서']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d18acc4-c938-4a21-949e-c5758d17c22c&thumb
난계국악박물관,충북 영동군,043-742-8843,"['기차여행', '난계국악박물관', '단체관람', '문화시설', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8de90102-1dd3-4d55-87e2-00d2cbc48cdd&thumb
청풍호 관광모노레일,충북 제천시,043-653-5120,"['가족여행', '관광지', '데이트코스', '사계절', '연인과함께', '자연', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37731c88-7bc1-4a85-8a50-f41c7448a234&thumb
충주라이트월드,충북 충주시,1522-1258,"['관광지', '데이트코스', '아이와함께', '야경투어', '에너제틱_청춘여행', '인생샷']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1f76ee3-b09f-46a9-8f8b-c5a576f90cbc&thumb
오대호아트팩토리,충북 충주시,043-844-0741,"['가족과함께', '문화시설', '문화예술', '복합문화공간', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d73252a8-17c9-46fe-8701-0b59ce0ec7b5&thumb
단양 다누리아쿠아리움,충북 단양군,043-420-2951,"['가족과함께', '가족여행', '가족체험여행', '교과서속정보', '다누리아쿠아리움']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d3bf580d-3c17-42f0-b297-ab68136ca5ad&thumb
제천 의림지와 제림,충북 제천시,043-651-7101,"['가족여행', '관광지', '생태관광지', '자연', '자연좋은곳', '제천의림지와제림']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46a3a498-d920-4ded-80a9-57b4488dbfc0&thumb
옥천 수생식물학습원,충북 옥천군,043-733-9020,"['경치여행', '경치좋은곳', '관광지', '남녀노소', '수생식물원', '아이와함께', '옥천가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=39ed6b34-bab2-4b83-98c8-c819219fcd2f&thumb
충주 탄금대와 탄금대공원,충북 충주시,043-848-2246,"['가족여행', '관광지', '산책하기좋은곳', '역사', '역사관광지', '역사문화재', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a15e88b5-3abe-44f0-81dc-73b055c3dd57&thumb
청풍문화재단지,충북 제천시,043-641-5532,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d057b109-1bf0-45b0-9bfa-01128f5bece5&thumb
진천만뢰산 자연생태공원,충북 진천군,043-539-3448,"['관광지', '만뢰산', '생태관광', '생태관광지', '수목원', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0d75987f-63b0-4177-a2ab-3cd7ae442154&thumb
단양 천동동굴,충북 단양군,043-422-2972,"['관광지', '미세먼지탈출_이색동굴여행', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ff5aad8b-85e2-4f88-aebe-8a14882addb9&thumb
청풍호반케이블카,충북 제천시,043-643-7301,"['가족과함께', '경치여행', '경치좋은곳', '관광지', '연인과함께', '이색체험', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2c36e31-d712-4ddf-ab47-0e00317ca172&thumb
수주팔봉,충북 충주시,043-842-0531,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fcc4d359-2c8f-4478-bdaa-a29bf80c826e&thumb
충북알프스자연휴양림,충북 보은군,043-543-1472,"['관광지', '국내힐링여행', '자연', '자연속으로', '자연여행', '자연좋은곳', '자연풍경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f696a204-719e-484d-8964-98fafd3525d1&thumb
청풍랜드,충북 제천시,043-648-4151,"['남녀노소', '레포츠', '번지점프', '복합레저스포츠', '연인과함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4bbdaa58-de72-4f1c-acdb-e215c327d8bf&thumb
단양강 잔도,충북 단양군,043-422-1146,"['가족과함께', '경치좋은곳', '관광지', '산책길', '산책하기좋은곳', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=41ae5053-c368-416d-8d04-6e7c56b572b9&thumb
산막이옛길,충북 괴산군,043-832-3527,"['19_20한국관광100선', '걷기길', '레포츠', '산막이옛길', '산책코스', '자연풍경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8c9330f3-e5e2-4289-8991-4b58fdb3a413&thumb
충주호 종댕이길,충북 충주시,043-842-0531,"['가족여행', '레포츠', '충주호종댕이길', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=268b6384-755e-42ed-bf39-a7256219c542&thumb
청주 정북동 토성,충북 청주시,043-201-0916,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d6135039-e585-4bb0-9af1-f4925ab66ccd&thumb
