name,region,tel,keyword,photo
여강길(1코스~5코스),경기 여주시,031-884-9089,"['남녀노소', '레포츠', '산책코스', '언택트관광지_100선', '역사이야기', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2ad7b85f-b5ac-4c00-97c0-d79fd9d85bf0&thumb
한탄강 주상절리길(포천),경기 포천시,031-538-2312,"['레포츠', '산책코스', '산책하기좋은곳', '언택트관광지_100선', '자연', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=16416f15-0a38-4f34-a4f6-7709542ecd83&thumb
평화누리길 1코스 염하강철책길,경기 김포시,031-956-8306,"['남녀노소', '레포츠', '산책길', '산책로', '산책코스', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4e45dc9f-9a86-48ff-a1f9-0416e981daeb&thumb
자라섬오토캠핑장,경기 가평군,031-8078-8028,"['가족여행', '레포츠', '아이와함께', '연인과함께', '자라섬오토캠핑장', '자라섬오토캠핑장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9249caa5-d38c-48a4-a84a-751f1d7289ee&thumb
광릉숲길,경기 남양주시,031-540-1061,"['경치여행', '국립수목원광릉숲', '남양주광릉', '레포츠', '트레킹', '포천국립수목원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2e90e233-c531-4818-ba76-873e95ac8455&thumb
플라이스테이션,경기 용인시,1855-3946,"['남녀노소', '레포츠', '복합레저스포츠', '스카이다이빙', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2025cd9e-d2dd-4738-aa81-8924c34cc1bc&thumb
웅진플레이도시 실내스키장,경기 부천시,1577-5773,"['레포츠', '서울근교여행', '수도권', '웅진플레이도시실내스키장', '테마파크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=03295683-f480-4285-828e-cd99290d0642&thumb
남이섬 짚와이어,경기 가평군,031-582-8091,"['남이섬짚와이어', '레포츠', '서울근교여행', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0fada9de-1053-43e3-b48e-5f41fa8b0cb9&thumb
양평레일바이크,경기 양평군,031-775-9911,"['가족여행', '경기권', '레포츠', '서울근교여행', '양평레일바이크', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7fa6bc42-9c01-46d8-9baf-82747022e69c&thumb
경기의왕레일파크,경기 의왕시,031-462-3001,"['가족과함께', '경기의왕레일파크', '레일바이크', '레포츠', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f260f2f6-fc85-4356-888c-b547ba944406&thumb
