name,region,tel,keyword,photo
가야컨트리클럽,경남 김해시,055-337-0091,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3626f8a6-fb9a-4010-9a61-0a65222292b1&thumb
소매물도 트레킹,경남 통영시,055-648-9133,"['레포츠', '소매물도', '소매물도트레킹', '트레킹', '해안길산책', '휴식여행', '힐링&여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b5276bc6-398d-42e4-a8b3-706801c8d464&thumb
스카이라인 루지,경남 통영시,070-4731-8473,"['19_20한국관광100선', '남녀노소', '레포츠', '연인과함께', '이색체험', '익스트림스포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=00c34787-4be9-498c-94b5-2460629ff473&thumb
학동흑진주몽돌해변,경남 거제시,055-635-5421,"['경상권', '관광지', '남녀노소', '레포츠', '사진찍기좋은곳', '사진촬영', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a0da2a23-751f-4daa-afa9-26856b3763b8&thumb
창원컨트리클럽,경남 창원시,055-288-4114,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
한우산,경남 의령군,055-570-2763,"['경상권', '관광지', '등산', '레포츠', '사계절', '영화촬영지', '자연', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f77fe615-7cb8-4b99-b8b5-481981c35ce7&thumb
가야산 소리길,경남 합천군,055-930-8000,"['관광지', '레포츠', '산책길', '산책코스', '산책하기', '산책하기좋은곳', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5e4b4dc2-cb78-4cba-8587-5942f149f6d5&thumb
통영 어드벤처타워,경남 통영시,055-647-0019,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3f2066e2-675a-4343-978c-0e1745fffeb2&thumb
비토국민여가캠핑장,경남 사천시,070-8988-4000,"['가족과함께', '가족체험', '레포츠', '아이와함께', '자연풍경', '자연환경', '캠핑장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c9d32d65-d8f2-4eea-a0f0-9a8c897e974d&thumb
학동자동차야영장,경남 거제시,055-635-5421,"['가족과함께', '경상권', '레포츠', '아이와함께', '연인과함께', '친구와함께', '캠핑장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0724732-72b8-421c-ace1-f549ad8293f0&thumb
거제 덕포랜드 씨라인,경남 거제시,055-688-2351,"['가족여행', '거제덕포랜드씨라인', '경상권', '남녀노소', '레포츠', '바다', '복합레저스포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=01b2d2b3-4c84-4d78-9c4a-565f1890d88c&thumb
황금빛노을바다낚시터,경남 사천시,010-2004-6992,"['가족과함께', '경치좋은곳', '낚시체험', '남녀노소', '레포츠', '바다경치', '바다낚시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1eb34bf-8de4-45a1-9450-b855f8dc7a63&thumb
진주소싸움경기장,경남 진주시,055-749-8597,"['레포츠', '소싸움', '진주관광지', '진주소싸움경기장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c30fd90b-e941-49c7-9fd0-c29f5e6d4ecc&thumb
에덴밸리스키장 (에덴밸리리조트),경남 양산시,055-379-8000,"['가족과함께', '겨울스포츠', '레포츠', '복합레저스포츠', '스키장', '익스트림스포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7a8ce28f-9cd0-40e8-845a-a5f15a73ff61&thumb
주은캠핑장자연휴양림,경남 거창군,010-6766-3330,"['가족여행', '레포츠', '물놀이', '자연휴양림', '캠핑장', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=418b18a2-75d6-4ae6-8c39-fc39e5f12068&thumb
진주 레일바이크,경남 진주시,055-758-0101,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=94e47863-0292-455c-a445-c3f06773db4e&thumb
하동 알프스 짚와이어,경남 하동군,055-884-7715,"['레포츠', '스릴', '야외어드벤처', '이색체험', '자연', '짚와이어']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=899737bf-24c1-4611-8179-7a3a7cdc63e0&thumb
통영마리나리조트 요트,경남 통영시,055-643-8000,"['경상권', '레포츠', '리조트', '요트', '통영마리나리조트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=348cc62d-ccd7-443e-b8a2-e98332fe9e77&thumb
남해스포츠파크,경남 남해군,055-860-8685,"['경상권', '남해스포츠파크', '레저스포츠', '레포츠', '스포츠센터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a5893ded-7334-472d-8c39-997173bb5838&thumb
창녕우포승마장,경남 창녕군,055-532-5433,"['가족과함께', '가족여행', '경상권', '레포츠', '승마장', '승마체험', '승마체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2643f16e-2588-481c-9c36-50f66e4c9121&thumb
김해카라반르몽드,경남 김해시,1800-0947,"['가족여행', '김해시', '레포츠', '카라반', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3902d8fd-c43a-4c3a-bd36-6f30f8d9bd74&thumb
사량도 바다낚시,경남 통영시,055-650-3620,"['등산객', '레포츠', '바다낚시', '사량도', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b42d391a-16a0-4760-b782-4773b84fcd46&thumb
[남해 바래길 1코스] 다랭이지겟길,경남 남해군,055-863-8778,"['남해 바래길', '다랭이지겟길', '레포츠', '산책코스', '아무것도_하지않을_자유_비움여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ee06bd4-801d-4f8f-b187-7195c63def02&thumb
소노벨 거제 마리나베이 요트투어,경남 거제시,055-733-7333,"['경남권', '레포츠', '소노벨거제', '요트체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e67a50f4-0907-4b68-a544-dafbfe7b16a9&thumb
소리길 오토캠핑장,경남 합천군,010-5572-6662,"['가족과함께', '가족여행', '낚시', '레포츠', '썰매', '아이와함께', '오토캠핑장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8ae01a50-ff30-4c21-a53f-34bdfe5d9172&thumb
에덴밸리 루지,경남 양산시,055-379-8159,"['남녀노소', '레포츠', '루지', '복합레저스포츠', '여름방학에가볼만한곳', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac1993a4-3b58-47f8-9cb0-2c99019578fd&thumb
갈도 남쪽 홈통,경남 통영시,055-650-0580,"['경남권', '낚시터', '레포츠', '통영갈도']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2de8da40-4ad5-4fc1-8b90-2cec7b98455e&thumb
통도환타지아 썰매장,경남 양산시,055-379-7000,"['겨울스포츠', '눈썰매장', '레포츠', '복합레저스포츠', '썰매장', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5fe66439-353a-4c8a-a4d5-a837d28c07c8&thumb
진해해양레포츠센터,경남 창원시,055-712-0445,"['레포츠', '바나나보트', '요트', '진해해양공원', '해양']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9fc2b342-1470-47ca-bc4c-be94c4ba3637&thumb
남해청소년수련원,경남 남해군,055-867-4510,"['경상권', '남해숙소', '레포츠', '숙박', '청소년수련원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=17d8ecd5-3b61-4600-8951-736387e89254&thumb
통영산양스포츠파크,경남 통영시,055-643-6839,"['레포츠', '복합레저스포츠', '이색체험', '통영산양스포츠파크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f83ccce6-db38-4651-9bf6-3753b747d414&thumb
