name,region,tel,keyword,photo
호미반도 해안둘레길,경북 포항시,054-270-3203,"['가족과함께', '경치좋은곳', '남녀노소', '레포츠', '바다경치', '바다내음', '바다산책']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c9882fe3-01c3-4a96-8d7e-b07bd41afc52&thumb
금오산 올레길,경북 구미시,,"['가족과함께', '국내힐링여행', '금오산', '레포츠', '산책로', '산책코스', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3dc7ec96-36d5-446f-a5ff-920caae89030&thumb
문경 철로자전거(레일바이크),경북 문경시,054-553-8300,"['가족과함께', '경치좋은곳', '남녀노소', '레일바이크', '레포츠', '문경여행', '문경여행코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2ff0b88a-194b-417c-aa55-eecc8c3a6a68&thumb
구미시평생교육원,경북 구미시,054-480-4300,"['교육프로그램', '구미교육원', '레포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=de381de0-10fc-4296-ad67-8006e48a894b&thumb
문경활공랜드,경북 문경시,054-571-4675,"['가족과함께', '경상권', '레포츠', '문경새재', '문경활공랜드', '석탄박물관', '성주봉']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=43305fba-4293-4582-b2cc-9010a4546843&thumb
경주월드 눈썰매장,경북 경주시,054-745-7711,"['겨울스포츠', '경주월드 눈썰매장', '눈썰매장', '레포츠', '복합레저스포츠', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8bdad3ce-f476-437d-a76e-8db750399c50&thumb
트리독스 반려견 전용 캠핑장,경북 고령군,010-8835-4416,"['가족과함께', '레포츠', '반려견동반', '반려견동반여행지', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=06106d03-8a2c-4d08-a6db-de290a60bfc9&thumb
청량산 트레킹,경북 봉화군,054-679-6653,"['레포츠', '산책길', '자연풍경', '트레킹', '휴식여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a5fd3007-7f8e-47dc-ae34-1953ff20b123&thumb
상주국제승마장,경북 상주시,054-535-5634,"['가족과함께', '가족여행', '경상권', '레포츠', '상주국제승마장', '승마', '승마레슨']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4800f53c-1024-4d89-b8cf-fc951abdec8b&thumb
화랑교육원,경북 경주시,054-748-1112,"['가족과함께', '남녀노소', '레포츠', '문화교육', '수련시설', '수련원', '수련장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59d986d2-1007-43cf-ac1f-e529e0143797&thumb
