name,region,tel,keyword,photo
대구사격장,대구 북구,053-312-0000,"['대구북구', '레포츠', '사격장', '실내레포츠', '실내스크린사격', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a52dd52c-3af1-4964-b511-d6cce142f010&thumb
별빛캠프 캠핑장,대구 달서구,053-667-3191,"['가족과함께', '남녀노소', '레포츠', '아이와함께', '오토캠핑장', '자연환경', '캠핑장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d330c1e-dc66-4b7c-8e1c-51f178fd3543&thumb
[대구올레 팔공산 4코스] 평광동 왕건길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a51954a6-19d3-430a-9379-0f6fb5e7c5d9&thumb
이월드 눈썰매장,대구 달서구,053-620-0001,"['겨울스포츠', '경상권', '눈썰매장', '레포츠', '복합레저스포츠', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a3b99204-1821-41a9-bc56-00897ae68fa7&thumb
이월드 83타워 아이스링크,대구 달서구,83 053-620-0001,"['겨울스포츠', '레포츠', '스케이트장', '아이스링크', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c8cd00b-794d-4905-bf63-57fa2c67a418&thumb
[대구올레 팔공산 1코스] 북지장사 가는 길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=41f3d5a2-0cc2-46aa-b09d-8a76220e4d96&thumb
[대구올레 팔공산 3코스] 부인사 도보길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7afcda8e-8e85-455f-accf-6f170f1959aa&thumb
대구실내빙상장,대구 북구,053-357-6021,"['경상권', '대구실내빙상장', '레포츠', '실내빙상장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e981feb5-f730-459a-ab8a-43b7dafd7ab2&thumb
[대구올레 팔공산 6코스] 단산지 가는 길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c23c517-84c4-4e98-a0c0-821be8495a9c&thumb
달서구청소년수련관,대구 달서구,053-639-7101,"['경상권', '달서구청소년수련관', '레포츠', '청소년수련관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4cba9db-963a-41ca-bb5a-e83ab1503890&thumb
[대구올레 팔공산 5코스] 구암마을 가는 길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d0bde173-5f91-4569-861f-ecb95cd4a7ca&thumb
대구스타디움,대구 수성구,053-602-2033,"['경상권', '대구스타디움', '레포츠', '스포츠체험', '실내경기장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=907fb7d3-a35a-4b3a-88dd-d37ef221edaf&thumb
[대구올레 팔공산 8코스] 수태지 계곡길,대구 동구,053-985-8030,"['걷기길', '레포츠', '산책길', '산책로', '산책코스', '산책하기좋은곳', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7a195d54-d989-45ed-9438-24550cbf2fed&thumb
에코어드벤쳐,대구 달성군,053-767-6300,"['가족여행', '대구시', '레포츠', '에코어드벤처', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fb9b4830-7cc2-48b3-bf28-067bedb05d37&thumb
[대구올레 팔공산 2코스] 한실골 가는 길,대구 수성구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=157583b8-193e-40fe-9589-e0c0f1bb5f2b&thumb
DGB 대구은행파크,대구 북구,053-222-3600,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0bce0470-12f3-40e4-9580-f300f136d0ed&thumb
앞산자락길,대구 남구,053-803-7467,"['고산골메타쉐콰이어길', '대구남구', '레포츠', '산책코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e13d44cd-6d41-45d5-987a-9e0874207f52&thumb
학생문화센터 수영장,대구 달서구,053-231-1288,"['대구수영장', '레포츠', '문화센터', '수영장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74826c56-8ac1-4d4d-92e2-3b92dfb111ce&thumb
대구시민운동장,대구 북구,053-606-8200,"['대구북구', '대구시민운동장', '레포츠', '축구경기장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9b007f3d-2b8e-4472-989a-5eb54cd2a37b&thumb
대구광역시청소년수련원,대구 달서구,053-656-6655,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37c5e893-1af3-4593-aa55-76377c032f58&thumb
대덕승마장,대구 달서구,053-656-0467,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a719d501-e4f7-4a5f-88df-12ac478d62de&thumb
웃는얼굴아트센터 수영장,대구 달서구,053-582-1900,"['대구수영장', '레포츠', '수영장', '실내수영장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ae7be348-fabf-4502-a4a3-951d0f5d70d8&thumb
[대구올레 팔공산 7코스] 폭포골 가는 길,대구 동구,053-985-8030,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48eacb2c-4dba-4d3d-9073-c60e75fed26c&thumb
두류수영장(실내),대구 달서구,053-623-2156,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f135d60e-fa71-4565-943e-ec8796cf0c4f&thumb
대구수성구청소년수련관,대구 수성구,053-761-9400,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d27b18e7-e99e-4cbf-9b1c-4275cb0f30ad&thumb
수성구민운동장,대구 수성구,053-666-3182,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6aa0aec4-ffa9-4e26-8314-c8e173226c23&thumb
FM테마,대구 중구,053-421-5581,"['레포츠', '여행레저', '종합레저']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
팔공컨트리클럽,대구 동구,053-982-8080,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6e85da54-746d-4c31-8540-5851677b4205&thumb
