name,region,tel,keyword,photo
계족산 황톳길,대전 대덕구,042-608-5163,"['19_20한국관광100선', '가족과함께', '계족산황톳길', '레포츠', '산책코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ef337b4d-6a2e-441d-9269-56c6c29d5cfc&thumb
대청호 오백리길,대전 대덕구,042-250-1236,"['가족여행', '대청호오백리길', '레포츠', '산책코스', '언택트관광지_100선', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=62e1e727-b023-4103-963f-569cb373d474&thumb
계룡산 수통골,대전 유성구,042-825-3006,"['계룡산', '국립공원', '대전', '등산로', '레포츠', '언택트관광지_100선', '유성구']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f68f06e2-642d-4a66-a0e6-65f16a74f1c7&thumb
회인선 행복누리길,대전 동구,042-251-6682,"['레포츠', '벚꽃명소', '산책코스', '트레킹', '행복누리길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=057320c3-8121-496a-896d-dab298fec85f&thumb
로하스 가족공원 워터캠핑장,대전 대덕구,042-933-6575,"['가족여행', '글램핑', '대청호', '레포츠', '수변산책로', '캠핑장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fdd94b93-7f7f-465f-92eb-899e589c2df6&thumb
유성컨트리클럽,대전 유성구,042-822-7103,"['골프', '레포츠', '스포츠', '유성컨트리클럽', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=60e8084a-1a6c-43f3-904c-33d8957f500c&thumb
대전 자전거 [대청댐 순환 코스],대전 대덕구,042-120,"['가족과함께', '레포츠', '자전거길', '자전거대여', '자전거여행', '자전거코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d3c2cca9-e675-435f-aac2-82b5560aa4a4&thumb
대전월드컵경기장,대전 유성구,042-610-2900,"['대전', '레포츠', '월드컵경기장', '유성구', '축구경기장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ffce50ad-e8ac-4e54-a5f8-41af746182f2&thumb
추목수영장,대전 유성구,042-863-5747,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
유성호텔 실내수영장,대전 유성구,042-820-0771,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd67c4ab-7fdc-4856-9125-30c30787c3b6&thumb
대전 자전거 [찬샘마을 체험코스],대전 동구,042-120,"['가족과함께', '레포츠', '자전거길', '자전거대여', '자전거여행', '자전거코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a29bb2f5-e802-4aef-8bde-446d47dd48ac&thumb
대전 자전거 [갑천 순환 코스],대전 유성구,042-120,"['가족과함께', '레포츠', '자전거길', '자전거대여', '자전거여행', '자전거코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7e516724-6b3c-4ce9-87e9-687ceeb95455&thumb
복용승마장,대전 유성구,042-825-2852,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b169daac-d507-4138-afe6-5fbd47d647f1&thumb
대전 자전거 [고봉산 산림체험 코스],대전 대덕구,042-120,"['가족과함께', '레포츠', '자전거대여', '자전거여행', '자전거코스', '자전거투어']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b3893f89-5b9a-4508-bb29-11edc88e6fff&thumb
대전광역시시설관리공단 한밭수영장(실내),대전 중구,042-610-4941,"['교실', '레포츠', '수영장', '실내체육관', '충청권', '한밭수영장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=87f7f692-158c-4029-9396-27586579fa52&thumb
대전근로자종합복지회관,대전 대덕구,042-621-2462,"['대덕구', '대전근로자종합복지회관', '레포츠', '종합문화센터', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=690ad8f0-db3b-4784-9683-6630178cec66&thumb
대전청소년수련마을,대전 중구,042-285-0350,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ffce9264-9f1a-46ff-9523-53f21be9199c&thumb
대덕연구단지 컨트리클럽,대전 유성구,042-865-3000,"['골프', '대덕연구단지컨트리클럽', '레포츠', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4d733e4-cfef-4b1b-8955-f0a7ad2483d5&thumb
한밭종합운동장,대전 중구,042-610-4900,"['대전중구', '레포츠', '실내경기장', '한밭종합운동장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d537e610-49b1-451d-9a9a-193229f1c7d9&thumb
"대전 자전거 [유등, 대전천 순환 코스]",대전 유성구,042-120,"['가족과함께', '레포츠', '자전거길', '자전거여행', '자전거코스', '자전거투어']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4641010-4c96-4552-b83a-a71035ee256e&thumb
동구청소년자연수련관,대전 동구,042-274-2270,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=31162b75-604d-48a4-b48e-f1ca368307b8&thumb
