name,region,tel,keyword,photo
송도 구름산책로(스카이워크),부산 서구,051-253-8253,"['가족과함께', '남녀노소', '레포츠', '바다경치', '사진찍기좋은곳', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=259ce776-3b48-4441-b807-a4ccdc9d77c9&thumb
문탠로드,부산 해운대구,051-502-7399,"['가족여행', '레포츠', '문탠로드', '산책코스', '야간관광100선', '해운대']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dfb3af7c-8689-4bdf-b00c-2967bcef335f&thumb
구덕야영장,부산 서구,051-246-4685,"['가족과함께', '구덕야영장', '국내힐링여행', '레포츠', '아이와함께', '야영장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7d7e6f27-69d9-491b-94b5-5268be3ad0cb&thumb
수영만 요트경기장,부산 해운대구,051-741-6440,"['가족여행', '경상권', '레포츠', '수영만요트경기장', '요트체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce35c7e9-6cb4-4521-b25b-5fd73008194c&thumb
다대포일대,부산 사하구,051-220-4161,"['낚시', '낚시인', '다대포', '레포츠', '유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=35cdf8ca-e088-44a7-80f0-be65738be724&thumb
부산광역시 금련산청소년수련원,부산 수영구,051-625-0709,"['레포츠', '부산광역시금련산청소년수련원', '부산수영구', '청소년수련원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=881c9d9d-eca5-46c3-876e-ca102b71bcfe&thumb
센텀시티 아이스링크 (신세계백화점),부산 해운대구,051-745-1400,"['레포츠', '스케이트장', '신세계백화점센텀시티점', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e82ed33a-abc5-4056-83a5-a0210195defd&thumb
[부산 갈맷길 2코스] 2구간 민락교~오륙도,부산 해운대구,051-505-2224,"['레포츠', '부산갈맷길', '트래킹', '해운대구']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=75dd5298-b6c7-42b9-8bf8-ffedb1e58940&thumb
영도관광사격장,부산 영도구,051-405-9130,"['데이트코스', '레포츠', '부산영도구', '사격장', '실내레포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e4c45842-bd29-4b18-a90c-341b5bf8484b&thumb
부산 아시아드주경기장,부산 연제구,051-500-2123,"['레포츠', '부산연제구', '실내경기장', '아시아드주경기장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d26f0ee7-73c9-4221-87ed-f419de317963&thumb
파라다이스 카지노 부산,부산 해운대구,051-749-3550,"['레포츠', '부산', '이색체험', '파라다이스카지노', '해운대구']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d506a843-fb7a-424f-af07-ff0686f67948&thumb
씨프랜드,부산 사상구,051-326-8400,"['레포츠', '부산', '부산레포츠', '부산여행', '스킨스쿠버', '스킨스쿠버교육']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=642ee4a0-a8ea-4f4b-89a7-dbb314af7e80&thumb
파라다이스호텔 헬스클럽,부산 해운대구,051-749-2354,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8693fd25-1ac9-4ee0-91b6-6ce8283e0630&thumb
양정청소년수련관,부산 부산진구,051-868-0750,"['교육프로그램', '레포츠', '부산진구', '청소년수련원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1eb2e526-a2f8-4212-8ac8-86eec7031de8&thumb
세븐럭카지노(부산롯데점),부산 부산진구,051-665-6000,"['경상권', '레포츠', '세븐럭카지노', '연중무휴', '카지노']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ae39b271-df3e-466f-abd1-cb69ccee4063&thumb
부산종합운동장,부산 연제구,051-504-8001,"['레포츠', '부산연제구', '스포츠센터', '종합운동장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=db43706b-17b8-4155-bf68-57f5b5893b35&thumb
부산사회체육센터,부산 해운대구,051-744-1181 0600 2000,"['레포츠', '복합문화시설', '부산사회체육센터', '부산해운대구', '체육센터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=44612653-7179-4ab1-a951-3f78cb25bbb7&thumb
용호동일대 바다낚시,부산 남구,051-253-8253,"['레포츠', '바다낚시', '부산낚시', '부산낚시터', '부산바다', '부산바다낚시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=44012521-9edc-4ed0-bfeb-09534f513e31&thumb
태종대일대,부산 영도구,051-405-2004,"['레포츠', '바다낚시', '배낚시', '태종대유원지', '태종대일대']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9fea1b2f-ad15-4e60-8e55-979fcb931e32&thumb
부산광역시학생교육원,부산 금정구,051-580-3200,"['교육원', '교육프로그램', '레포츠', '부산금정구', '청소년수련원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa6a0430-3d72-4bb9-b7b0-f7c965765aa7&thumb
스포원파크 경륜장,부산 금정구,1577-0880,"['가족과함께', '겨울스포츠', '레포츠', '복합레저스포츠', '수상스포츠', '스포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=70c1e344-c411-4e3c-a0b6-7aa554e481b9&thumb
송정해수욕장(낚시터),부산 해운대구,051-749-5800,"['레포츠', '바다낚시', '부산낚시터', '부산바다', '부산바다낚시', '해운대']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7d1b0277-56cc-4897-a609-be98b006bd64&thumb
다대 실내수영장,부산 사하구,051-262-4125,"['레포츠', '부산광역시', '사하구', '실내수영장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aca07131-c5f6-4820-ba9c-9186561da1b4&thumb
해양스포츠교실,부산 영도구,051-405-4111,"['레포츠', '부산여행', '스킨스쿠버', '스킨스쿠버교육', '실내']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cda326b7-4fe1-48f6-b09d-d76bbbcaa76a&thumb
아시아드 컨트리클럽,부산 기장군,051-720-6000,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0eb931c6-44a5-436a-b776-fb98848f4cac&thumb
해운대일대(낚시터),부산 해운대구,051-749-5700,"['레포츠', '부산낚시', '해운대낚시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=40b59811-9bd2-4940-8830-9512489b3a0c&thumb
함지골청소년수련관,부산 영도구,051-405-5223,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d0a85a41-b91b-460c-93b6-a4b926ffd5a6&thumb
부산컨트리클럽,부산 금정구,051-509-0701,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
