name,region,tel,keyword,photo
[북악하늘길 스카이웨이] 하늘한마당~하늘마루,서울 성북구,02-2241-3664,"['레포츠', '북악하늘길', '성북구', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1e96d25d-9f95-47ef-a7a5-bcea364473ba&thumb
경의선숲길(연트럴파크),서울 마포구,02-3153-9550,"['데이트명소', '도심산책', '레포츠', '마포구', '산책코스', '주말여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7be50642-eb72-4d91-ae5d-69d3edd5e66e&thumb
서울 한양도성(스탬프투어),서울 종로구,1,"['걷기길', '레포츠', '서울한양도성', '성곽길', '수도권', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0415d7c7-596f-4f4f-8bab-a4f43e7d7bcf&thumb
올림픽공원 경기장,서울 송파구,02-410-1114,"['가족과함께', '데이트코스', '레포츠', '송파구', '올림픽공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=24bcd8c3-b537-4504-82f2-d7e79d94f5d5&thumb
여의도 둘레길(여의도 자전거도로),서울 영등포구,02-3780-0772,"['레포츠', '산책코스', '수변산책로', '여의도', '자전거코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=09c62fbe-047a-4c91-a18f-08c5e5fe71dc&thumb
서울종합운동장(잠실종합운동장),서울 송파구,02-2240-8800,"['관광명소', '남녀노소', '레포츠', '서울올림픽', '서울종합운동장', '실내경기장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=68ccacb2-c57b-43dc-b783-aac1ea981c2a&thumb
한강시민공원 뚝섬수영장(실외),서울 광진구,02-452-5955,"['가족과함께', '남녀노소', '뚝섬', '레포츠', '물놀이장', '수영장', '아이가_좋아하는_여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=486757b7-6166-41db-b365-5c90152bf3ce&thumb
[북한산 둘레길] 7 옛성길,서울 종로구,02-900-8086,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4a297059-8edc-45fa-8b8b-ef3c1e730fbf&thumb
코오롱스포렉스(서초점),서울 서초구,02-580-8300,"['레포츠', '복합스포츠', '생활건강', '스포츠센터', '정신건강', '회원제스포츠센터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fa48263e-8013-4e0e-a6d6-3f5befd7cc22&thumb
서대문문화체육회관 실내수영장,서울 서대문구,02-360-8684,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa8230ff-9f1c-4cc3-84c2-5a0aa5c40ab1&thumb
양천구 둘레길(하천형),서울 양천구,02-2620-3590,"['둘레길', '레포츠', '산책하기좋은곳', '서울산책', '아이와함께', '양천구', '휴식하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab605d9b-9561-4363-8a08-a0426d8e84b0&thumb
YMCA 송파 수영장(실내),서울 송파구,02-424-7511,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cdfb988d-9e55-491d-9dc8-51843aa8a752&thumb
강동그린웨이 가족캠핑장,서울 강동구,02-478-4079,"['가족여행', '강동구', '레포츠', '자연환경', '주말여행', '캠핑장', '힐링여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=96e6dd8f-42ea-49be-95ed-845e89ea9e4d&thumb
신림체육센터,서울 관악구,02-869-1888,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8452df34-ca6e-442e-9a4e-14f1ccfda353&thumb
롯데월드 아이스링크(실내),서울 송파구,1661-2000,"['겨울스포츠', '레포츠', '롯데월드', '스케이트장', '실내데이트', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fa1a2d5f-f38f-4c4c-a239-e79197dafeb6&thumb
서울마리나 요트&클럽,서울 영등포구,02-3780-8400,"['가족과함께', '남녀노소', '레포츠', '연인과함께', '요트체험', '이색체험', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bf8fa946-d905-4680-a936-86feefc39414&thumb
[서울둘레길 1코스] 수락·불암산코스,서울 도봉구,02-779-7902,"['레포츠', '서울둘레길', '수도권', '수락불암산코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fdd3ae67-993b-4f2e-98c1-2681f77c5e4b&thumb
[서울둘레길 8코스] 북한산코스,서울 은평구,02-779-7902,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=626bd9c7-0802-456b-869e-72b242ae0e93&thumb
세븐럭카지노(강남코엑스점),서울 강남구,02-3466-6000,"['강남구', '레포츠', '세븐럭카지노', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d553c249-73a9-4295-88a3-8218222f5377&thumb
[북악하늘길 1산책로] 북악팔각정~말바위쉼터,서울 종로구,02-2241-3663,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5b43ea1-c522-4de3-8170-4f84acbc91e0&thumb
장충체육관,서울 중구,02-2128-2800,"['가족과함께', '남녀노소', '레포츠', '복합문화공간', '스포츠센터', '실내경기장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b50b2486-bf0b-454a-b55e-01a36507e348&thumb
뚝섬한강공원,서울 광진구,02-3780-0521,"['가족과함께', '데이트코스', '뚝섬한강공원', '레포츠', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=05f7f5c1-56fb-494c-8bf9-12d93e0afd0b&thumb
서울광장 스케이트장,서울 중구,02-2133-2691,"['겨울스포츠', '레포츠', '복합레저스포츠', '생활스포츠', '서울광장', '서울광장스케이트장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=059ce520-dc52-4b20-8113-1a73f213eebb&thumb
고덕사회체육센터(실내수영장),서울 강동구,02-440-5300,"['건강', '고덕사회체육센터', '레포츠', '수도권', '운동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7e541850-6afe-446b-a4f0-770991536160&thumb
태릉국제스케이트장(실내),서울 노원구,02-970-0501,"['겨울스포츠', '레포츠', '복합레저스포츠', '스케이트', '스케이트장', '실내운동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1ec974b8-0ec0-448b-a301-ef187e461ab5&thumb
올림픽공원 스케이트장,서울 송파구,02-2180-3692,"['가족과함께', '레포츠', '스케이트장', '연인과함께', '올림픽공원', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0d8190c0-f478-4f82-bef3-4709faa74e1d&thumb
리버시티,서울 강남구,02-3442-3313,"['레저스포츠', '레포츠', '수상스포츠', '여름피서지', '익스트림스포츠', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6b3e2705-420c-420d-a781-b413887bcb91&thumb
한강시민공원 여의도수영장(실외),서울 영등포구,02-785-0478,"['가족과함께', '남녀노소', '레포츠', '아이와함께', '여름피서지', '여의도', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=77556711-657d-4622-92b6-40922bf86866&thumb
[서울둘레길 2코스] 용마·아차산코스,서울 노원구,02-779-7902,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1a7ebc96-29f7-4e7b-925a-a9aeb2d73d09&thumb
용산초등학교 실내수영장,서울 용산구,02-792-7330,"['레포츠', '서울', '서울수영장', '수영장', '실내수영장', '초등학교']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dd5cc100-fbcb-4455-b5b0-88d6d6cc923d&thumb
[서울둘레길 4코스] 대모·우면산코스,서울 강남구,02-779-7902,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9b979fe-7f35-4e19-864f-7fc411e72e2d&thumb
