name,region,tel,keyword,photo
덕산국민여가캠핑장,인천 강화군,032-930-7055,"['가족여행', '덕산', '레포츠', '삼림', '캠핑장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=688d5a1e-72cf-419e-ba09-c22a9eb2a27d&thumb
계양산 둘레길,인천 계양구,032-450-4902,"['남녀노소', '레포츠', '산책코스', '언택트관광지_100선', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4fa34a7f-2dca-40e6-b552-83cb3ec17715&thumb
[인천 개항 누리길] 1시간 코스,인천 중구,032-440-4055,"['누리길', '레포츠', '산책코스', '산책하기좋은곳', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fbb381f4-36ee-4d8e-9256-29bb89d556b8&thumb
인천아시아드주경기장,인천 서구,032-454-2014,"['가족과함께', '공연/행사', '남녀노소', '레포츠', '아이와함께', '육상경기', '인천서구']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7784fd96-bd97-4e1a-a25c-25dd12c045f6&thumb
송도종합스포츠센터,인천 연수구,032-899-4850,"['레포츠', '송도', '스포츠센터', '인천연수구']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56bb8c89-0df0-457a-90cb-2dc29bd76169&thumb
덱스타이드 요트,인천 중구,02-6929-2877,"['가족과함께', '레포츠', '복합레저스포츠', '수상레포츠', '연인과함께', '요트운전']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4361c40e-6217-4e97-be94-cba6485a9f82&thumb
함허동천야영장,인천 강화군,032-930-7066,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=873f050f-1eb8-4668-8451-e4f45fd8e1f4&thumb
[강화 나들길 제3코스] 고려왕릉 가는 길,인천 강화군,032-934-1906,"['강화나들길', '고려왕릉', '레포츠', '산책길', '역사탐험', '연인과함께', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f0fca26a-798c-4fe2-9d8f-5b056e219425&thumb
만정캠핑장,인천 중구,032-747-1144,"['가족여행', '낚시', '레포츠', '만정캠핑장', '인천', '캠핑장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a49756c9-ea0f-4bfd-86bb-f35dfb134c8d&thumb
강화레포츠파크,인천 강화군,032-937-7481,"['가족과함께', '남녀노소', '레포츠', '레포츠여행', '레포츠체험', '복합레저스포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=835c9569-d63a-4fc8-aad2-1a9b643eb7e0&thumb
