name,region,tel,keyword,photo
여수 해양레일바이크,전남 여수시,061-652-7882,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=57317e37-cf85-4bbd-bd0c-9d17bc8dee2a&thumb
한화리조트 지리산 카라반,전남 구례군,010-5811-0388,"['가족여행', '레포츠', '지리산', '카라반', '캠핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=673865a1-4742-4ec8-b4d7-2c1e0453c9bd&thumb
정남진해양낚시공원,전남 장흥군,061-867-0555,"['가족여행', '낚시체험', '레포츠', '전라권', '정남진', '정남진해양낚시공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2fd73c8d-4c14-4ed9-bf12-5e6661022a63&thumb
하화도 꽃섬길,전남 여수시,061-659-1225,"['가족여행', '경치좋은곳', '레포츠', '전라권', '하화도꽃섬길', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0c5d3ca7-b01f-40f0-a9ef-29f60b5dda76&thumb
가거도,전남 신안군,061-240-4008,"['가거도', '낚시', '레포츠', '바다낚시', '섬낚시', '신안군']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1f441fdc-8e98-4ed7-a150-d9da52be9eb0&thumb
임자해변승마공원,전남 신안군,070-8285-2450,"['가족여행', '레포츠', '승마', '승마레슨', '승마체험', '승마트레킹', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d95e83ce-5b74-4f47-b0ce-79375635b042&thumb
지리산온천랜드 카라반,전남 구례군,1899-7821,"['레포츠', '주말가족여행', '지리산온천랜드', '카라반', '캠핑장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=73f0faa3-4a8c-41a7-8dc7-1170625fa875&thumb
담양 용마루길,전남 담양군,061-380-3063,"['담양호', '레포츠', '산책코스', '전라권', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56b6d45e-f936-45bc-b6c1-f2526328e2b8&thumb
마량항,전남 강진군,061-430-3262,"['강진', '낚시터', '레포츠', '바다낚시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2d63de1-e90e-45f1-80e6-3eae61826e1d&thumb
홍도 (바다낚시),전남 신안군,061-246-3700,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7769e4c0-f189-43db-946d-830ffd0c7cea&thumb
신지도.고금도.약산도(바다낚시),전남 완도군,061-550-5152,"['낚시터', '레포츠', '바다낚시', '완도낚시터', '전남권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d7b25b63-2716-49f0-a73b-72bd000a4b36&thumb
곡성기차마을 패러글라이딩,전남 곡성군,010-5847-7448,"['감동', '경험', '곡성', '기차마을', '레포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac59ce08-35c0-400a-a7b8-20f03169f876&thumb
금오도 비렁길,전남 여수시,061-659-1187,"['걷기길', '금오도비렁길', '레포츠', '전라권', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7d5bf043-605f-467c-bc7e-aba10611275c&thumb
금오도캠핑장 (관광두레 주민사업체),전남 여수시,010-7190-1944,"['가족과함께', '관광두레', '관광두레_주민사업체', '금오도', '남녀노소', '다도해']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6e122f85-a7aa-462e-abf6-83fe8b186685&thumb
병풍도,전남 신안군,061-271-0512,"['레포츠', '바다낚시', '신안군', '신안바다', '전남권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=189bf20f-c971-4d02-8f93-13cf9fdef7f6&thumb
유달산 둘레길,전남 목포시,061-270-8598,"['가족과함께', '남녀노소', '등산객', '레포츠', '산책하기좋은곳', '유달산공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=61ddc01b-40f0-4b39-9eeb-063c9c44ee3d&thumb
섬진강레일바이크,전남 곡성군,061-362-7717,"['가족여행', '레포츠', '섬진강', '섬진강레일바이크', '연인과함께', '자녀와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7b523a5f-d00d-46f4-9087-794d5fa2bb30&thumb
느랭이골 글램핑,전남 광양시,1588-2704,"['가족여행', '글램핑', '레포츠', '주말여행', '휴양림', '힐링산책']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58b195f3-2be1-4580-addd-a0ebb695846c&thumb
짚라인곡성,전남 곡성군,061-362-0494,"['남녀노소', '레포츠', '이색체험', '익스트림스포츠', '짚라인']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=00b1deba-d007-4a00-b487-75922e585dba&thumb
전라남도종합사격장,전남 나주시,061-333-5857,"['레포츠', '사격', '사격장', '스포츠센터', '스포츠체험', '실내레포츠', '실내운동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=29ad1445-53e7-40a4-bc02-ab153cfba756&thumb
신안 천도천색호,전남 신안군,061-240-8685,"['레포츠', '세일요트', '요트', '전라권', '천도천색호']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc9fc2a2-9576-4e24-bfef-6313ed095201&thumb
나주호(민물낚시),전남 나주시,061-339-8592,"['나주시', '나주호', '레포츠', '민물낚시', '밤낚시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4dcec758-b20c-4f32-836e-0ae48fdc9826&thumb
완도(바다낚시),전남 완도군,061-550-5151,"['레포츠', '바다낚시', '완도낚시', '완도낚시터', '완도바다낚시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8538f6ae-3ce4-48cd-879e-cf0374755524&thumb
청산도 슬로길,전남 완도군,061-550-5431,"['레포츠', '생태탐방로', '슬로시티', '전라권', '청산도슬로길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7b01f4c0-0e9d-4d6a-89b8-1231e34556df&thumb
추월산 트레킹,전남 담양군,061-380-2795,"['가족과함께', '경치좋은곳', '등산객', '레포츠', '산림욕', '산책하기좋은곳', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
[증도 모실길 1코스] 노을이 아름다운 사색의 길,전남 신안군,061-240-8357,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bbb24e3c-a327-4181-bafa-6d9fd5230124&thumb
목포실내수영장,전남 목포시,061-270-8371,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=121823f5-5fb8-425b-abe6-e5bdfbb88d67&thumb
청산도.황제도(바다낚시),전남 완도군,061-1600-7788,"['레포츠', '바다낚시', '완도바다낚시', '청산도낚시', '황제도낚시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=400facce-d840-4cdf-947f-0c48a7c767e9&thumb
[해안누리길] 해넘이길,전남 신안군,061-240-8975,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48ba353c-1274-40ac-a5e3-d761be7f6772&thumb
순천승마장,전남 순천시,061-755-0800,"['가족과함께', '레포츠', '승마', '승마레슨', '승마장', '승마체험', '승마캠프', '승마트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab2f7756-1bcd-49ae-ad7a-fbbf8ae14fc2&thumb
곡성군청소년야영장,전남 곡성군,061-362-4186,"['곡성군', '레포츠', '섬진강', '수련장', '야영장', '청소년']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bad5b810-a69f-4249-8cec-89b1336eb416&thumb
땅끝오토캠핑리조트,전남 해남군,061-534-0830,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ecf8c280-d433-4f4a-9a32-c70f93c9bcfd&thumb
거문도권,전남 여수시,061-659-1257,"['거문도낚시', '레포츠', '바다낚시', '여수바다', '여수바다낚시', '전남권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
장성호 낚시,전남 장성군,061-392-7248,"['경관', '낚시', '레포츠', '수상보트', '장성호']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6713faaa-9629-4f7e-98b2-ad0957cb7d5f&thumb
중도방죽,전남 보성군,061-850-5213,"['걷기길', '나홀로여행', '레포츠', '산책', '산책길', '산책로', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=482c3f5d-b555-470b-91d6-b1b57bf8cf72&thumb
섬진강 자전거하이킹,전남 곡성군,061-363-2011,"['가족과함께', '레포츠', '아이와함께', '자전거길', '자전거길', '자전거대여', '자전거여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=718559a6-7421-4a3f-813a-364900ec9118&thumb
그랑프리승마파크,전남 담양군,061-382-9102,"['가족과함께', '레포츠', '승마', '승마레슨', '승마장', '승마체험', '승마캠프', '승마트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=627cb3ad-7a5d-48c0-8545-a44b3c74bf2c&thumb
맹골군도,전남 진도군,1588-9601,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
곡성성림청소년수련의집,전남 곡성군,061-363-7576,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
꿈꾸는 캠핑장,전남 곡성군,010-3634-4887,"['곡성여행', '곡성캠핑', '레포츠', '캠핑장', '힐링여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5a298f72-6e32-4284-bf37-66b58f2ed776&thumb
[증도 모실길 3코스] 천년의 숲길,전남 신안군,061-240-8357,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=affa05c4-5c36-4e80-800c-79ba1b7cb839&thumb
[증도 모실길 5코스] 천일염길,전남 신안군,061-240-8357,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0916d128-3712-489c-8be3-05564da40946&thumb
여수일대(바다낚시),전남 여수시,061-643-4339,"['레포츠', '바다낚시', '여수낚시', '여수바다', '전남권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
[증도 모실길 2코스] 보물선 순교자 발자취 길,전남 신안군,061-240-8357,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d6e0c5df-a5d8-44e2-a66b-5c94ba6c620a&thumb
장흥 포항저수지,전남 장흥군,061-860-0603,"['레포츠', '민물낚시', '장흥낚시터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
성암국제수련원,전남 담양군,061-381-8361,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
보길도일대(바다낚시),전남 완도군,061-550-5151,"['레포츠', '바다낚시', '완도낚시', '완도낚시터', '완도바다', '전남권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fe04623b-324b-43a0-a823-0693f022497c&thumb
송호학생수련장,전남 해남군,061-534-2618,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd589a64-df6b-41f3-a328-221f89ed53eb&thumb
[증도 모실길 4코스] 갯벌공원길,전남 신안군,061-240-8357,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d64d4f38-0e5c-4103-a47e-d0e5191405cc&thumb
고흥권,전남 고흥군,061-830-5347,"['고흥바다', '고흥바다낚시', '레포츠', '바다낚시', '전남권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
섬진강 승마유스빌,전남 곡성군,061-363-1733,"['가족과함께', '레포츠', '승마', '승마레슨', '승마장', '승마체험', '승마캠프', '승마트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=25a71d80-72d5-4548-8ee2-e51b86723263&thumb
완도청소년수련원,전남 완도군,061-553-3844,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=11cdfcbc-7e5c-4944-862c-af818046c260&thumb
회진 바다낚시,전남 장흥군,061-860-0410,"['레포츠', '바다낚시', '장흥바다', '장흥바다낚시', '전남권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
목포시청소년수련관,전남 목포시,061-276-3640,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0e1a6910-6605-4a49-88b7-f45d465a6abd&thumb
한울테마승마장,전남 진도군,010-9696-8759,"['가족과함께', '레포츠', '승마', '승마레슨', '승마장', '승마체험', '승마캠프', '승마트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd9d3b84-3f74-45bf-844b-0bf066b128da&thumb
섬진강 레프팅,전남 곡성군,061-363-4189,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=97c2b292-4923-4473-b6b4-a874dbd22504&thumb
