name,region,tel,keyword,photo
파라다이스 스파 도고 카라반 캠핑장,충남 아산시,041-537-7100,"['레포츠', '아산숙소', '연중무휴', '충청권', '카라반캠핑장', '캠핑카', '파라다이스스파도고']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=88b711db-2333-4505-aac2-4dd8d98b707c&thumb
몽산포오토캠핑장,충남 태안군,010-5408-6868,"['가족여행', '갯벌체험', '레포츠', '몽산포해수욕장', '오토캠핑장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=21613ce4-a5ef-4ca4-a1cd-0d4159551103&thumb
예당저수지(예당관광지),충남 예산군,041-339-8285,"['낚시터', '레포츠', '예당저수지', '충청권', '힐링산책']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=135bec22-1522-4780-81fa-4e63ea4388fa&thumb
학암포 오토캠핑장,충남 태안군,070-7601-4033,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c973e9e3-144b-4bed-98fc-e6ff3c694975&thumb
송정저수지 (부여),충남 부여군,041-830-6628,"['낚시', '레포츠', '문화재', '송정저수지', '자연경관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c67d3d37-3ae2-49fd-bd7f-1323efdf91f5&thumb
계룡산글램핑,충남 공주시,070-5055-0319,"['가족여행', '계룡산글램핑', '레포츠', '충청권', '캠핑장', '휴양여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9167676b-c0d9-4483-965e-f47c48491a66&thumb
당진 장고항,충남 당진시,041-360-8202,"['가족여행', '당진장고항', '레포츠', '바지락잡기체험', '이색체험', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=82971d7d-3b60-44b8-b010-c3a598598b53&thumb
"보령 바다낚시(무창포,대천)",충남 보령시,041-930-4822,"['낚시', '대천', '레포츠', '무창포', '보령 바다낚시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9fc3d19-e64f-4e95-94f5-7a3f470405f1&thumb
송악저수지(낚시),충남 아산시,041-543-5441,"['낚시', '레포츠', '붕어', '송악', '저수지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6fdd5abe-49d9-47d7-8dd1-b932ca1058dd&thumb
상록리조트 눈썰매장,충남 천안시,041-560-9114,"['겨울스포츠', '눈썰매장', '레포츠', '복합레저스포츠', '상록리조트', '상록리조트 눈썰매장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2f0a256d-86bc-4a15-a36d-59eda10685b5&thumb
아산레일바이크,충남 아산시,041-547-7882,"['경험', '도고온천역', '레일바이크', '레포츠', '선장역', '아산시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=07d667d3-5dc3-45bd-ab05-c765f0b4ce66&thumb
삽교호(아산),충남 아산시,041-536-8686,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d0e96b6-13d3-49ba-b7a9-413f681a5c0f&thumb
벌말,충남 서산시,041-660-2411,"['낚시', '레포츠', '벌말', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b7a550fd-752e-4b48-ad66-4d60165c0945&thumb
보령시 옥마산 패러글라이딩 체험,충남 보령시,010-3900-8926,"['레포츠', '옥마산', '충청권', '패러글라이딩', '활공장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d36c2b6-46e4-40ff-addd-626a48bb938a&thumb
대천 레일바이크,충남 보령시,070-7770-8770,"['가족여행', '경치좋은곳', '레일바이크', '레포츠', '바다경치', '바다풍경', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=977959ad-77b7-40a4-9160-ba52c72f7cc5&thumb
대천 짚트랙,충남 보령시,041-934-3003,"['레포츠', '복합레저스포츠', '연인과함께', '이색체험', '짚라인', '짚와이어', '짚트랙']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e79bb38a-f9e1-4572-b2b5-3720843d17df&thumb
천안승마클럽,충남 천안시,041-568-2229,"['가족과함께', '레포츠', '승마', '승마레슨', '승마장', '승마체험', '승마캠프', '승마트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=25e460ab-04e9-4151-90d9-eac3f7b240d3&thumb
마량 방파제,충남 서천군,041-950-4114,"['레포츠', '바다낚시', '서천낚시터', '서천바다낚시', '충남권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d4268b59-9c10-4fbf-a836-faa41bd7008a&thumb
홍성군 승마체험장,충남 홍성군,041-630-9700,"['가족과함께', '레포츠', '승마', '승마레슨', '승마장', '승마체험', '승마캠프', '승마트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a55df5dc-73fd-41ae-85a7-e24fee29f0bf&thumb
에딘버러컨트리클럽,충남 금산군,041-750-0114,"['골프장', '레포츠', '에딘버러컨트리클럽', '충남권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6ec87824-7105-4907-81b2-5c78de155339&thumb
[서산 아라메길 1구간] 유기방가옥~해미읍성 동헌,충남 서산시,041-660-2373,"['레포츠', '산책코스', '충청권', '트레킹', '힐링&휴양']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f62dc841-f2b0-4959-a918-a7857105f791&thumb
당진 도비도항,충남 당진시,041-352-6862,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7d5ec5d1-0b84-4bda-89bd-4ebf3d2cd96d&thumb
양화저수지,충남 공주시,041-852-5567,"['공주낚시터', '공주저수지', '레포츠', '민물낚시', '충남권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f5b4edaf-b787-4186-84dd-94ace815fe2b&thumb
오천.안면도,충남 보령시,041-932-4301,"['낚시', '레포츠', '바다낚시', '안면도', '오천', '우럭', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c2179e8-ccf7-444a-8001-e5ce9474bab9&thumb
태안 방포항,충남 태안군,041-670-2885,"['레포츠', '바다낚시', '방포항', '충남권', '태안바다', '태안바다낚시', '태안시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=47771662-5e92-4849-910d-1faa6c1ac8d0&thumb
삼길포,충남 서산시,041-662-0819,"['낚시체험', '낚시터', '레포츠', '삼길포', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=66aac7aa-bf08-4e4f-a6e0-3e1025a224f1&thumb
도고글로리콘도 실내수영장,충남 아산시,041-541-7100,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1fc48f12-9c2a-4193-a8c8-c9b18e88dfa6&thumb
태안 통개항,충남 태안군,041-670-2772,"['낚시', '레포츠', '충청권', '통개항', '풍경좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=164e9483-fd46-49ae-ad3f-3a8d69ae4969&thumb
충청남도학생수련원,충남 공주시,041-850-9235,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d031ca5-a4ad-46a0-9653-af141343d69b&thumb
부여청소년수련원,충남 부여군,041-835-5502,"['교육프로그램', '레포츠', '부여청소년수련원', '충남권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eb4339db-f7c6-4218-83ac-236ea31affaa&thumb
안면해수욕장,충남 태안군,041-670-2691,"['가족여행', '관광지', '레포츠', '바다낚시', '바다풍경', '안면해수욕장', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bfcf922a-a4f2-4fb7-95c2-8a651ad60946&thumb
부여 산직지,충남 부여군,041-830-6808,"['낚시', '레포츠', '부여군', '산직지', '지석묘']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bb121d02-8b99-4cbd-83d2-386f2d9ec0d7&thumb
홍익대만리포청소년수련원,충남 태안군,041-671-7500,"['레포츠', '청소년수련원', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eea89eb3-742d-40fe-9c33-4d1aa8ce5e9e&thumb
충화 복금저수지(복심저수지),충남 부여군,041-830-6628,"['낚시', '레포츠', '부여군', '저수지', '충화 복금저수지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ea6f9008-02c9-4314-9c3a-177cac1a1165&thumb
아산시 실내수영장,충남 아산시,041-537-3913,"['레포츠', '수영교실', '실내수영장', '아산시', '운동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=40247cec-9f0c-4d81-9fa9-e5bfb49c735d&thumb
당진 초대리지,충남 당진시,041-360-8501,"['낚시', '당진 초대리지', '당진시', '레포츠', '저수지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=025b5f81-e743-44c4-b1e7-7987c69aed08&thumb
"도비도내수면어업계 카누,카약체험장",충남 당진시,041-353-6118,"['레포츠', '연중무휴', '체험프로그램', '카누', '카약']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ebf1a63c-6159-4980-99a7-2fcfe7c191eb&thumb
온양그랜드호텔 실내수영장,충남 아산시,041-540-9492,['레포츠'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ddec5314-a268-49ed-8a05-5c36db2b317c&thumb
태안 모항항,충남 태안군,041-670-2691,"['낚시', '레포츠', '모항항', '충청권', '항구']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d91c6f67-a0d9-4528-b619-98150f037aea&thumb
반산저수지,충남 부여군,041-835-1997,"['낚시', '레포츠', '반산저수지', '부여군', '붕어']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fe29745a-c535-4af8-8065-26f9e2be3ba1&thumb
장삼포해수욕장,충남 태안군,041-670-2691,"['가족여행', '관광지', '레포츠', '바다낚시', '바다풍경', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=52e60758-6556-44a6-a5fa-81b853250c71&thumb
백마강레저파크,충남 부여군,1833-8982,"['레포츠', '부여관광지', '부여여행', '수상레저', '오토캠핑장', '워터파크', '카라반']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6be91db8-466e-4f8f-9563-f5f0a6090966&thumb
