name,region,tel,keyword,photo
만천하스카이워크,충북 단양군,043-421-0014,"['19_20한국관광100선', '가족과함께', '레포츠', '만천하스카이워크', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aaa3ab4d-8653-458b-b10c-9d2844929806&thumb
하늘재 트레킹,충북 충주시,043-653-3250,"['가족여행', '레포츠', '충청권', '트레킹', '하늘재트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=749e234a-28e8-4907-97d9-3aaf428eb7d1&thumb
청풍랜드,충북 제천시,043-648-4151,"['남녀노소', '레포츠', '번지점프', '복합레저스포츠', '연인과함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4bbdaa58-de72-4f1c-acdb-e215c327d8bf&thumb
산막이옛길,충북 괴산군,043-832-3527,"['19_20한국관광100선', '걷기길', '레포츠', '산막이옛길', '산책코스', '자연풍경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8c9330f3-e5e2-4289-8991-4b58fdb3a413&thumb
충주호 종댕이길,충북 충주시,043-842-0531,"['가족여행', '레포츠', '충주호종댕이길', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=268b6384-755e-42ed-bf39-a7256219c542&thumb
옥천 향수 100리 자전거길(금강코스),충북 옥천군,043-730-3773,"['금강코스', '레포츠', '옥천향수100리자전거길', '충청권', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b58a2988-c707-4365-b6dd-ac8e3e625029&thumb
두산패러글라이딩,충북 단양군,043-423-2633,"['가족여행', '두산패러글라이딩', '레포츠', '충청권', '항공스포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ee0f068f-43b1-45a1-ad23-94981036e55f&thumb
충주호,충북 충주시,043-842-0531,"['가족여행', '관광지', '나들이', '데이트코스', '레포츠', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=256ff6b7-c76f-47f1-9245-57b44e86fa3d&thumb
충주반딧불오토캠핑장,충북 충주시,043-846-3456,"['가족여행', '레포츠', '연중무휴', '충주반딧불오토캠핑장', '충청권', '휴양여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9060a7ad-4848-4de3-a3ac-b5f7d5c208fb&thumb
덕동골캠핑장,충북 제천시,070-7757-6978,"['가족여행지', '덕동', '레포츠', '캠핑장', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fc0e4beb-b0d1-434c-9c9e-1df55a94f3ef&thumb
