name,region,tel,keyword,photo
비엔나 인형박물관,강원 평창군,033-333-3330,"['가족과함께', '남녀노소', '문화시설', '복합문화공간', '아이가_좋아하는_여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8cc9d966-e7b1-49b9-b616-6375a17cd5bc&thumb
박인환문학관,강원 인제군,033-462-2086,"['가족과함께', '강원권', '기념관', '문학', '문학관', '문학기행', '문화시설', '박인환문학관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8fe0d398-b9f3-49b9-93e9-79ccb020b5a1&thumb
참소리축음기&에디슨과학박물관,강원 강릉시,033-655-1130,"['강원권', '기차여행', '문화시설', '박물관', '아이와함께', '에디슨과학박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b44519a2-1326-485c-aa79-00462c9e5d2e&thumb
고성 DMZ박물관,강원 고성군,033-681-0625,"['DMZ여행', '강원권', '겨울방학가볼만한곳', '고성DMZ박물관', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14a8ba68-ec41-4605-ac23-9d8091b4e179&thumb
속초시립박물관·속초실향민문화촌,강원 속초시,033-639-2978,"['강원권', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3b81fba-c3bd-4d8c-8e28-30f04c1c44cc&thumb
한얼문예박물관,강원 횡성군,033-345-0151,"['문화시설', '문화예술', '박물관', '박물관여행', '복합문화공간', '열린문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d7236de3-7d84-426b-a784-975b1fe67574&thumb
뮤지엄 산,강원 원주시,033-730-9000,"['가족과함께', '무장애여행지', '문화시설', '문화예술공간', '복합문화공간', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=18bcd23d-d675-491c-bc95-68dbfe1b9c93&thumb
강릉시 오죽헌/시립박물관,강원 강릉시,033-660-3301,"['강릉시시립박물관', '강릉시오죽헌', '강원권', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a259f950-c527-40f9-9932-050151f183cc&thumb
이효석 문학관,강원 평창군,033-330-2700,"['가족여행', '강원권', '기념관', '기차여행', '단체관람', '무장애', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=96306636-061e-460d-a8f8-edcc6c3190d2&thumb
젊은달 와이파크,강원 영월군,033-372-9411,"['가족과함께', '문화공간', '문화시설', '문화예술', '문화예술공간', '문화예술활동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f18c9181-1597-488d-8d3f-9c79808e637a&thumb
춘천 애니메이션박물관,강원 춘천시,033-245-6470,"['가족과함께', '교육여행', '남녀노소', '문화공간', '문화시설', '아이가_좋아하는_여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=187525be-b0f6-42b2-86dd-d5faa2e0dea3&thumb
동양자수박물관,강원 강릉시,033-644-0600,"['강원권', '교과서속여행', '기념품판매', '동양자수박물관', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a5b00405-6f73-42c8-bed1-8da4d6c5a718&thumb
백룡동굴 생태체험학습장,강원 평창군,033-334-7200,"['가족여행', '강원권', '문화시설', '미세먼지탈출_이색동굴여행', '백룡동굴', '백룡동굴생태체험학습장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14f762a0-ebd3-43d8-961d-696b8d42d374&thumb
삼척 동굴신비관,강원 삼척시,033-574-6828,"['가족과함께', '가족여행', '강원권', '기차여행', '단체관람', '문화시설', '미세먼지탈출_이색동굴여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d668467a-3e95-4c88-9212-7a8aa8151286&thumb
화진포 해양박물관,강원 고성군,033-682-7300,"['강원권', '기차여행', '단체관람', '무더위_피해_실내여행', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=489a3bf7-006c-48b5-9c64-9f987bc53139&thumb
책과인쇄박물관,강원 춘천시,033-264-9923,"['가족과함께', '김유정문학촌', '남녀노소', '문화공간', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=31f8717f-8aad-4a5f-a608-5d3338e234b1&thumb
설악산 탐방안내소,강원 속초시,033-636-7700,"['가족여행', '가족체험여행', '강원권', '관광안내소', '남녀노소', '등산객', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3e356879-3df4-48f1-b4cb-e80e4ede74ba&thumb
춘천문화예술회관,강원 춘천시,033-259-5841,"['가족여행', '강원권', '공연장', '나들이', '데이트코스', '문화시설', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=182259c7-a1e2-4e84-a54c-137b1e36eb81&thumb
인제산촌민속박물관,강원 인제군,033-462-2086,"['강원권', '교과서속여행', '기차여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d06f22eb-36d3-4293-9298-8103c9cbc82b&thumb
태백 고생대자연사박물관,강원 태백시,033-581-3003,"['강원권', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9e9f97ec-19dd-4d72-9f36-5d2a2ffbc915&thumb
