name,region,tel,keyword,photo
남양주 물의정원,경기 남양주시,031-590-2783,"['걷기길', '걷기여행', '관광지', '남녀노소', '반려견과함께', '반려견동반여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1c45478d-d898-4249-8576-9391055b846d&thumb
광릉숲길,경기 남양주시,031-540-1061,"['경치여행', '국립수목원광릉숲', '남양주광릉', '레포츠', '트레킹', '포천국립수목원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2e90e233-c531-4818-ba76-873e95ac8455&thumb
축령산자연휴양림,경기 남양주시,031-8008-6690,"['관광지', '나홀로여행', '산책하기좋은곳', '생태관광지', '숲치유', '자연', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eb586fa3-7291-48b5-ab30-f764c40f0742&thumb
산들소리수목원,경기 남양주시,031-574-3252,"['가족여행', '관광지', '기념품판매', '데이트코스', '브런치카페', '사계절', '산들소리수목원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=de3f7838-1187-4de5-b24e-5040cb71a2aa&thumb
다산유적지(남양주),경기 남양주시,031-590-4242,"['가족여행', '관광지', '교과서속여행', '다산유적지', '수도권', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4cea613-ce94-48ec-9b1b-c47d250ce144&thumb
몽골문화촌,경기 남양주시,031-559-8018,"['가족체험여행', '관광지', '당일치기여행', '몽골문화촌', '무더위_피해_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e7bc4210-1341-47da-9e0c-3ed9d5c22416&thumb
화도하수처리장 피아노폭포,경기 남양주시,031-590-8224,"['경치좋은곳', '관광지', '당일치기여행', '산책하기좋은곳', '수도권', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e1c223f4-9ae0-4fa4-8fa7-94fc1d7688c0&thumb
봉선사(경기),경기 남양주시,031-527-1956,"['가족여행', '관광지', '교과서속여행', '당일치기여행', '봉선사(경기)', '사찰']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5c4a706e-0973-4b8e-9caf-ba4882de91c4&thumb
미음매운탕,경기 남양주시,031-566-3564,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=08c6ae2b-311e-4989-8313-1c6ae8265d1a&thumb
다산생태공원,경기 남양주시,031-590-8634,"['가볼만한축제', '걷기길', '관광지', '다산생태공원', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c980d293-71c5-430d-96ad-757de20c599e&thumb
