name,region,address
바람흔적미술관,경남 남해군,경상남도 남해군 삼동면 금암로 519-4
거제어촌민속전시관,경남 거제시,경상남도 거제시 일운면 지세포해안로 41
창원시립진해박물관,경남 창원시,경상남도 창원시 진해구 중원동로 52
거제씨월드,경남 거제시,경상남도 거제시 일운면 지세포해안로 15
김해 분청도자박물관,경남 김해시,경상남도 김해시 진례면 진례로 275-35
해금강테마박물관,경남 거제시,경상남도 거제시 남부면 해금강로 120
고성공룡박물관,경남 고성군,경상남도 고성군 하이면 자란만로 618
남해 파독전시관,경남 남해군,경상남도 남해군 삼동면 독일로 89-7
창원의 집,경남 창원시,경상남도 창원시 의창구 사림로16번길 59 
국립진주박물관,경남 진주시,경상남도 진주시 남강로 626-35
창원과학체험관,경남 창원시,경상남도 창원시 성산구 충혼로72번길 16
거창사과테마파크,경남 거창군,경상남도 거창군 거창읍 거함대로 3372-60
와인갤러리,경남 사천시,경상남도 사천시 곤명면 경서대로 3552
하동야생차박물관,경남 하동군,경상남도 하동군 화개면 쌍계로 571-25
박경리 기념관,경남 통영시,경상남도 통영시 산양읍 산양중앙로 173
통영 명품진주전시관,경남 통영시,경상남도 통영시 용남면 남해안대로 83
우포늪생태관,경남 창녕군,경상남도 창녕군 유어면 우포늪길 220
포로수용소유적박물관,경남 거제시,경상남도 거제시 계룡로 61
양산문화예술회관,경남 양산시,경상남도 양산시 중앙로 39-1
창원시립마산문신미술관,경남 창원시,경상남도 창원시 마산합포구 문신길 147
진주청동기문화박물관,경남 진주시,경상남도 진주시 대평면 호반로 1353
청마문학관,경남 통영시,경상남도 통영시 망일1길 82
남해국제탈공연예술촌,경남 남해군,경상남도 남해군 이동면 남해대로 2412
통영시립도서관,경남 통영시,경상남도 통영시 무전3길 29
산청 한의학박물관,경남 산청군,경상남도 산청군 금서면 동의보감로555번길 45-6
통영시립박물관,경남 통영시,경상남도 통영시 중앙로 65
남해유배문학관,경남 남해군,경상남도 남해군 남해읍 남해대로 2745
함안박물관,경남 함안군,경상남도 함안군 가야읍 고분길 153-31
창녕박물관,경남 창녕군,경상남도 창녕군 창녕읍 창밀로 34
클레이아크 김해미술관,경남 김해시,경상남도 김해시 진례면 진례로 275-51
통영 옻칠미술관,경남 통영시,경상남도 통영시 용남면 용남해안로 36
얼음골축음기소리박물관(밀양),경남 밀양시,경상남도 밀양시 산내면 산내로 926-1
지리산생태과학관,경남 하동군,경상남도 하동군 악양면 섬진강대로 3358-30
국립김해박물관,경남 김해시,경상남도 김해시 가야의길 190
창원시립마산박물관,경남 창원시,경상남도 창원시 마산합포구 문신길 105
매암차문화박물관,경남 하동군,경상남도 하동군 악양면 악양서로 346-1
대성동고분박물관,경남 김해시,경상남도 김해시 가야의길 126
거제민속박물관,경남 거제시,경상남도 거제시 연초면 대금산로 339-7
전혁림 미술관,경남 통영시,경상남도 통영시 봉수1길 10
의령예술촌,경남 의령군,경상남도 의령군 궁류면 벽계로 16-32
합천박물관,경남 합천군,경상남도 합천군 쌍책면 황강옥전로 1558
양산시립박물관,경남 양산시,경상남도 양산시 북정로 78
밀양시립박물관,경남 밀양시,경상남도 밀양시 밀양대공원로 100
진해문화원,경남 창원시,경상남도 창원시 진해구 편백로 39
김해문화원,경남 김해시,경상남도 김해시 분성로 225
칠천량해전공원전시관,경남 거제시,경상남도 거제시 하청면 칠천로 265-39
표충사호국박물관,경남 밀양시,경상남도 밀양시 단장면 표충로 1338
창원역사민속관,경남 창원시,경상남도 창원시 의창구 창이대로397번길 25
산청박물관,경남 산청군,경상남도 산청군 생초면 산수로 1064
지리산 빨치산토벌 전시관,경남 산청군,경상남도 산청군 시천면 지리산대로 536
고성문화원(경남),경남 고성군,경상남도 고성군 고성읍 성내로 54
평사리문학관,경남 하동군,경상남도 하동군 악양면 평사리길 76-23
해인사 성보박물관,경남 합천군,경상남도 합천군 가야면 가야산로 1742-17
고성자연사박물관,경남 고성군,경상남도 고성군 회화면 당항만로 1116
주남저수지 생태학습관,경남 창원시,경상남도 창원시 의창구 동읍 주남로101번길 26
창원문화원,경남 창원시,경상남도 창원시 의창구 용지로239번길 19-22
목면시배유지,경남 산청군,경상남도 산청군 단성면 목화로 887
이순신 영상관,경남 남해군,경상남도 남해군 고현면 남해대로 3829
통도사 성보박물관,경남 양산시,경상남도 양산시 하북면 통도사로 108
진해문화센터,경남 창원시,경상남도 창원시 진해구 진해대로 325
김해민속박물관,경남 김해시,경상남도 김해시 분성로261번길 35
함양문화예술회관,경남 함양군,경상남도 함양군 함양읍 필봉산길 55
산청문화원(문화의집),경남 산청군,경상남도 산청군 산청읍 산엔청로 56
주남저수지 람사르문화관,경남 창원시,경상남도 창원시 의창구 동읍 주남로101번길 26
하동문화예술회관,경남 하동군,경상남도 하동군 하동읍 섬진강대로 2222
김해문화의전당,경남 김해시,경상남도 김해시 김해대로 2060
김씨 박물관,경남 창원시,경상남도 창원시 진해구 소사로59번나길 4
남해문화센터,경남 남해군,경상남도 남해군 남해읍 선소로 12
에너지환경과학공원 에너지전시관,경남 창원시,경상남도 창원시 진해구 천자로 101
합천문화원,경남 합천군,경상남도 합천군 합천읍 핫들2로 58
진주시립 이성자미술관,경남 진주시,경상남도 진주시 에나로128번길 14
