name,region,tel,keyword,photo
무등갤러리,광주 동구,062-236-2520,"['기차여행', '데이트코스', '무등갤러리', '문화시설', '미술관', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6a78250e-fbb5-4a57-872b-d805670c5529&thumb
남도향토음식박물관·호남문화자료전시관,광주 북구,062-410-6642,"['기념품판매', '남도향토음식박물관', '먹거리', '문화시설', '미식여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ba7b569-9f20-43d8-b242-33f051685252&thumb
광주 역사민속박물관,광주 북구,062-613-5337,"['광주시립민속박물관', '기차여행', '나들이', '문화시설', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=25ebd327-3e82-4094-8748-0393a1c98364&thumb
국립광주박물관,광주 북구,062-570-7000,"['교과서속여행', '국립광주박물관', '기차여행', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7386f6c4-bf38-49bd-aa65-385e98059f5f&thumb
국립광주과학관,광주 북구,062-960-6210,"['국립광주과학관', '문화시설', '박물관', '아이와함께', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3cca1ff9-3d68-41b8-a524-a532f8ecfda6&thumb
광주시립미술관,광주 북구,062-613-7100,"['광주시립미술관', '나들이', '데이트코스', '문화시설', '미술관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=15a1d660-d2d2-40f6-a3eb-bafbd53db65f&thumb
국립아시아문화전당,광주 동구,1899-5566,"['문화시설', '야간관광100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=71188384-8c26-4dae-9b57-82298ead15da&thumb
김대중컨벤션센터,광주 서구,062-611-2000,"['가족과함께', '김대중컨벤션센터', '문화공간', '문화생활', '문화시설', '문화예술활동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=873f73cd-7a2b-499e-b461-fba3b016715f&thumb
광주광역시립무등도서관,광주 북구,062-613-7753,"['독서', '문화시설', '아이와함게', '친구와함께', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3c87720d-04b2-46d0-aecb-669d056ec3b8&thumb
광주시청 야외음악당,광주 서구,062-613-3183,"['광주', '광주시청야외음악당', '남녀노소', '무장애', '문화공연', '문화시설', '서구']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=df96de89-c7f0-4def-a87d-8b013f32b94e&thumb
