name,region,address
무등갤러리,광주 동구,광주 동구 예술길 18-1
남도향토음식박물관·호남문화자료전시관,광주 북구,광주광역시 북구 설죽로 477
광주 역사민속박물관,광주 북구,광주광역시 북구 서하로 48-25
국립광주박물관,광주 북구,광주광역시 북구 하서로 110
국립광주과학관,광주 북구,광주광역시 북구 첨단과기로 235
광주시립미술관,광주 북구,광주광역시 북구 하서로 52
국립아시아문화전당,광주 동구,광주광역시 동구 문화전당로 38
김대중컨벤션센터,광주 서구,광주광역시 서구 상무누리로 30
광주광역시립무등도서관,광주 북구,광주광역시 북구 면앙로 130
광주시청 야외음악당,광주 서구,광주광역시 서구 내방로 111
광주학생독립운동기념회관,광주 서구,광주광역시 서구 학생독립로 30
광주문화예술회관,광주 북구,광주광역시 북구 북문대로 60
광주광역시립 사직도서관,광주 남구,광주광역시 남구 제중로 56
광주 동구문화원,광주 동구,광주광역시 동구 예술길 18-1
광주학생교육문화회관,광주 서구,광주광역시 서구 상무민주로 61
광주 송정도서관,광주 광산구,광주광역시 광산구 송정공원로 8-13
의재미술관,광주 동구,광주광역시 동구 증심사길 155
빛고을시민문화관,광주 남구,광주광역시 남구 천변좌로338번길 7
광산문화원,광주 광산구,광주광역시 광산구 상무대로 265
광주광역시립산수도서관,광주 동구,광주광역시 동구 경양로 355
우제길미술관,광주 동구,광주광역시 동구 의재로 140-6
광주중앙도서관,광주 동구,광주광역시 동구 장동로 23-16
광주광역시 서구문화원,광주 서구,광주광역시 서구 풍금로 182
광주 남구문화원,광주 남구,광주광역시 남구 봉선로 208
무등현대미술관,광주 동구,광주광역시 동구 증심사길 9
광주 북구문화원,광주 북구,광주광역시 북구 향토문화로 65
고싸움놀이전수회관,광주 남구,광주광역시 남구 고싸움로 2
금호평생교육관,광주 남구,광주광역시 남구 중앙로 15
민들레소극장,광주 동구,광주광역시 동구 동계천로 111
