name,region,tel,keyword,photo
광나루안전체험관,서울 광진구,02-2049-4061,"['광나루안전체험관', '문화시설', '사계절', '수도권', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a869ce50-7316-483b-8d22-acc9caa0a573&thumb
국립중앙박물관,서울 용산구,02-2077-9000,"['국립중앙박물관', '나들이', '문화시설', '미세먼지_피하는_실내여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=57a6e3a1-454e-4cc7-b20d-de99307f2add&thumb
청와대사랑채,서울 종로구,02-723-0300,"['가족여행', '교과서속여행', '기념관', '도심여행', '문화시설', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f54e0f20-49e3-4fb8-88e6-cc372ca3c15a&thumb
돈의문박물관마을,서울 종로구,02-739-6994,"['감성사진', '남녀노소', '문화시설', '부모님과함께', '사진찍기좋은곳', '사진촬영']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=91cf6a7a-0234-4bc8-88d0-df3ba853ba22&thumb
서대문형무소역사관,서울 서대문구,02-360-8590,"['3·1운동_100주년_여행지추천', '가족과함께', '교과서속여행', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8bdffb08-c43a-4cf3-8f9c-91aff64edb0a&thumb
래미안 갤러리,서울 송파구,1588-3588,"['건축여행', '데이트코스', '래미안갤러리', '문화공간', '문화시설', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=578818df-1539-4230-9077-e612d913974f&thumb
평화문화진지,서울 도봉구,02-3494-1970,"['문화시설', '문화창작공간', '서울관광지', '언택트관광지_100선', '옛대전차방호시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=357bf8af-2db0-43db-8a34-8552a8082698&thumb
서울 트릭아이뮤지엄,서울 마포구,02-3144-6300,"['도심여행', '문화시설', '미술관', '사진찍기', '사진찍기좋은곳', '서울트릭아이미술관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6d47f35c-3f78-4cb9-9e8b-46369490f58d&thumb
한국종합무역센터(코엑스),서울 강남구,02-6000-0114,"['가족여행', '데이트코스', '도심여행', '먹거리', '문화시설', '복합문화공간', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7110ed98-f6ce-435e-9334-6f1fb9f69a3d&thumb
국립어린이과학관,서울 종로구,02-3668-3350,"['과학관', '국립어린이과학관', '나들이', '문화시설', '수도권', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=637b33da-9f20-457f-8cfa-be60aa1acf93&thumb
케이스타일허브(K-Style Hub),서울 중구,02-729-9457,"['VR체험', '가족여행', '관광안내', '먹거리', '문화시설', '문화콘텐츠산업', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=03add89a-5232-493b-b24b-a1a8e8eccb73&thumb
전쟁기념관,서울 용산구,02-709-3144,"['가족여행', '교과서속여행', '도심여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c591d23a-9726-40bc-a86b-6c61ab11850a&thumb
롯데월드 아쿠아리움,서울 송파구,1661-2000,"['가족과함께', '롯데월드', '롯데월드아쿠아리움', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=02909a0d-b8d9-48f1-b485-a2383e3d195a&thumb
예술의전당 한가람미술관,서울 서초구,02-580-1300,"['나들이', '데이트코스', '문화시설', '미술관', '수도권', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f8fa220b-3b61-473d-a1a8-4de15f8fb51e&thumb
청원산방,서울 종로구,02-715-3342,"['가족과함께', '공연/전시', '공예체험', '공예품', '문화공간', '문화시설', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cc908b0a-293d-4597-84b9-57fcba12f57b&thumb
서울특별시교육청 과학전시관,서울 관악구,02-881-3000,"['교과서속여행', '문화시설', '사계절', '서울특별시과학전시관', '수도권', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fea28144-d4f5-47f4-addf-301f33ee6e42&thumb
서울시립 북서울미술관,서울 노원구,02-2124-5248,"['교육여행', '교육프로그램', '데이트코스', '문화공간', '문화시설', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2a46a436-051a-4db4-b4d8-ebe55571acc6&thumb
