name,region,tel,keyword,photo
국립공주박물관,충남 공주시,041-850-6300,"['교과서속여행', '국립공주박물관', '기차여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f0a91da9-7179-4cb9-9319-dc67f2f0c0e4&thumb
천안 독립기념관,충남 천안시,041-560-0114,"['3·1운동_100주년_여행지추천', '기념관', '독립기념관', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=17617aa6-513f-4c24-b0b7-f3edaf33feb8&thumb
국립해양생물자원관,충남 서천군,041-950-0695,"['국립해양생물자원관', '무더위_피해_실내여행', '문화시설', '아이가_좋아하는_여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=36ecd104-c377-45e3-95e7-01357c99047b&thumb
안면도 쥬라기박물관,충남 태안군,041-674-5660,"['교과서속여행', '문화시설', '박물관', '아이와함께', '안면도쥬라기박물관', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8bb13c21-4c6c-46b4-bb82-df3a7ef6e612&thumb
천안박물관,충남 천안시,041-521-2891,"['문화공간', '문화시설', '문화행사', '박물관', '복합문화공간', '아이와함께', '열린문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=428b053d-7c6f-4676-843f-56fd40a14518&thumb
온양민속박물관,충남 아산시,041-542-6001,"['기차여행', '문화시설', '박물관', '아이와함께', '온양민속박물관', '전시관', '전통&역사문화체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ed551421-d005-40ee-b737-4442843b6209&thumb
국립부여박물관,충남 부여군,041-833-8562,"['국립부여박물관', '기차여행', '문화시설', '박물관', '아이와함께', '전시관', '전통&역사문화체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bf581632-8780-484b-a994-51e2df85a17e&thumb
아산시 평생학습관,충남 아산시,041-537-3906,"['공연장', '문화시설', '문화행사', '복합문화공간', '아산시평생학습관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a6b47e88-1a50-4c97-8238-1b567c55ad31&thumb
유관순열사기념관,충남 천안시,041-564-1223,"['3·1운동_100주년_여행지추천', '문화시설', '역사투어', '열사', '유관순', '천안시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a2965043-37d7-4bbe-a0eb-62329c91526b&thumb
충청남도역사박물관,충남 공주시,041-856-8608,"['공주가볼만한곳', '문화시설', '박물관', '아이와함께', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=62e3a891-df76-4dc2-ae98-5a8b3567970d&thumb
고남패총박물관,충남 태안군,041-670-2337,"['고남패총박물관', '교과서속여행', '문화시설', '박물관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0300394a-1f17-47a2-a0ed-3a86253e1a56&thumb
한국고건축박물관,충남 예산군,041-337-5877,"['가족여행', '기차여행', '문화시설', '박물관', '아이와함께', '전통&역사문화체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8c470140-b6c8-4dd6-b4c9-ad36b73440d5&thumb
석장리박물관,충남 공주시,041-840-8924,"['겨울방학가볼만한곳', '교과서속여행', '문화시설', '박물관', '석장리박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=defd9718-c124-422e-9143-c708fb4cfee4&thumb
캔아트 체험교실,충남 아산시,041-532-0133,"['문화시설', '문화예술공간', '복합문화공간', '아이와함께', '열린문화공간', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=28626b73-c03e-4370-bb3b-580d99ca1316&thumb
계룡산자연사박물관,충남 공주시,042-824-4055,"['계룡산자연사박물관', '기차여행', '문화시설', '박물관', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=95a369b8-52b9-4d16-9a71-2a11ecda481f&thumb
윤봉길의사기념관,충남 예산군,041-339-8233,"['교과서속여행', '기념관', '무장애', '문화시설', '아이와함께', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=43651ca7-66fe-4144-9afe-8060654655e5&thumb
백제군사박물관,충남 논산시,041-746-8431,"['교과서속여행', '문화시설', '박물관', '백제군사박물관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e5402631-e4eb-4021-826f-8a0c6b19ad6c&thumb
