name,region,tel,keyword,photo
충주세계무술박물관,충북 충주시,043-848-8483,"['가족여행', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9dc0e520-aa46-4f2d-b01d-cce465fd49d7&thumb
난계국악박물관,충북 영동군,043-742-8843,"['기차여행', '난계국악박물관', '단체관람', '문화시설', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8de90102-1dd3-4d55-87e2-00d2cbc48cdd&thumb
오대호아트팩토리,충북 충주시,043-844-0741,"['가족과함께', '문화시설', '문화예술', '복합문화공간', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d73252a8-17c9-46fe-8701-0b59ce0ec7b5&thumb
단양 다누리아쿠아리움,충북 단양군,043-420-2951,"['가족과함께', '가족여행', '가족체험여행', '교과서속정보', '다누리아쿠아리움']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d3bf580d-3c17-42f0-b297-ab68136ca5ad&thumb
술박물관 리쿼리움,충북 충주시,043-855-7333,"['기념품판매', '문화시설', '박물관', '사계절', '술박물관리쿼리움', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=53fc4668-c943-4348-abcf-df1c3223639c&thumb
공군박물관,충북 청주시,043-290-6071,"['공군박물관', '교과서속여행', '무료관람', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c6720798-da59-4aea-b6a7-b7c0216b91bd&thumb
충주고구려비전시관,충북 충주시,043-850-7301,"['문화시설', '박물관', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8d334ed0-2b09-4284-a7fd-cbb5b71a1b0f&thumb
충주고구려천문과학관,충북 충주시,043-842-3247,"['가족여행', '무더위_피해_실내놀이', '문화시설', '별따라가기', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=950ea894-560a-4cbd-a098-b3b473ac9df7&thumb
진천 종박물관,충북 진천군,043-539-3847,"['교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께', '진천종박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac1fec55-01cd-4193-bdfa-99d18a8ddf25&thumb
운보의 집,충북 청주시,043-213-0570,"['가족여행', '김기창', '문화시설', '운보', '운보문화체험', '운보의집', '청주시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5f75b3e-4732-408b-b878-18311bdeb1a2&thumb
수몰역사관,충북 제천시,043-641-6734,"['가족여행', '문화시설', '수몰역사관', '체험학습', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6efa19f3-44d2-4c19-adda-d4aa0e6b1bff&thumb
국립청주박물관 어린이박물관,충북 청주시,043-229-6313,"['국립청주박물관', '기차여행', '문화시설', '박물관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f0c38510-c278-41a6-abb3-5ccc37e0e9a8&thumb
철박물관,충북 음성군,043-883-2321,"['교과서속여행', '문화시설', '박물관', '실내여행지', '아이와함께', '전시관', '철박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=86559cfd-d3dd-47e3-8f29-f7de7ac62b95&thumb
충주박물관,충북 충주시,043-850-3924 043-850-3921,"['기차여행', '문화시설', '미세먼지_피하는_실내여행', '박물관', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=91418d6c-755a-4a30-b652-ddb916821bee&thumb
정지용 문학관,충북 옥천군,043-730-3408,"['가족과함께', '교과서속여행', '기념관', '남녀노소', '문학관', '문학기행', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e420c275-7861-46cb-94ed-39b5d172e4dc&thumb
청주백제유물전시관,충북 청주시,043-201-4255,"['가족여행', '교과서속여행', '문화시설', '박물관', '사계절', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bc0daaa6-eab0-4e61-8d83-7348ff954f1f&thumb
수양개선사유물전시관,충북 단양군,043-423-8502,"['가족여행', '교과서속여행', '문화시설', '박물관', '사계절', '수양개선사유물전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74a93828-9ec0-4b66-8333-7bc3402fb051&thumb
국립현대미술관(청주관),충북 청주시,043-261-1400,"['관광지', '국립현대미술관', '기획전시', '문화시설', '문화예술공간', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1635e09d-04db-49a2-b27d-936bc2734b93&thumb
정크아트갤러리(오대호 스튜디오),충북 음성군,043-844-0741,"['갤러리', '문화공간', '문화시설', '문화예술', '복합문화공간', '열린문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=025371cc-4a7a-4563-9a6c-fdcd26d95343&thumb
괴산한지체험박물관,충북 괴산군,043-832-3223,"['가족과함께', '괴산가볼만한곳', '괴산한지체험박물관', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1dacbb2d-66cb-41a0-8704-f9d34b636665&thumb
