name,region,address
충주세계무술박물관,충북 충주시,충청북도 충주시 남한강로 24
난계국악박물관,충북 영동군,충청북도 영동군 심천면 국악로 9
오대호아트팩토리,충북 충주시,충청북도 충주시 앙성면 가곡로 1434
단양 다누리아쿠아리움,충북 단양군,충청북도 단양군 단양읍 수변로 111
술박물관 리쿼리움,충북 충주시,충청북도 충주시 중앙탑면 탑정안길 12
공군박물관,충북 청주시,충청북도 청주시 상당구 남일면 단재로 635
충주고구려비전시관,충북 충주시,충청북도 충주시 중앙탑면 감노로 2319
충주고구려천문과학관,충북 충주시,충청북도 충주시 중앙탑면 묘곡내동길 100
진천 종박물관,충북 진천군,충청북도 진천군 진천읍 백곡로 1504-12
운보의 집,충북 청주시,충청북도 청주시 청원구 내수읍 형동2길 92-41
수몰역사관,충북 제천시,충청북도 제천시 청풍면 청풍호로 2048
국립청주박물관 어린이박물관,충북 청주시,충청북도 청주시 상당구 명암로 143
철박물관,충북 음성군,충청북도 음성군 감곡면 영산로 360
충주박물관,충북 충주시,충청북도 충주시 중앙탑면 중앙탑길 112-28
정지용 문학관,충북 옥천군,충청북도 옥천군 옥천읍 향수길 56
청주백제유물전시관,충북 청주시,충청북도 청주시 흥덕구 1순환로438번길 9
수양개선사유물전시관,충북 단양군,충청북도 단양군 적성면 수양개유적로 390
국립현대미술관(청주관),충북 청주시,충청북도 청주시 청원구 상당로 314
정크아트갤러리(오대호 스튜디오),충북 음성군,충청북도 음성군 음성읍 가섭길 219
괴산한지체험박물관,충북 괴산군,충청북도 괴산군 연풍면 원풍로 233
증평민속체험박물관,충북 증평군,충청북도 증평군 증평읍 둔덕길 89
국립청주박물관,충북 청주시,충청북도 청주시 상당구 명암로 143
오장환문학관,충북 보은군,충청북도 보은군 회인면 회인로5길 12
솔향공원,충북 보은군,충청북도 보은군 속리산면 속리산로 600
제천문화회관,충북 제천시,충청북도 제천시 의림대로6길 32
한독의약박물관,충북 음성군,충청북도 음성군 대소면 대풍산단로 78
의림지 역사박물관,충북 제천시,충청북도 제천시 의림대로47길 7
한국잠사박물관(청주),충북 청주시,충청북도 청주시 흥덕구 강내면 청주역로 213-52
조동리 선사유적 박물관,충북 충주시,충청북도 충주시 동량면 조동1길 15
청주시립대청호미술관,충북 청주시,충청북도 청주시 상당구 문의면 대청호반로 721
박정우 염색갤러리,충북 제천시,충청북도 제천시 청풍면 문화재길 30
능강솟대문화공간,충북 제천시,충청북도 제천시 수산면 옥순봉로 1100
