name,region,tel,keyword,photo
쁘띠프랑스,경기 가평군,031-584-8200,"['감성사진', '관광지', '드라마촬영지', '쁘띠프랑스', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cf580ad3-8404-436f-b593-bd84a5fc2582&thumb
포천 허브아일랜드,경기 포천시,031-535-6494,"['가족여행', '관광지', '수도권', '수목원', '자연좋은곳', '체험', '포천허브아일랜드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=19200723-ecc9-4b20-965b-7f137b6a525b&thumb
오두산 통일전망대,경기 파주시,031-956-9600,"['관광지', '수도권', '아이와함께', '역사이야기', '오두산통일전망대', '이산가족']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2eaaeff-fa91-4f44-b1ec-a786f530f2cf&thumb
이천 부래미마을,경기 이천시,031-643-0817,"['가족여행', '겨울방학가볼만한곳', '겨울여행', '관광지', '농촌체험', '부래미마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=87f572c8-ca78-4c47-8d5a-0beb426ebd37&thumb
별빛정원우주,경기 이천시,031-645-0002,"['SNS감성사진', '경기도', '관광지', '별빛정원우주', '사진찍기', '사진촬영', '사진촬영명소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f59f0a7a-7b19-4e39-9258-604833d6f54b&thumb
스포츠몬스터 고양,경기 고양시,1668-4832,"['관광지', '레포츠체험', '미세먼지_피하는_실내여행', '복합레저스포츠', '복합레포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0f87f41f-8289-439b-bdc8-05f4c2a537ab&thumb
프로방스 마을,경기 파주시,031-946-6353,"['가족여행', '관광지', '데이트코스', '사진찍기', '사진찍기좋은곳', '산책하기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f27f60b9-d928-428d-b24c-1f5f40b64adf&thumb
에델바이스 스위스테마파크,경기 가평군,031-581-9400,"['관광지', '문화콘텐츠산업', '박물관', '사진찍기', '사진촬영', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e5558598-e68b-4f67-b55e-c4ed2e1acbed&thumb
화성 베어팜,경기 화성시,031-353-1991,"['가족과함께', '가족체험', '경기권', '관광지', '동물농장', '동물체험', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=136c3909-77bd-4616-aff0-10b3ec52c1d3&thumb
일영허브랜드,경기 양주시,031-871-4387,"['가족여행', '걷기길', '관광지', '당일치기여행', '봄나들이', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=636a1fe7-bfbd-49cc-9408-63022e281141&thumb
안성허브마을,경기 안성시,031-671-6969,"['가족여행', '가족체험여행', '관광지', '기념품판매', '사계절', '수도권', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a93893f3-935b-400c-ac92-7d529fa72aeb&thumb
대부도 종현마을,경기 안산시,032-886-6044,"['가족과함께', '가족여행', '관광지', '대부도종현마을', '서울근교여행', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a61a6b8f-e783-47f9-a42c-db7cad986b7e&thumb
우농타조농장,경기 파주시,031-942-6272,"['가족체험', '관광지', '동물농장', '동물체험', '아기동물농장', '아이가_좋아하는_여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6ac46d04-0681-488a-9569-765c0fa2d1c7&thumb
쇠꼴마을,경기 파주시,031-959-0123,"['가족과함께', '관광지', '농촌마을', '농촌여행', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0726a15f-9a09-423e-806c-dd517dc4cae6&thumb
가평 연인산마을,경기 가평군,031-582-9334,"['가족과함께', '가족휴양', '가평숙소', '관광지', '연인과함께', '이색체험', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd08439b-9b08-4e7c-8071-3f1da2ebcf26&thumb
리틀빅아이 자유숲놀이터,경기 양주시,1644-4906,"['가족과함께', '관광지', '놀이공간', '놀이체험', '아이가_좋아하는_여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0f48c8de-a818-4426-96ef-ff7a6b48d3e2&thumb
이천 산수유마을,경기 이천시,031-632-4304,"['경기권', '관광지', '농촌마을', '농촌여행', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=de835895-8dfc-4a66-8215-31b7feacdf52&thumb
도예공방 들꽃마을,경기 이천시,010-7335-6832,"['가족과함께', '경기권', '공예체험', '공예품', '관광지', '도예공방들꽃마을', '도자기공방']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4f515f99-8f78-4fc2-aa70-d0ffb2782c72&thumb
몽골문화촌,경기 남양주시,031-559-8018,"['가족체험여행', '관광지', '당일치기여행', '몽골문화촌', '무더위_피해_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e7bc4210-1341-47da-9e0c-3ed9d5c22416&thumb
스포츠몬스터 하남,경기 하남시,1668-4832,"['관광지', '놀이동산&테마파크', '레포츠체험', '복합문화공간', '수도권', '스포츠몬스터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=801b5270-4a7d-4714-ac81-28b213817c71&thumb
