name,region,tel,keyword,photo
경화역 벚꽃길,경남 창원시,055-289-8815,"['감성사진', '경상권', '경화역벚꽃길', '관광지', '데이트코스', '벚꽃명소', '사진찍기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1cc6d87-9bc9-4339-ac65-f52ee2fbbf7a&thumb
여좌천(벚꽃명소),경남 창원시,055-548-4507,"['SNS감성사진', '감성사진', '경상권', '관광지', '나들이', '데이트장소추천', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd7f447c-db23-4876-80e7-75bba005792c&thumb
동피랑마을,경남 통영시,055-650-2570,"['감성사진', '걷기길', '경상권', '관광지', '데이트코스', '동피랑마을', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ba44d475-4f7c-4939-9875-f50e18d17659&thumb
편백나무숲속 나폴리농원,경남 통영시,055-641-7005,"['가족여행', '경상권', '관광지', '기념품판매', '데이트코스', '사계절', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=baeb39bd-18df-4d37-b5a6-cf794c01894b&thumb
밀양 꽃새미마을,경남 밀양시,055-391-1518,"['가족과함께', '가족여행', '경상권', '관광지', '농촌전통테마마을', '밀양꽃새미마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=808a0393-c765-4dd1-83eb-7ecbf0eda736&thumb
남해 문항어촌체험마을,경남 남해군,055-863-4787,"['가족여행', '경상권', '관광지', '낚시체험', '남해문항어촌체험마을', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0a668551-0ed6-41e8-8d59-7c2af48ce177&thumb
남해 홍현마을,경남 남해군,055-863-5885,"['가족과함께', '경치여행', '경치좋은곳', '관광지', '바다경치', '바다내음', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=faff13f8-0c64-4cef-9aa4-a2ef54a17d6c&thumb
상상양떼목장 편백숲,경남 남해군,055-862-5300,"['가족과함께', '경치좋은곳', '관광지', '산책하기좋은곳', '아이와함께', '양떼목장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0a6180f5-e32f-428c-a31a-72dee3fee0f7&thumb
의신마을,경남 하동군,055-883-3580,"['관광지', '산책길', '산책하기', '산책하기좋은곳', '자연마을', '자연속으로', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4a19a75-2a5f-465e-84e3-85d7a13e880f&thumb
거제 계도어촌체험마을,경남 거제시,055-632-2515,"['가족체험', '관광지', '아이와함께', '어촌', '어촌마을', '어촌체험', '자연마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3c213d9c-f0a4-4ef4-8bc5-55d7173a9897&thumb
해바리마을,경남 남해군,010-4702-9990,"['가족과함께', '경상권', '관광지', '남해해바리마을', '농촌체험', '농촌체험마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8948b181-776d-42f1-a24e-fd774468803e&thumb
마산 오동동 아구찜거리,경남 창원시,,"['경상권', '관광지', '마산오동동아구찜거리', '소주한잔', '시장음식', '아구찜']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5ecf7c96-ad87-4e04-b035-4163932f1289&thumb
도장포어촌체험마을,경남 거제시,055-638-2202,"['가족여행', '경상권', '관광지', '농어촌체험마을', '도장포어촌체험마을', '사진촬영명소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=efce0176-d568-442e-86bb-dab195976587&thumb
해오름예술촌,경남 남해군,055-867-0706,"['가족여행', '경상권', '관광지', '복합문화공간', '상설전시', '열린문화공간', '예술']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=89f79f11-7556-44ae-a3de-768fd6106f17&thumb
창동예술촌,경남 창원시,055-222-2155,"['가족여행', '경상권', '관광지', '문화예술', '문화예술공간', '미술관', '복학문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=61ee5b47-91f3-49a0-a56b-029e7171de1a&thumb
남해 유포어촌체험마을,경남 남해군,055-862-0735,"['가족여행', '가족체험여행', '경상권', '관광지', '남해유포어촌체험마을', '마을축제']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c5a768d5-f641-4ebc-bd85-9157d7608fa9&thumb
남해 양모리학교,경남 남해군,055-862-8933,"['가족여행', '걷기여행', '경상권', '관광지', '남해양모리학교', '농천체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=467e4d74-b621-45b4-b66c-9ac9571648fd&thumb
다슬기 초량마을,경남 사천시,055-831-5192,"['가족여행', '경상권', '관광지', '농촌', '농촌길', '농촌여행코스', '농촌체험', '농촌체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d3ba3d27-7bf8-4194-ac43-3cce5f4e3519&thumb
창녕 우포가시연꽃마을,경남 창녕군,055-532-1165,"['가족과함께', '가족체험', '경상권', '관광지', '농촌전통테마마을', '농촌체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14f00471-a721-435a-8c90-5cd472dbaae2&thumb
