name,region,tel,keyword,photo
김광석 길 (김광석다시그리기길),대구 중구,053-661-3328,"['19_20한국관광100선', '가족여행', '감성사진', '걷기여행', '경상권', '관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5ca63ef0-7de0-407d-a146-210bf156bb5c&thumb
안지랑 곱창골목,대구 남구,010-8852-0378,"['가족여행', '경상권', '곱창골목', '곱창맛집', '관광지', '대구가볼만한곳', '대구맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=addfc857-5833-4d55-b450-766feff0491d&thumb
대구 근대골목(근대로의 여행),대구 중구,053-661-3327,"['19_20한국관광100선', '가족여행', '경상권', '관광지', '근대문화거리', '근대문화예술']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=31193e56-3a6c-45e6-a7a9-4f1a72c1994d&thumb
바운스 트램폴린파크(대구신세계점),대구 동구,053-661-1780,"['관광지', '레포츠체험', '미세먼지_피하는_실내여행', '바운스트램폴린파크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d01a85d3-2063-4ec5-9210-b7f1a1059ab0&thumb
EBS 리틀소시움,대구 북구,1899-7337,"['EBS리틀소시움', '겨울방학가볼만한곳', '경상권', '관광지', '놀이동산&테마파크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=42bc6488-fffc-4bf0-bf83-79d842ebafd9&thumb
대구 평화시장 닭똥집 골목,대구 동구,,"['가족여행', '걷기좋은길', '경상권', '관광지', '대구평화시장닭똥집골목', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=02bed4a9-0dde-43ba-8e5b-e772c261eaea&thumb
대구 오토바이골목,대구 중구,053-627-1337,"['골목여행', '골목투어', '관광지', '남녀노소', '대구가볼만한곳', '대구거리', '대구광역시']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=212e0282-74e0-4665-b1a8-2ed7f7b1f6d3&thumb
대구시민안전테마파크,대구 동구,053-980-7777,"['경상권', '관광지', '대구시민안전테마파크', '미세먼지_피하는_실내여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=429e9391-c220-40a5-ba11-c6cbde70bb10&thumb
서부 오미(味)가미(味)거리,대구 서구,053-567-5888,"['가족과함께', '가족여행', '경상권', '관광지', '맛집여행', '서부시장프랜차이즈특화거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b5d99a63-2677-4930-85bb-0202e70a89e6&thumb
대구 진골목,대구 중구,053-661-2624,"['관광지', '대구가볼만한곳', '산책하기', '산책하기좋은곳', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c64e1194-27a5-49d7-8ea3-cf09f2a53bdd&thumb
대구 중구 골목투어버스 (청라버스),대구 중구,053-255-0531,"['가족과함께', '골목투어', '관광지', '대구근대골목투어', '데이트코스', '버스여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a6d5b438-9262-47f7-b2e7-f9db9a8646f8&thumb
인동촌 아나고골목,대구 서구,053-663-2346,"['경상권', '관광지', '맛집골목', '맛집탐방', '보양식', '부모님과함께', '아나고골목']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=de72693b-0156-4288-905d-7b0ff25ac3a5&thumb
이천동 99계단 벽화마을,대구 남구,053-664-3253,"['SNS감성사진', '감성사진', '관광지', '데이트', '데이트코스', '벽화마을', '사진찍기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b96fc58a-8048-40ab-ac80-d9ab659cfc61&thumb
공룡공원,대구 남구,053-664-2174,"['가족과함께', '가족나들이', '고산골', '공룡공원', '관광지', '산책길', '산책하기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a672b82e-71bd-42f7-b712-183d268e6570&thumb
가창 찐빵 골목,대구 달성군,,"['가창찐빵골목', '경상권', '관광지', '남녀노소', '맛집골목', '먹거리', '미식여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d93d3b56-6575-413a-bf3b-5b2a3b4176ae&thumb
들안길먹거리타운,대구 수성구,053-627-1337,"['겨울음식', '관광지', '대구가볼만한곳', '맛집골목', '맛집탐방', '먹자골목', '수제음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4768c6f1-f66f-4133-8795-c3b8fb4f5314&thumb
봉산문화거리,대구 중구,053-425-6845,"['관광지', '남녀노소', '문화거리', '문화예술', '문화예술공간', '문화예술활동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=369a3660-3efa-4ee6-b0b3-861dc1e6ff2b&thumb
반고개 무침회 골목,대구 서구,053-663-2752,"['골목식당', '관광지', '맛집탐방', '먹자골목', '먹자골목', '먹자골목', '숨은맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=700536b3-a63f-45b7-a7bb-cfaf4e246413&thumb
수성구 관광정보체험센터,대구 수성구,053-666-4881,"['관광지', '교육여행', '교육프로그램', '남녀노소', '아이와함께', '이색체험', '체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd515b01-cd1b-49a2-8a02-c5965ecc0d9e&thumb
