name,region,tel,keyword,photo
[백년가게]쉐라미,부산 사하구,051-208-0033,"['동팥빵', '맛집', '백년가게', '부산광역시', '사하구', '음식', '카페']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=51a59ff1-30ba-4624-8a30-4b3b3d67b143&thumb
[백년가게]동래할매파전,부산 동래구,051-552-0792,"['맛집', '백년가게', '음식', '음식점']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d17b057-4916-4f1a-89c6-d2d88b4e3f20&thumb
[백년가게]옥미아구찜,부산 수영구,051-754-3789,"['맛집', '백년가게', '부산광역시', '수영구', '아구찜', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=874b248e-31b0-4e8b-be50-93b22a8c9777&thumb
속시원한 대구탕,부산 해운대구,051-747-1666,"['맛집', '부산맛집', '속시원한대구탕', '연중무휴', '음식', '한식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59e9bdd5-b666-4534-8939-80ca17564482&thumb
동래별장,부산 동래구,051-552-0157,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=88744c95-1b82-41fe-959f-2daa55ad6dec&thumb
태종대짬뽕,부산 영도구,051-405-2992,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ca862f8c-f380-4ea0-ab4f-4d99ee568083&thumb
[백년가게]88완당집,부산 해운대구,051-543-9091,"['백년가게', '음식', '해운대맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=278fd643-fc4e-4472-ae9f-49dce0b31f7e&thumb
[백년가게]개미집(본점),부산 중구,051-246-3186,"['백년가게', '부산맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=055b2d4a-4ae8-4845-8adc-b07efff50696&thumb
원조짚불곰장어 기장외가집,부산 기장군,051-721-7098,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=836a924e-08ee-4619-a3a3-30691868c587&thumb
감천 아지매 밥집,부산 사하구,070-8818-4405,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bfa7d977-10c9-49b2-ab1b-fba37219dd5a&thumb
산성집,부산 금정구,051-517-5546,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8f402a9b-116a-4d7c-a6b2-9ef82a7e49ef&thumb
가야할매밀면전문점,부산 연제구,051-865-8017,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=03f90741-8f20-4ec9-9112-8e23296c2f5c&thumb
무심정,부산 금정구,051-517-3352,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=28bd0eca-2e50-4dfc-a47f-faac8626eda7&thumb
기장혼국보미역,부산 기장군,051-723-2332,"['기장군', '맛집', '미역국', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4dc230d3-8a91-4f1b-91c9-3b9cde6dbf15&thumb
아미산,부산 해운대구,051-747-0131,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d0af9705-ee28-42be-8744-96283166d11a&thumb
간판없는횟집,부산 수영구,051-757-0038,"['간판없는횟집', '경상권', '맛집', '음식', '활어회']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cc7a04d4-23b6-4899-ae38-0dc9a9537f38&thumb
신센,부산 수영구,051-627-9191,"['맛집', '부산광역시', '수영구', '음식', '일본전통돈까스', '일식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=804980ac-3e3c-4dbc-a0ba-b11ddf46b820&thumb
카파도키아,부산 금정구,051-515-5981,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2769a2c4-57f1-494f-a1e1-bb52dd30c7f4&thumb
부산명물횟집,부산 중구,051-245-4995,"['맛집', '부산중구', '음식', '횟집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=408a04a0-0754-4c03-b0dd-6030eef72783&thumb
아델라7,부산 해운대구,0503-5339-0422,"['경상권', '맛집', '부산카페', '아델라7', '연중무휴', '음식', '커피', '케이크', '쿠키']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5b8c76d0-4853-46af-a282-80226ffde959&thumb
비비비당,부산 해운대구,051-746-0705,"['맛집', '부산맛집', '비비비당', '음식', '호박빙수', '황차']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=49e91f44-8c42-4997-80b0-2d8ef95676d4&thumb
58년전통해운대원조할매국밥,부산 해운대구,051-746-0387,"['24시간', '국밥', '연중무휴', '음식', '해운대맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b9617a62-3857-459a-91d1-7233c915fd17&thumb
료우시,부산 남구,051-611-7742,"['경상권', '료우시', '맛집', '부산맛집', '음식', '초밥']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=53daabdd-0ddf-4e1c-bbd6-c274edd6d0e0&thumb
선창횟집,부산 해운대구,051-747-7470,"['맛집', '생선회', '음식', '해운대맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74f9764e-1ca0-48f5-be9b-a54740bad192&thumb
해운사계,부산 해운대구,051-731-0041,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5279f649-8238-4230-a520-a11fb4caf7aa&thumb
송정3대국밥,부산 부산진구,051-806-5722,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d39e0543-2eb5-4187-8a29-b90988cd568d&thumb
남성관,부산 부산진구,051-897-3007,"['맛집', '부산진구', '수타면', '음식', '중화요리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8ce4e50e-340b-4180-a088-a2478ff27cb9&thumb
도림,부산 부산진구,051-810-6340,"['경상권', '도림', '맛집', '부산맛집', '연중무휴', '음식', '중식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd15660f-2042-49ae-b1b2-94c4f13b9eab&thumb
대관원,부산 동래구,051-554-0334,"['경상권', '대관원', '맛집', '음식', '중화요리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3700cc67-dcc7-49d5-8ec2-8d2760eed00b&thumb
김유순대구뽈찜,부산 남구,051-627-4319,"['남구', '대구뽈찜', '맛집', '부산광역시', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a0292220-de10-4148-bb3b-63c5c6ca84d0&thumb
곰보식당,부산 사상구,051-304-7733,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d6c1f8d-215e-4a23-aa30-7b7b0d16d93c&thumb
구덕민속촌,부산 사상구,051-311-0127,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e7eb9f6c-1177-4505-8886-f5ce76880a51&thumb
할매가야밀면,부산 중구,051-246-3314,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=39eb9dab-a4ad-4e22-b8e3-cfcd36270ca2&thumb
오막집,부산 해운대구,051-742-8009,"['대창구이', '식품의약품안전처_음식점위생등급_매우우수(2017년)', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3aab2da-9e51-4589-9264-90fd883363b4&thumb
기장집,부산 금정구,051-517-5705,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=456d6b0b-b6c9-4a63-aa30-a4a550f8d0d1&thumb
고스락,부산 기장군,051-727-0101,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a62f9d27-525d-44f8-a10b-99927cc51e27&thumb
[백년가게]풍년오리박사,부산 금정구,051-508-4642,"['맛집', '백년가게', '오리요리', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=05715f59-8c30-4879-8f72-f04e08787275&thumb
꺼먹동네횟집,부산 기장군,051-727-1427,"['기장군', '맛집', '부산광역시', '아나고회', '음식', '횟집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=da364f62-b583-4826-8df7-0831aa258437&thumb
해운대소문난 암소갈비집,부산 해운대구,051-746-0033,"['갈비', '고기요리', '맛집', '부산광역시', '육류', '음식', '해운대구', '해운대맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=139fe54d-b262-4562-9267-acb0979021df&thumb
원조범일동매떡,부산 부산진구,051-633-0166,"['맛집', '매운떡볶이', '부산광역시', '부산진구', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a31d73d3-dfa2-4972-9a95-edfd3897d304&thumb
무궁화,부산 부산진구,051-810-6330,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2e4b26d1-6258-4fab-9230-98164b9387bd&thumb
송도공원,부산 서구,051-245-2441,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=92a3a0f4-26ec-4372-a57d-d5c7b91b7172&thumb
[백년가게]온천입구기장곰장어,부산 동래구,051-555-6093,"['기장곰장어', '맛집', '백년가게', '부산맛집', '생선요리', '음식', '해물요리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9185c480-8d37-4316-8c55-fa49efefd1d7&thumb
오사카,부산 사하구,051-205-8408,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59102bba-eb22-489e-9334-054a2a2479ad&thumb
[백년가게]창녕집,부산 금정구,051-517-5288,"['백년가게', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e2bc6f8a-6b8d-464d-90cf-74ac1817928d&thumb
옛날오막집,부산 서구,051-243-6973,"['맛집', '부산광역시', '서구', '양구이', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a2fa9250-1b27-4d27-b906-7fe1b89e7525&thumb
부산족발,부산 중구,051-245-5359,"['맛집', '부산맛집', '부산족발', '부평족발골목', '음식', '음식점', '족발', '한식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c42fd674-96b0-45e2-b891-50fe7b5d31a8&thumb
장수촌순대돼지국밥,부산 해운대구,051-746-6885,"['24시간', '돼지국밥', '맛집', '부산광역시', '음식', '해운대구']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9768166e-11b7-49cf-a4cb-4125cab58603&thumb
토비코,부산 금정구,051-515-0188,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c5bc768e-ef44-488b-97ce-03a63d6f4940&thumb
고향집칼국수,부산 남구,051-622-2366,"['남구', '맛집', '부산광역시', '음식', '칼국수']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=074570c3-8496-479d-9388-90eb816fcc29&thumb
목장원,부산 영도구,051-404-5000,"['맛집', '부산광역시', '영도구', '음식', '한우갈비살', '한우등심']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8d1c33b9-a627-4747-91e8-a1ed740c5510&thumb
정림한정식,부산 동래구,051-552-1211,"['동래구', '맛집', '부산광역시', '음식', '한정식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0781cc09-f6e6-4219-ad7f-b477afb97c2a&thumb
볼태기집,부산 부산진구,051-809-3922,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6d38f9b0-9c29-4e69-8d40-e0c0dffa7010&thumb
새아침맛집,부산 해운대구,051-742-4053,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=16a54528-bf38-44b1-b0b4-ff34ad336893&thumb
숟가락젓가락,부산 중구,051-248-0132,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b3ae80cf-87de-4de8-8771-11b7431e0692&thumb
팔미초밥,부산 연제구,051-861-7679,"['롤', '맛집', '음식', '일식당', '초밥']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=26665c58-a90d-48be-9ac2-1d7c6e741e7f&thumb
클라우드32,부산 해운대구,051-749-5320,"['맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=51433439-4599-4287-843a-4d61be17209a&thumb
성일집,부산 중구,051-463-5888,"['곰장어양념구이', '맛집', '부산광역시', '음식', '장어요리', '중구']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d753738-d1bb-4961-b6bb-96aa2eb1aa72&thumb
감내맛집,부산 사하구,051-293-5539,"['맛집', '부산맛집', '비빔밥', '사하구맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c2852a77-28a1-498b-bb7a-ac35e1e53ab3&thumb
회국수할매집,부산 부산진구,051-817-9260,"['맛집', '부산광역시', '부산진구', '음식', '회국수']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8fe451cd-0f25-42d1-9ea1-14a462388053&thumb
갈비곳간,부산 부산진구,051-714-4457,"['부산맛집', '음식']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=77339411-7931-41b5-a2f9-7f4ce0e01507&thumb
