name,region,tel,keyword,photo
대림동 차이나타운,서울 영등포구,02-2670-1419,"['관광지', '맛집골목', '맛집여행', '맛집투어', '먹자골목', '수타짜장면', '유명중국집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7b96df43-d3cb-4660-9531-070789d91efe&thumb
명동,서울 중구,02-778-0333,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1ec32eb6-aac2-4c5a-9e56-9ac1c817afd6&thumb
놀이똥산,서울 종로구,02-2034-0606,"['가족과함께', '관광지', '남녀노소', '미세먼지_피하는_실내여행', '사진찍기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b1743e7c-fd13-46a8-92e7-3a3b3e0b84c0&thumb
레일크루즈 해랑열차,서울 용산구,1544-7755,"['관광지', '기차여행', '부모님과함께', '전국여행', '체험', '추억여행', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0fdc8d27-4fd0-466a-97ba-c5ed219d5118&thumb
인사동,서울 종로구,02-734-0222,"['관광지', '도심여행', '수도권', '시티투어', '인사동', '주말추천여행지', '체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c7a4f3f3-6db9-40a9-9bad-53a4ab0cf13e&thumb
평화열차 DMZ 트레인,서울 용산구,1544-7788,"['DMZ여행', '가족여행', '가족체험여행', '관광지', '교육여행', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cf112a92-d763-47a6-b2a9-1bd7d2de9f9c&thumb
서래마을,서울 서초구,,"['관광지', '남녀노소', '도심여행', '문화', '산책하기', '산책하기좋은곳', '서래마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=84f5e5cc-cf7a-4913-9666-3cb94c14b5ff&thumb
남산골한옥마을,서울 중구,02-2261-0500,"['가족여행', '관광지', '남녀노소', '남산골한옥마을', '도심여행', '수도권', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac6e8cd1-ee21-4630-aade-e98e9a74472f&thumb
서해금빛열차,서울 용산구,1544-7788,"['관광지', '기차여행', '꽃여행', '서해금빛열차', '이색열차', '이색체험', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ca8c2749-f3b3-4328-adcd-a439aa628154&thumb
부암동,서울 종로구,02-2148-1807,"['걷기여행', '관광지', '데이트코스', '도심여행', '부암동', '브런치카페', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f55c2952-b090-462c-abf2-5baa829c51ac&thumb
챔피언1250,서울 용산구,02-2012-1401,"['관광지', '놀이공간', '미세먼지_피하는_실내여행', '복합레저스포츠', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=924e4245-e627-4794-bbb7-4e06c24c9d64&thumb
서울 동대문 닭한마리 골목,서울 종로구,02-120,"['관광지', '동대문닭한마리골목', '동대문닭한마리골목', '수도권', '숨은맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=370eb293-bd0f-4f97-8524-b0e116504b79&thumb
서촌마을,서울 종로구,02-2148-1114,"['걷기길', '관광지', '데이트장소추천', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc6a114a-7355-4a32-869d-0130ae98b2b4&thumb
덕수궁 돌담길,서울 중구,02-120,"['걷기길', '걷기여행', '걷기좋은곳', '고궁', '관광지', '덕수궁돌담길', '데이트장소추천']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0545a6d6-4c06-49ee-9896-cdd40ab4e8be&thumb
신사동 가로수길,서울 강남구,02-3445-0111,"['가로수길', '관광지', '사진촬영', '산책길', '산책하기', '산책하기좋은곳', '서울여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fff6237d-15c6-4859-9c00-ac17d49bb5b4&thumb
남대문 갈치조림골목,서울 중구,02-752-1913,"['갈치', '갈치구이', '갈치조림', '갈치조림골목', '골목시장', '관광지', '남대문']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac74ca87-fc0c-47fd-8be8-fd20be5cfb8b&thumb
영등포 신길동 홍어거리,서울 영등포구,02-323-2240,"['관광지', '남녀노소', '맛집거리', '서울맛집', '숨은맛집', '영등포가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=faaca4d1-0a2a-45ad-ae2d-e80af5ee890c&thumb
연남동 공방거리,서울 마포구,02-3153-8353,"['골목문화공간', '공방거리', '공예', '관광지', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=719e48de-520d-4a04-af58-17c3942f863e&thumb
다이나믹 메이즈 (서울 인사동점),서울 종로구,1544-8506,"['관광지', '다이나믹메이즈', '도심여행', '레포츠체험', '복합문화공간', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=da345959-cff7-4f10-ad36-2d164b0de6f2&thumb
신촌 플레이버스,서울 서대문구,02-330-1809,"['관광지', '도심여행', '문화콘텐츠산업', '문화행사', '수도권', '신촌플레이버스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=77fb5fd9-49f0-43e3-bd87-a819cf50f5d2&thumb
쌈지길,서울 종로구,02-736-0088,"['관광지', '남녀노소', '데이트장소추천', '복합문화공간', '쇼핑거리', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3738103d-9373-4717-b809-30ae28a17009&thumb
자양동 양꼬치거리 (중국음식문화거리),서울 광진구,02-450-1513,"['관광지', '꼬치구이', '양고기', '양꼬치', '음식문화', '음식문화', '음식문화거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9b0ccdaa-440a-4637-942d-b79aac7ba09c&thumb
서울풍물시장 전통문화체험관,서울 동대문구,02-2232-3368,"['관광지', '도심여행', '서울풍물시장', '서울풍물시장전통문화체험관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa78ff02-c2bc-4fc4-b405-ad3a06f5a73b&thumb
대학로,서울 종로구,02-2148-1853,"['가족여행', '관광지', '나홀로여행', '당일치기여행', '대학로', '데이트코스', '도심여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5e0e6223-ddba-4af9-8e19-fc4c193b01fc&thumb
신당동 떡볶이 골목,서울 중구,02-2236-9135,"['골목분식', '골목시장', '관광지', '떡볶이맛집', '맛집', '맛집탐방', '숨은맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bb43ffd7-401c-4bd1-9320-822d6ae7dced&thumb
삼청동길,서울 종로구,02-120,"['관광지', '데이트장소추천', '도심여행', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9b2ca956-e1fa-4c90-a3ab-8dca6139f9b2&thumb
서울 삼각지 대구탕 골목,서울 용산구,,"['가족과함께', '관광지', '남녀노소', '대구탕', '먹방여행', '먹방투어', '먹자골목']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e5674cb2-517a-484d-8065-7bc311448af4&thumb
피노파밀리아,서울 노원구,02-938-0911,"['관광지', '도심여행', '문화공간', '복합문화공간', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2866d35e-00b5-4c7a-8425-52a555e48722&thumb
