name,region,tel,keyword,photo
보리나라 학원농장,전북 고창군,063-564-9897,"['가족여행', '관광지', '기차여행', '나들이', '데이트코스', '무료입장', '보리나라학원농장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2e990289-6947-4b73-8017-d50fd07ae7b4&thumb
창포마을,전북 완주군,063-261-7373,"['가족과함께', '관광지', '농촌', '농촌마을', '농촌여행', '농촌체험', '농촌체험마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b51f62ef-8b94-4d03-9491-1a1019947d87&thumb
곰소염전,전북 부안군,063-581-5114,"['경치좋은곳', '곰소염전', '관광지', '교육여행', '바다내음', '부안군', '부안당일코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8b3fb225-5a82-486e-9e7d-ddb8620dfaf7&thumb
춘향테마파크,전북 남원시,063-620-5799,"['가족과함께', '관광지', '남녀노소', '남원가볼만한곳', '드라마세트장', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a05af5ac-4fae-408b-829f-4cd1ed46d829&thumb
만돌갯벌체험학습장,전북 고창군,063-561-0705,"['갯벌체험', '관광지', '만돌갯벌체험학습장', '아이와함께', '어촌', '어촌마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd6e0d94-0b32-4479-8ecb-2368fd9a1b18&thumb
전주목판서화체험관,전북 전주시,063-231-5694,"['가족과함께', '가족여행', '가족체험', '관광지', '목판', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5845f4f-70c8-48ba-ada1-4d74e0dd6e97&thumb
구담마을,전북 임실군,063-644-9051,"['가족체험', '관광지', '농촌', '농촌체험', '농촌체험학습', '아이와함께', '자연마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=88c08460-a350-48ce-bc84-4cfd89f3e0b6&thumb
무주 호롱불마을,전북 무주군,063-322-8001,"['가족여행', '관광지', '농촌체험휴양마을', '무주호롱불마을', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=496a5bb4-7600-45e8-bd4c-bc49266c685b&thumb
청소년 문화의거리,전북 전주시,063-241-6949,"['가족여행', '관광지', '전라권', '청소년문화의거리', '체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f044bacb-5c0f-4d22-bf50-8fe786838596&thumb
성당포구마을,전북 익산시,063-862-3918,"['가족과함께', '가족여행', '가족체험', '관광지', '금강생태탐방', '농촌전통테마마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=587055b4-917d-43fc-a407-a871df9e926c&thumb
전주전통한지원,전북 전주시,010-8959-7757,"['가족과함께', '공예', '공예체험', '공예체험', '관광지', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=df4586c7-8a35-407d-9de5-d7cac662f630&thumb
전주한옥마을 임실치즈체험장,전북 전주시,063-288-4849,"['가족과함께', '가족체험', '관광지', '아이가_좋아하는_여행', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a0baf9a6-9ef7-4481-b05b-e819b83d7ae3&thumb
순창고추장익는마을,전북 순창군,063-653-7117,"['가족여행', '관광지', '녹색농촌체험마을', '농촌', '농촌마을', '농촌여행', '농촌체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=12f892a6-e0c9-4ffa-8de2-7f86f2b8674d&thumb
순창장류체험관,전북 순창군,063-653-9916,"['가족여행', '관광지', '기념품판매', '사계절', '순창장류체험관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46861fad-8bbb-456e-ad8a-93f3119bc5fe&thumb
