name,region,tel,keyword,photo
서귀포 가시리마을 (녹산로 유채꽃도로),제주 서귀포시,064-787-1305,"['가족과함께', '감성사진', '경치좋은곳', '관광지', '드라이브여행', '드라이브코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c30a3e3d-ec2e-4710-9588-77ef23d292d5&thumb
제주허브동산,제주 서귀포시,064-787-7362,"['가족여행', '관광지', '생태관광지', '연중무휴', '자연좋은곳', '제주권', '제주허브동산']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7bb6940b-758a-4839-a15f-ca9a2a44ee8d&thumb
조랑말체험공원,제주 서귀포시,064-787-0960,"['가족과함께', '가족여행', '가족체험여행', '관광지', '사계절', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b1bbe16e-9d52-412c-9f3b-c67ed69aa1b9&thumb
어멍아방잔치마을,제주 서귀포시,064-782-7445,"['관광지', '어멍아방잔치마을', '이색체험', '자연마을', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c36c590-1af3-4cd0-9306-099e6968ef87&thumb
제주 동백마을,제주 서귀포시,064-764-8756,"['가족체험여행', '관광지', '꽃여행', '동백마을', '자연마을', '자연좋은곳', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8e0cd383-eba3-4dcf-b6f8-39ace4d85c98&thumb
제주선인장마을,제주 제주시,064-796-6128,"['경치좋은곳', '관광지', '바다경치', '사진찍기좋은곳', '선인장', '손바닥선인장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd60cb81-967d-40ec-9558-b2668c9e95bc&thumb
이상한 나라의 앨리스,제주 서귀포시,064-794-4700,"['가족과함께', '가족여행', '관광지', '남녀노소', '아이와함께', '이상한나라의앨리스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9ab9fe4-bd77-4dce-affe-e828b38cb1f6&thumb
다이나믹 메이즈 (제주 성읍점),제주 서귀포시,064-787-8774,"['관광지', '다이나믹메이즈', '데이트코스', '레포츠체험', '실내관광지', '실내놀이터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f62ed3d3-1214-4366-89f0-6a0195e5a22c&thumb
제주 초콜릿랜드,제주 서귀포시,064-738-1197,"['가족여행', '가족체험여행', '관광지', '사계절', '아이가_좋아하는_여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=31aa1b47-ded4-4bd1-8e68-2b8e3d33ce79&thumb
번개과학체험관,제주 서귀포시,064-733-3500,"['가족과함께', '과학관', '과학놀이터', '과학체험', '관광지', '교육장', '교육체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=770724cf-7df8-4709-8e19-a6b8181d0ac6&thumb
