name,region,tel,keyword,photo
알프스마을,충남 청양군,041-942-0797,"['가족체험', '가족체험학습', '관광지', '농촌', '농촌마을', '농촌여행', '농촌체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=879738e6-9ffc-4ae7-a20f-7bfb5fffb234&thumb
보령 천북굴단지,충남 보령시,041-930-0980,"['가족여행', '관광지', '굴구이', '굴무침', '보령가볼만한곳', '보령천북굴단지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1c0ae1a-4f42-43d6-b8c1-53224a8089b1&thumb
아그로랜드 태신목장,충남 예산군,041-356-3154,"['가족체험', '관광지', '낙농체험', '아그로랜드태신목장', '아이가_좋아하는_여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=65d9ca46-3d2d-45a0-a75b-37b3364c0c92&thumb
팜카밀레,충남 태안군,041-675-3636,"['관광지', '남녀노소', '반려견동반여행지', '사진찍기좋은곳', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ebd72efe-831a-4a20-bfa3-46fdd145eb62&thumb
충청남도 안전체험관,충남 천안시,041-559-9700,"['관광지', '교육여행', '교육프로그램', '아이와함께', '안전교육', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2bfdb6f7-3372-419d-bc3b-44ce73f341b6&thumb
광천토굴새우젓단지,충남 홍성군,070-4130-0064,"['관광지', '광천토굴새우젓시장', '남녀노소', '새우젓', '숨은맛집', '이색거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a9525049-11ed-4098-b5f7-d2447c027887&thumb
아산 기쁨두배마을,충남 아산시,041-532-6754,"['관광지', '농촌마을', '농촌여행', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=17b35b02-6dcc-49d2-adf7-87e0def6a64f&thumb
광시 한우거리,충남 예산군,041-339-8930,"['관광지', '광시한우거리', '맛집골목', '맛집여행', '숨은맛집', '이색거리', '전국맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1fb09d46-1936-4b67-92ea-2c88b818cd32&thumb
청양 은골구기자마을,충남 청양군,041-943-0670,"['가족과함께', '가족여행', '가족체험', '관광지', '농촌', '농촌마을', '농촌체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c59676e9-2805-4fac-9377-40a15d8feabe&thumb
선도리갯벌체험마을,충남 서천군,041-952-5212,"['가족여행', '갯벌체험', '관광지', '생태체험학습장', '선도리갯벌체험마을', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e93accc3-56ee-4796-a264-255e81571aa1&thumb
