name,region,tel,keyword,photo
경주 동궁과 월지,경북 경주시,054-750-8655,"['경상권', '경주동궁과월지', '관광지', '데이트코스', '야간관광100선', '야경투어']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=25ccbe01-89e9-404a-a79d-1acc13aec5ab&thumb
오어사(포항),경북 포항시,054-292-2083,"['경상권', '관광지', '불교', '불교문화', '불교사찰', '사찰', '사찰여행', '역사', '오어사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e7f29e50-0f69-4b81-b05d-75f7498247bc&thumb
경주 불국사 [유네스코 세계문화유산],경북 경주시,054-746-9913,"['19_20한국관광100선', '가족여행', '경주불국사', '관광지', '교과서속여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cf4a70fb-fb8a-4fc0-b0f9-5d70658bf3ae&thumb
경주 대릉원 일원,경북 경주시,054-750-8650,"['19_20한국관광100선', '가족여행', '경북', '경상권', '경주대릉원일대', '경주대릉원일원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f6c20aaf-9ef4-4651-9188-f30da04a43a4&thumb
경주 첨성대,경북 경주시,054-772-3843,"['가족여행', '관광지', '교과서속여행', '아이와함께', '야간관광100선', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=184ccb6b-a821-4828-a9d4-ab408d2fa3ac&thumb
안동 하회마을 [유네스코 세계문화유산],경북 안동시,054-852-3588,"['19_20한국관광100선', '2011', '가족여행', '걷기길', '경상권', '관광지', '교과서속여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=61a042b2-7731-4459-9748-a32e954961d6&thumb
가실성당,경북 칠곡군,054-976-1102,"['가실성당', '경상권', '관광지', '성지순례', '역사', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5d8095fd-05aa-42b0-9958-70b6ecf59c56&thumb
경주 교촌마을,경북 경주시,054-760-7880,"['가족여행', '경상권', '경주교촌마을', '관광지', '민속마을', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=de7b165f-dc2e-4e9e-a6dd-3aa1dbf75046&thumb
경주 양동마을 [유네스코 세계문화유산],경북 경주시,054-762-2630,"['가족여행', '경상권', '경주양동마을', '관광지', '국가민속문화재', '역사', '유네스코세계문화유산']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fd0712a6-372b-461b-9a67-aafc6ef02c22&thumb
낙동강 경천대(경천대 전망대),경북 상주시,054-536-7040,"['가족여행', '관광지', '교과서속여행', '낙동강경천대', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fbb54c2a-5017-4397-8b9b-e7cfbe119b2b&thumb
경주 석굴암 [유네스코 세계문화유산],경북 경주시,054-746-9933,"['19_20한국관광100선', '가족여행', '경주석굴암', '관광지', '교과서속여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2b9729d2-427d-4b9a-a6e3-02d91f52c242&thumb
농암종택,경북 안동시,054-843-1202,"['가족여행', '경북', '관광지', '농암종택', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fda10714-5ccc-4720-9966-b1eb65a59be5&thumb
영주 무섬마을,경북 영주시,054-638-1127,"['가족과함께', '가족여행', '걷기길', '경상권', '관광지', '민속마을', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=08dfa599-c288-4daa-82d8-e443dc3c8697&thumb
천마총(대릉원),경북 경주시,054-750-8650,"['가족여행', '관광지', '교과서속여행', '대릉원', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8cbf1d74-cfcc-409e-89af-718d9c6cf5ce&thumb
경주 문무대왕릉,경북 경주시,054-779-6100,"['관광지', '역사', '역사관광지', '역사문화재', '역사속', '역사속으로', '역사여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ffe3e057-ef6c-4829-b0db-074e0e7350dc&thumb
