name,region,tel,keyword,photo
양림역사문화마을,광주 남구,062-676-4486,"['19_20한국관광100선', '가족과함께', '관광지', '근대건축물', '근대문화거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0eae9c7c-4f05-4a2e-9422-fb9ad9b73d54&thumb
월봉서원,광주 광산구,062-960-8252,"['가족여행', '관광지', '광주광역시기념물', '광주광역시유형문화제', '야간관광100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=587dcaec-31e6-4d4b-9551-9c28edd1a553&thumb
증심사(광주),광주 동구,062-226-0107,"['가족여행', '관광지', '교과서속여행', '불교', '불교문화', '사찰&산사', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=01f31984-e9cf-42fc-b3c2-1ef48e5f41a9&thumb
우일선 선교사 사택,광주 남구,062-607-2333,"['가족여행', '관광지', '광주광역시기념물', '역사', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc33a667-658c-47a6-9b58-dada5a6faad2&thumb
5.18 민주광장,광주 동구,062-613-2082,"['관광지', '민주공원', '민주화', '민주화', '아이와함께', '역사', '역사관광', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1ac63b9b-2176-4caa-bbab-33d6d6748d73&thumb
오웬기념각,광주 남구,062-650-7647,"['가족여행', '관광지', '광주광역시유형문화재', '근대건축물', '근대문화거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=11f7f585-2f58-41ae-a549-86fa67e25588&thumb
국립 5.18 민주묘지,광주 북구,062-268-0518,"['가족여행', '관광지', '교과서속여행', '국립5.18민주묘지', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d4534f44-bbf3-4ce4-af69-551020f4dff9&thumb
환벽당,광주 북구,062-410-6622,"['가족여행', '관광지', '광주', '역사', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fcb89212-65a3-442c-837e-e83ec52599f5&thumb
만귀정,광주 서구,062-360-7251,"['가족여행', '관광지', '만귀정', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=61811b25-2c60-4fa1-94c4-d24fa0bc385f&thumb
광주 서구 8경,광주 서구,062-365-4114,"['경치좋은곳', '관광지', '광주가볼만한곳', '광주여행', '광주여행코스', '문화유산여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5c8f56d2-7c55-467b-945e-76f64e722291&thumb
양림동 선교사 묘지,광주 남구,062-607-2333,"['관광지', '기독교', '선교사', '선교사묘역', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=00bd22c4-6414-4310-8a98-15050a9f00df&thumb
운천사마애여래좌상,광주 서구,062-375-0053,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0af7cb86-f037-4319-b032-00efb466e391&thumb
최승효가옥,광주 남구,062-607-2332,"['관광지', '역사', '역사공부', '역사관광', '역사관광지', '역사를품은곳', '역사문화관광']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=34bb1b60-03ce-4fce-8863-cb3c7a509c32&thumb
이장우가옥,광주 남구,062-607-2333,"['관광지', '광주광역시민속자료', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f031aadf-b63b-486a-824d-bfe4f16d987f&thumb
무양서원,광주 광산구,062-960-8252,"['관광지', '교과서속여행', '무양서원', '문화재', '서원', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1368409c-89c4-483b-b83d-e5b2e3bcf028&thumb
