name,region,tel,keyword,photo
국채보상운동기념공원,대구 중구,053-745-6753,"['가족여행', '걷기길', '경상권', '관광지', '교과서속여행', '국채보상운동기념공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=899393ff-7896-470a-bea6-211a3f97f868&thumb
용연사(대구),대구 달성군,053-616-8846,"['관광지', '기차여행', '불교', '불교문화', '사찰', '사찰여행', '산사', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=66a25e93-f552-4abc-ab8f-ca770e3c5fc6&thumb
도동서원 [유네스코 세계문화유산],대구 달성군,053-668-3162,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a45b667f-8b66-463d-acaf-9a91ea490862&thumb
북지장사(대구),대구 동구,053-985-5217,"['경상권', '관광지', '북지장사', '불교문화', '사찰', '사찰여행', '역사', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f4629734-812a-4988-85b7-3bca033f8a60&thumb
부인사(대구),대구 동구,053-982-5006,"['가족여행', '경상권', '관광지', '부인사(대구)', '불교', '불교문화', '사찰', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=da6e6d59-d61b-4e85-8b99-d2ca096b71db&thumb
동화사(대구),대구 동구,053-980-7900,"['가족여행', '관광지', '교과서속여행', '동화사', '사찰&산사', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a1255055-bd4d-4ef2-a951-26972998d2c9&thumb
대구 옻골마을,대구 동구,053-627-8906,"['가족여행', '걷기길', '경상권', '관광지', '농촌체험', '대구옻골마을', '역사', '자연마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=503cdaeb-3e05-4284-a13b-faba1927ae8a&thumb
서봉사,대구 남구,053-472-4814,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e41872e1-1c67-4f0c-bd5b-15aa16929973&thumb
대견사,대구 달성군,053-746-0020,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d06da3ad-9645-46d7-bfc7-13e789b1a122&thumb
육신사,대구 달성군,053-668-3162,"['경상권', '관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7f1d62d7-63ba-43db-8200-3c4ed455cdb4&thumb
대구 불로동 고분군,대구 동구,053-662-4103,"['가족여행', '경상권', '관광지', '대구불로동고분군', '사적', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bc14e26e-ad3b-4892-ad35-d770cbe09177&thumb
대구 계산동성당,대구 중구,053-254-2300,"['경상권', '관광지', '교과서속여행', '근대문화유산', '대구계산동성당', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a06b3fea-6108-46b4-93ec-cb8668461639&thumb
안일사(대구),대구 남구,053-655-0225,"['경상권', '관광지', '불교', '불교문화', '사찰', '사찰여행', '안일사', '역사', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2ab7cce4-792e-4da9-9b7a-694fdd57615d&thumb
이상화 고택,대구 중구,053-256-3762,"['고택', '관광지', '문학', '시문학', '시인', '아이와함께', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9b909039-77d3-438d-aa6d-60f617cdcad1&thumb
성화사,대구 달서구,053-625-9030,"['경상권', '관광지', '불교', '불교문화', '사찰여행', '성화사', '역사', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d8d7990d-c461-46f3-bb67-eea6cc97c8f6&thumb
신숭겸장군유적,대구 동구,053-981-6407,"['경상권', '관광지', '사계절', '신숭겸장군유적', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c2a1459d-8390-452d-8043-47c7644373e2&thumb
선교사스윗즈주택,대구 중구,053-661-2193,"['가족여행', '경상권', '관광지', '대구광역시유형문화재', '선교사스윗즈주택']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=490df03a-6d48-4ba5-ae2f-036ce140e27c&thumb
녹동서원,대구 달성군,053-668-3162,"['가족여행', '경상권', '관광지', '녹동서원', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4e5a3b25-005d-45fd-84fe-1cb36f1d15b3&thumb
금용사(대구),대구 달서구,053-628-5404,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e8748dfa-a6ff-4041-b199-654e18f80259&thumb
달성하목정,대구 달성군,053-668-3162,"['경상권', '경상북도유형문화재', '관광지', '달성하목정', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9599f6a3-7235-46e0-a591-5be13275d9b3&thumb
대구향교,대구 중구,053-422-8700,"['관광지', '대구향교', '아이와함께', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48476d1d-d945-4448-b71b-36d16cc75738&thumb
관음사(대구),대구 동구,053-984-9940,"['경상권', '관광지', '관음사', '불교', '불교문화', '사찰', '사찰여행', '역사', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5b0451db-0349-4073-b580-8071f3326133&thumb
낙빈서원,대구 달성군,053-668-3162,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d6ca98e3-571c-443e-a638-214af6858d23&thumb
서상돈 고택,대구 중구,053-256-3762,"['경상권', '관광지', '서상돈고택', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4dce5789-67b1-4da1-86c2-a609abfbab5b&thumb
모명재,대구 수성구,053-666-4927,"['경상권', '관광지', '모명재', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b8e94bd1-a12b-494c-97f4-af2b03e65876&thumb
파계사,대구 동구,053-984-4550,"['가족여행', '관광지', '불교', '불교문화', '불교사찰', '사찰', '사찰&산사', '사찰여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9abe7ff0-72c4-471d-af8c-8b589bce194e&thumb
읍내동 마애불상,대구 북구,053-665-4326,"['경상권', '관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ae45f05-c284-4900-a921-0b3ef35c709f&thumb
남평문씨본리세거지,대구 달성군,053-668-3162,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5476afa0-88e7-4e79-9e28-9ce540d4d014&thumb
영남제일관,대구 수성구,053-666-4927,"['가족여행', '경상권', '고궁', '관광지', '교과서속여행', '사계절', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a4401d78-72ff-47d8-b2dd-7f7ee32c292d&thumb
달성 삼가헌 고택,대구 달성군,053-668-3162,"['가족여행', '경상권', '관광지', '달성삼가헌고택', '문화재', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=be0f0fd4-2475-4362-8a88-9748a3972924&thumb
용문사(대구),대구 달성군,053-631-9390,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=null&thumb
운흥사(대구),대구 달성군,053-768-3882,"['경상권', '관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '연중무휴', '운흥사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e4e1b68e-baaf-4a5a-95ad-73ac67f513f5&thumb
홍의장군 곽망우당 묘소,대구 달성군,053-668-3162,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c4f5cfd-8d07-4061-bc99-def96ace3ebc&thumb
