name,region,tel,keyword,photo
경복궁,서울 종로구,02-3700-3900,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '가족여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37631288-6624-4b59-ac1d-c6080c903345&thumb
서울 경교장,서울 종로구,02-735-2038,"['건축물', '건축사', '건축여행', '관광지', '교과서속여행', '근대건축', '근대건축물']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=60156676-81a8-4c0c-8ece-f16156be3dae&thumb
북촌한옥마을,서울 종로구,02-2148-4161,"['가족여행', '관광지', '나홀로여행', '당일치기여행', '데이트코스', '도심여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=faa8c18d-8fcb-4771-bffc-c5173b45c5ce&thumb
삼성산성지,서울 관악구,02-875-2271,"['관광지', '산책길', '산책하기', '산책하기좋은곳', '역사', '역사공부', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0ace0861-3953-46e9-a26b-1448e757d3c5&thumb
덕수궁,서울 중구,02-771-9951,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '가족여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e5add16c-1c2b-4d66-906e-9db36d3fad36&thumb
창덕궁과 후원 [유네스코 세계문화유산],서울 종로구,02-3668-2300,"['19_20한국관광100선', '관광지', '데이트코스', '수도권', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8f3bc2c8-a6d4-40f6-992e-82cc10edef62&thumb
청와대사랑채,서울 종로구,02-723-0300,"['가족여행', '교과서속여행', '기념관', '도심여행', '문화시설', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f54e0f20-49e3-4fb8-88e6-cc372ca3c15a&thumb
서울 몽촌토성,서울 송파구,02-2147-2814,"['관광지', '교과서속여행', '몽촌토성', '박물관', '수도권', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d25f4d47-17f3-4b5e-8744-e82b15976283&thumb
창경궁,서울 종로구,02-762-4868,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '가족여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f8e84f56-b94c-4d8e-a528-f5b1864963d9&thumb
양천향교,서울 강서구,02-2659-0076,"['관광지', '언택트관광지_100선', '역사', '역사공부', '역사관광', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a2785457-028f-47fb-904f-b6248d9129a5&thumb
종묘 [유네스코 세계문화유산],서울 종로구,02-765-0195,"['가족여행', '관광지', '교과서속여행', '당일치기여행', '서울근교여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9722146d-f45c-4619-ad58-eaf53dbd61b8&thumb
경희궁,서울 종로구,02-724-0274,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '가족여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1e43cf40-a4b0-42de-a5aa-d2c08771f66b&thumb
광화문,서울 종로구,02-3700-3900,"['19_20한국관광100선', '가족여행', '경복궁', '관광지', '광화문', '광화문', '광화문광장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c01c961f-5f2e-49c4-89a0-31171a3c6b22&thumb
"서울 구 벨기에영사관(현, 서울시립미술관 남서울생활미술관)",서울 관악구,02-598-6246,"['관광지', '복합문화공간', '서울구벨기에영사관', '서울시립미술관', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2e86d0f-dc66-48fb-9373-dc5eaafcd22d&thumb
서울 선릉(성종과 정현왕후)과 정릉(중종) [유네스코 세계문화유산],서울 강남구,02-568-1291,"['가족여행', '관광지', '교과서속여행', '서울선릉과정릉', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a0863160-1038-4cda-8fa7-ca0330a61cd2&thumb
국립4.19민주묘지,서울 강북구,02-996-0419,"['가족여행', '관광지', '교과서속여행', '국립4.19민주묘지', '근대문화유산', '당일치기여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e2027114-6347-44f7-9bdb-33e73cedb4fa&thumb
국립서울현충원,서울 동작구,02-813-9625,"['가족여행', '관광지', '교과서속여행', '국립서울현충원', '근대문화유산', '당일치기여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37999cbe-44d3-496c-a261-a04aa9ffeffa&thumb
봉은사(서울),서울 강남구,02-3218-4800,"['가족여행', '관광지', '교과서속여행', '당일치기여행', '봉은사(서울)', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=33bfc8dc-cb96-47dd-845c-56027d48ef93&thumb
금선사(서울),서울 종로구,02-395-9911 02-395-9955,"['관광지', '금선사신중도', '불교', '불교문화', '사찰', '사찰여행', '서울금선사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=23b5dbe7-efb2-49e6-a175-ada1bfded682&thumb
길상사(서울),서울 성북구,02-3672-5945,"['관광지', '길상사(서울)', '불교', '불교문화', '사찰', '사찰여행', '산사', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6ad70abd-de21-42f6-b7b4-5a8ae44cc8cf&thumb
서울 운현궁,서울 종로구,02-766-9090,"['관광지', '수도권', '아이와함께', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0fb711f9-22e8-454e-bd2b-f04be3ea22be&thumb
북촌 8경,서울 종로구,02-2148-4161,"['감성사진', '경치좋은곳', '관광지', '근대한옥', '데이트장소추천', '북촌8경', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8dbcbfa5-4995-4373-95e8-98af0295594e&thumb
숭례문,서울 중구,02-779-8547,"['관광지', '교과서속여행', '수도권', '숭례문', '아이와함께', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4cbf8feb-c1f4-432e-aa09-68220f72e1f1&thumb
대원군별장,서울 종로구,02-2148-1822,"['관광지', '대원군별장', '석파정', '수도권', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=378540d5-ab25-4eda-92fb-50ab287e5d21&thumb
한강방어백골부대전적비,서울 영등포구,1577-0606,"['관광지', '국군', '백골부대', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=36970622-c2b7-40d5-9ad3-5e057d88c5e7&thumb
불국사,서울 강남구,02-445-4543,"['관광지', '불교', '불교문화', '불국사', '사찰', '사찰여행', '수도권', '역사', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=272474c4-9fb5-4b8b-be7f-581b115069d6&thumb
