name,region,tel,keyword,photo
전주한옥마을 [슬로시티],전북 전주시,063-282-1330,"['19_20한국관광100선', '2010', '가족여행', '관광시설 부문', '관광지', '미식여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2ec20025-d663-48eb-8f59-e77092144b69&thumb
광한루원,전북 남원시,063-625-4861,"['가족여행', '관광지', '광한루원', '교과서속여행', '아이와함께', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=97d877ab-1ba4-46cd-9dbd-46a3ec2375dc&thumb
동국사(군산),전북 군산시,063-462-5366,"['가족여행', '관광지', '동국사', '등록문화재', '사찰&산사', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7e185aba-8bc8-4abf-a6f5-14050cb363c3&thumb
선운사(고창),전북 고창군,063-561-1422,"['가족여행', '가족체험여행', '관광지', '불교', '불교문화', '사계절', '사찰', '사찰여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2c57d05-b6f2-4ae1-969c-bc9d513bba67&thumb
고창읍성,전북 고창군,063-560-8067,"['가족여행', '고창읍성', '관광지', '교과서속여행', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f8bdd5ee-943c-4731-ae03-e1eca5a7072a&thumb
경기전,전북 전주시,063-281-2790,"['가족여행', '가족체험여행', '경기전', '관광지', '사계절', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5839426b-45a9-44e9-aa19-840024d9c427&thumb
군산 신흥동 일본식가옥(히로쓰 가옥),전북 군산시,063-454-3921,"['관광지', '등록문화재', '신흥동일본식가옥', '역사', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d68c6db-d83b-4929-a658-396b3d9c84b2&thumb
내소사(부안),전북 부안군,063-583-2443,"['가족여행', '관광지', '교과서속여행', '내소사', '불교문화', '사찰&산사', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cad06fce-7a82-402b-bbf5-d9eb48c9b2e9&thumb
익산 미륵사지 [유네스코 세계유산],전북 익산시,063-859-3873,"['관광지', '교과서속여행', '아이와함께', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d34b9fd3-9abc-425d-9152-6a83b0676683&thumb
이영춘가옥,전북 군산시,063-454-3922,"['가족여행', '관광지', '드라마촬영지', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8606232c-f681-4b28-9f5b-eed9dc685e22&thumb
오목대와 이목대,전북 전주시,063-281-2114,"['가족여행', '가족체험여행', '관광지', '교과서속여행', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ffc36149-7139-4da3-93a8-c31c4fc5eb75&thumb
