name,region,tel,keyword,photo
성읍민속마을,제주 서귀포시,064-710-6797,"['19_20한국관광100선', '가족여행', '가족체험여행', '관광지', '교과서속여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=76ac7d55-b63f-4f97-9a77-65987a2e4bca&thumb
제주민속촌,제주 서귀포시,064-787-4501,"['가족과함께', '교육여행', '문화시설', '사계절', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2f98d10e-edd5-4ff0-9ffd-0f5005e1054e&thumb
천왕사(제주),제주 제주시,064-748-8811,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c231ab78-d16b-4790-8782-7dc1b8d22f72&thumb
관덕정(제주),제주 제주시,064-742-8866,"['가족여행', '관광지', '관덕정(제주)', '교과서속여행', '아이와함께', '역사', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5fadc89-8bb5-4a87-bfb9-b00311757e32&thumb
제주 항파두리 항몽 유적,제주 제주시,064-710-6721,"['관광지', '교과서속여행', '아이와함께', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc7a9776-8e00-4ab3-9e97-caca64c476c1&thumb
제주 삼성혈,제주 제주시,064-722-3315,"['관광지', '아이와함께', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fad79697-7c6e-48c4-a0b8-88ff4791fc0c&thumb
약천사(제주),제주 서귀포시,064-738-5000,"['관광지', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6a56ed00-72f6-487a-b573-39c569215b2b&thumb
불탑사(제주),제주 제주시,064-755-9283,"['관광지', '불교', '불교문화', '불탑사', '사찰', '사찰여행', '역사', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=da7d3ecc-b2eb-40ec-bbe3-a5132764d561&thumb
별방진,제주 제주시,064-740-6000,"['관광지', '역사', '역사공부', '역사관광', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b53c387a-babc-464a-860e-ddb8d610e7f4&thumb
월정사(제주),제주 제주시,064-742-7755,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '연중무휴', '원불교', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79e5e54e-f22c-407b-b85c-59dc94a2ecd7&thumb
알뜨르비행장 및 일본군 비행기 격납고,제주 서귀포시,064-740-6000,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cf467bf3-6537-425c-bc39-11d467818439&thumb
제주목관아,제주 제주시,064-710-6714,"['관광지', '교과서속여행', '아이와함께', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b24b31a0-3fdb-4a11-af60-02809ee54800&thumb
모충사,제주 제주시,064-722-0614,"['가족여행', '관광지', '교과서속여행', '모충사', '불교', '불교문화', '사찰', '산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1a1d6b9f-3490-40fd-8237-2ba985394bd9&thumb
산방굴사(제주),제주 서귀포시,064-794-2940,"['가족여행', '관광지', '교과서속여행', '불교', '불교사찰', '사찰', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d7171090-e5e0-4a36-ad1d-54b6bd7bef7b&thumb
평화통일 불사리탑,제주 제주시,064-740-6000,"['관광지', '불교', '사원', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=80bbe2fe-6f70-4057-860e-84eced39bce6&thumb
서귀포 김정희 유배지,제주 서귀포시,064-710-6803,"['가족여행', '관광지', '서귀포김정희유배지', '아이와함께', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bea0488f-18b6-4b24-9b0e-5789e0563fb1&thumb
금룡사(제주),제주 제주시,064-783-5180,"['관광지', '금룡사', '바다풍경', '불교', '불교문화', '사찰&산사', '역사', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ee39ce34-40b5-4250-8be6-bc66fd02b7c7&thumb
방사탑(제주),제주 제주시,064-740-6000,"['관광지', '방사탑', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9388fd11-7e42-41c3-b7fd-8e22ae32a01e&thumb
관음사(제주),제주 제주시,064-724-6830,"['관광지', '불교', '불교문화', '불교사찰', '사찰', '사찰여행', '역사', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e1211e86-711f-4552-9dc6-898bbe9cb82f&thumb
제주 삼양동 유적,제주 제주시,064-710-6806,"['가족여행', '관광지', '나들이', '데이트코스', '섬여행', '아이와함께', '역사', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=86560e7f-433a-4c95-8b56-745c5132e390&thumb
오현단,제주 제주시,064-728-3918,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fdafd222-a4af-4939-ae04-bc2c4086f096&thumb
제주성지,제주 제주시,064-740-6000,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사속', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=30f81422-c323-4dd1-b6f3-8ca258f9f5a3&thumb
제주 성읍마을 고창환 고택,제주 서귀포시,064-742-8866,"['고택', '관광지', '교과서속여행', '문화재', '성읍마을고창환고택', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5eee420a-b614-4104-8ac3-a1cda5cb5909&thumb
명월대,제주 제주시,064-740-6000,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a6a7593f-9bde-4ec9-995a-6f459dc7911e&thumb
복신미륵,제주 제주시,064-740-6000,"['관광지', '복신미륵', '역사', '역사공부', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7787feca-7443-4abe-8588-d3ead0fcbb0b&thumb
백제사,제주 제주시,064-746-8009,"['가족과함께', '관광지', '백제사', '불교', '불교문화', '사찰', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=403ef5b7-5c47-40f8-a271-87c01b8a4dec&thumb
제주향교,제주 제주시,064-757-0976,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b5626b3e-5731-4821-8d89-612fb23eb696&thumb
법화사,제주 서귀포시,064-738-5225,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=308d212d-3ddb-4cc7-9049-a03dcd8f382f&thumb
연북정,제주 제주시,064-740-6000,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d18f40a8-de6a-4ef4-be63-7b97bca1fe98&thumb
이중섭 거주지,제주 서귀포시,064-740-6000,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bf637736-656c-43ab-a8cc-4b2f668e41c6&thumb
선광사(제주),제주 서귀포시,064-764-3098,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '연중무휴', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=86cc9e61-ad0b-494c-91f0-803926e22af7&thumb
원당사지,제주 제주시,064-740-6000,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d43d35f1-54e6-4b49-98a4-df9a2df794ec&thumb
산천단곰솔,제주 제주시,064-740-6000,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=be131f3a-bedc-45d6-9173-e08e86c8a312&thumb
귤림서원,제주 제주시,064-710-6702,"['관광지', '역사', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=17dc9ae2-20bb-46df-bb9a-74ca141b0663&thumb
