name,region,tel,keyword,photo
관북리유적과 부소산성 [유네스코 세계유산],충남 부여군,041-830-2880,"['15_16한국관광100선', '19_20한국관광100선', '가족여행', '관광지', '관북리유적과부소산성']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9fb4ae79-653f-4e42-a6d1-7e3f78099290&thumb
외암민속마을,충남 아산시,041-541-0848,"['가족여행', '가족체험여행', '관광지', '교과서속여행', '아산외암민속마을', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1a847a49-ca4c-429b-8126-26b77e268c03&thumb
공주 공산성 [유네스코 세계유산],충남 공주시,041-856-7700,"['가족여행', '공주공산성', '관광지', '교과서속여행', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=827c7809-231d-4bd2-affd-9a461776e206&thumb
낙화암,충남 부여군,041-830-2951,"['19_20한국관광100선', '경치좋은곳', '관광지', '낙화암', '부여백제유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=820d2575-fb33-4b04-b497-3475dd3085d9&thumb
부여 가림성,충남 부여군,041-830-2880,"['SNS감성사진', '관광지', '사진찍기', '사진찍기좋은곳', '사진촬영', '사진촬영명소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2822a21-6c27-40ea-bb20-5dfbfe4264c9&thumb
간월암(서산),충남 서산시,041-668-6624,"['간월암', '관광지', '사찰', '역사', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3e6d4fa-4175-4de6-b932-9916c9377e96&thumb
공주 송산리 고분군과 무령왕릉 [유네스코 세계유산],충남 공주시,041-856-3151,"['관광지', '교과서속여행', '송산리고분군과무령왕릉', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=389a2105-a617-4c3a-8084-d54d02ba97aa&thumb
개심사(서산),충남 서산시,041-688-2256,"['가족여행', '개심사', '관광지', '불교', '불교문화', '사찰여행', '역사', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3480eb01-9e12-4973-94fd-bfc84cb0a77e&thumb
안면암(태안),충남 태안군,041-673-2333,"['가족여행', '관광지', '바다', '불교', '불교문화', '사찰', '안면암', '역사', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a609de24-db02-4655-9943-de0886fec1e9&thumb
무량사(부여),충남 부여군,041-836-5066,"['관광지', '부여무량사', '불교', '불교문화', '불교사찰', '사찰', '사찰여행', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b6f7e792-605e-4345-a8c8-155d85ed8634&thumb
아산 공세리성당,충남 아산시,041-533-8181,"['관광지', '나홀로여행', '성당', '아산공세리성당', '역사', '역사이야기', '종교']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f09b280a-069d-48c4-a24f-ba52b8fe685a&thumb
부여 정림사지 오층석탑 [유네스코 세계유산],충남 부여군,041-830-2880,"['가족여행', '가족체험여행', '관광지', '교과서속여행', '부여정림사지', '부여정림사지오층석탑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dfeb9f6f-dcd6-47f6-a129-1cf45216c54b&thumb
마곡사[유네스코 세계문화유산],충남 공주시,041-841-6220,"['관광지', '교과서속여행', '기차여행', '나들이', '마곡사', '사찰&산사', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=127aab87-528c-4c2f-b83d-cfed87e4917b&thumb
솔뫼성지,충남 당진시,041-362-5021,"['가족여행', '관광지', '근대문화유산', '솔뫼성지', '아이와함께', '역사', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cc7b8b4f-2568-4123-b27b-545e4bc49605&thumb
수덕사,충남 예산군,041-330-7700,"['관광지', '교과서속여행', '기차여행', '나들이', '사찰&산사', '수덕사', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=72e6eb2e-7b00-4391-8819-c1b839ce0e61&thumb
계룡산도예촌,충남 공주시,014-857-7331,"['가족체험', '계룡산도예촌', '관광지', '도자기만들기체험', '도자기체험', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9916f740-5d09-409d-909b-409cf98384f3&thumb
부여 능산리 고분군 [유네스코 세계유산],충남 부여군,041-830-2890,"['가족여행', '관광지', '부여능산리고분군', '사적', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7d64faa0-a24c-4edb-9d68-75345e013c6e&thumb
청양 다락골 줄무덤 성지,충남 청양군,041-943-8123,"['관광지', '다락골줄무덤성지', '성지순례', '역사', '역사를품은곳', '역사속', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5c3e0dc8-3276-4ad8-af15-de3389fa7dbf&thumb
현충사,충남 아산시,041-539-4600,"['가족여행', '관광지', '교과서속여행', '아이와함께', '역사', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f6b98efe-1e9b-4ded-8e88-bff22a2b2e3c&thumb
추사김정희선생고택·묘,충남 예산군,041-339-7332,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=da75d055-85d0-41e7-a2d8-dd39591e8f63&thumb
정혜사(청양),충남 청양군,041-943-7976,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f12b299a-1bf6-4675-ae8b-29b0479dff3e&thumb
백운사(보령),충남 보령시,041-933-5569,"['관광지', '백운사', '불교', '불교문화', '역사', '역사관광지', '자연좋은곳', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=13bc4e4d-57cd-4c00-a6bf-f87214bedf3f&thumb
동학사(공주),충남 공주시,042-825-2570,"['관광지', '교과서속여행', '기차여행', '나들이', '동학사', '사찰&산사', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e16303f6-3f75-412d-b3e5-4db731a8b1a5&thumb
부석사(서산),충남 서산시,041-662-3824,"['관광지', '문화재', '부석사', '불교', '불교문화', '불교사찰', '사찰', '사찰여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bb99720c-bbbb-4303-8f28-bab74e2eecd9&thumb
합덕성당,충남 당진시,041-363-1061,"['관광지', '성지순례', '역사', '역사공부', '역사를품은곳', '역사속', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5af68eff-5a71-4168-a43a-f2082a025179&thumb
