name,region,tel,keyword,photo
국립중앙박물관,서울 용산구,02-2077-9000,"['국립중앙박물관', '나들이', '문화시설', '미세먼지_피하는_실내여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=57a6e3a1-454e-4cc7-b20d-de99307f2add&thumb
롯데월드타워 서울스카이,서울 송파구,1661-2000,"['가족여행', '경치좋은곳', '관광지', '롯데월드타워서울스카이', '사계절', '서울데이트장소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6a6ede08-657e-42b8-a18a-6dcb74d225cf&thumb
청와대사랑채,서울 종로구,02-723-0300,"['가족여행', '교과서속여행', '기념관', '도심여행', '문화시설', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f54e0f20-49e3-4fb8-88e6-cc372ca3c15a&thumb
서대문형무소역사관,서울 서대문구,02-360-8590,"['3·1운동_100주년_여행지추천', '가족과함께', '교과서속여행', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8bdffb08-c43a-4cf3-8f9c-91aff64edb0a&thumb
챔피언1250,서울 용산구,02-2012-1401,"['관광지', '놀이공간', '미세먼지_피하는_실내여행', '복합레저스포츠', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=924e4245-e627-4794-bbb7-4e06c24c9d64&thumb
서울 트릭아이뮤지엄,서울 마포구,02-3144-6300,"['도심여행', '문화시설', '미술관', '사진찍기', '사진찍기좋은곳', '서울트릭아이미술관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6d47f35c-3f78-4cb9-9e8b-46369490f58d&thumb
롯데월드타워&롯데월드몰,서울 송파구,02-3213-5000,"['관광지', '데이트코스', '도심여행', '롯데월드타워&롯데월드몰', '문화행사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7f9a94d3-a7aa-4d8b-97b7-c153704bfdb3&thumb
한국종합무역센터(코엑스),서울 강남구,02-6000-0114,"['가족여행', '데이트코스', '도심여행', '먹거리', '문화시설', '복합문화공간', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7110ed98-f6ce-435e-9334-6f1fb9f69a3d&thumb
국립어린이과학관,서울 종로구,02-3668-3350,"['과학관', '국립어린이과학관', '나들이', '문화시설', '수도권', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=637b33da-9f20-457f-8cfa-be60aa1acf93&thumb
전쟁기념관,서울 용산구,02-709-3144,"['가족여행', '교과서속여행', '도심여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c591d23a-9726-40bc-a86b-6c61ab11850a&thumb
