name,region,tel,keyword,photo
황어장터 3.1만세운동 기념관,인천 계양구,31 032-430-7948,"['3·1운동_100주년_여행지추천', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9241821-809c-4012-b1f2-94503353b8cc&thumb
강화역사박물관,인천 강화군,032-934-7887,"['강화역사박물관', '교과서속여행', '나들이', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5f73479e-3893-4461-b496-dd87f219394b&thumb
스파시스,인천 미추홀구,032-866-4545,"['가족여행', '관광지', '사일온천', '수도권', '실내여행지', '아이와함께', '온천&스파']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2851acbc-51d0-4b79-b2fe-d439e1107eb6&thumb
수도국산달동네박물관,인천 동구,032-770-6131,"['교과서속여행', '문화시설', '박물관', '사계절', '수도국산달동네박물관', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6afbedd7-4b1f-4dc6-9014-e8d92f953f52&thumb
부평역사박물관,인천 부평구,032-515-6471,"['교과서속여행', '문화시설', '박물관', '부평역사박물관', '서울근교갈만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a0e4309f-c59b-4171-8136-5177e1e3ab8d&thumb
인천문화예술회관,인천 남동구,032-427-8401,"['가족여행', '공연장', '나들이', '데이트코스', '문화시설', '서울근교여행', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=026096eb-2989-4365-9fa3-86abd7f47697&thumb
인천우체국,인천 중구,032-773-2106,"['관광지', '사계절', '수도권', '실내여행지', '역사', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eb8fc466-01dd-4602-8197-b7aa16bd3443&thumb
인천개항박물관,인천 중구,032-760-7508,"['가족과함께', '개항박물관', '근현대사', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9f03b61d-22ba-428c-bb77-177067f018a7&thumb
중구생활사전시관,인천 중구,032-766-2202,"['가족과함께', '근현대사', '대불호텔', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9183e8f1-faca-4e65-b2bb-883d8994443a&thumb
한중문화관,인천 중구,032-760-7860,"['가족여행', '나들이', '문화시설', '복합문화공간', '사계절', '상설공연', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=40250b11-5c90-4a25-aa24-56639761eb65&thumb
인천수봉문화회관,인천 미추홀구,032-868-7196,"['공연장', '기차여행', '나들이', '데이트코스', '문화시설', '서울근교여행', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9b5126b5-7a52-4b4c-a5aa-3d0188fb869b&thumb
전원미술관,인천 강화군,032-933-0045,"['데이트코스', '문화시설', '사계절', '상설공연', '수도권', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6b9e1564-cf6f-478b-8e7a-131ba80b714a&thumb
